displayUserNick,auctionSku,rateDate,rateContent
杨***1,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-08 23:41:18,不褪色，柔软
奇***象,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-06 17:18:53,不错，和实体店一样的面料 前几年买过一条 这次给妈妈买的 不厚 适合深圳11月到五月之前穿
j***t,颜色分类:01 乳白色;尺寸:160/66A/M,2021-01-24 14:20:21,洗了会皱，
宝***巴,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-20 12:03:09,多次购买了，很舒服，孩子很喜欢
w***0,颜色分类:38 深褐色;尺寸:155/62A/S,2021-01-20 00:34:38,160穿着有点长
毛***创,颜色分类:67 海蓝色;尺寸:160/66A/M,2021-01-18 23:39:45,穿着舒服，这是第三次回购
t***1,颜色分类:09 黑色;尺寸:160/66A/M,2020-12-30 23:13:15,很好，给老婆买的，非常满意！
g***4,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-27 20:39:52,168 108 L码 腰很肥 买M码应该合适些 裤腿够长就不要买大码 质量还可以
z***l,颜色分类:09 黑色;尺寸:160/66A/M,2020-12-27 17:39:57,挺好的
幻***风,颜色分类:09 黑色;尺寸:155/62A/S,2020-12-24 21:18:21,*****，以后不会在优衣库买东西了
s***8,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-21 14:29:09,码子偏大，有点薄，不适合冬天
汪***丽,颜色分类:03 灰色;尺寸:155/62A/S,2020-12-16 18:33:40,挺好看的
胡***3,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-16 08:33:47,舒服
t***1,颜色分类:09 黑色;尺寸:160/66A/M,2020-12-15 11:22:42,尺寸，颜色很正品，物流很快，下次还买。
q***y,颜色分类:09 黑色;尺寸:165/78A/XL,2020-12-15 08:24:28,面料舒服 不粘毛 不褪色
f***8,颜色分类:03 灰色;尺寸:155/62A/S,2020-12-14 21:28:57,质量不错，优衣库的衣服买回来很少退货
汪***丽,颜色分类:67 海蓝色;尺寸:155/62A/S,2020-12-14 08:15:39,1.6，45公斤，买了s，适合
1***p,颜色分类:09 黑色;尺寸:160/66A/M,2020-12-13 15:31:00,很合身，面料很舒服。
t***8,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-01 16:25:59,运动裤很好
c***9,颜色分类:03 灰色;尺寸:160/70A/L,2020-11-30 15:24:41,超赞
金***猫,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-24 23:22:26,166号/110斤穿L码正好合适 ，舒服
兔***狗,颜色分类:09 黑色;尺寸:160/66A/M,2020-11-23 09:55:38,一直在穿优衣库的衣衣，大小合适 质量很好 住的信赖购买...
赵***3,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-21 20:19:51,质量不错 就是有点肥
张***玲,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-18 20:18:33,尺寸合适，穿着舒服，厚度适中，手感柔软
l***8,颜色分类:01 乳白色;尺寸:160/66A/M,2020-11-18 10:33:04,乳白比较透~里面的袋子也看到了
m***i,颜色分类:09 黑色;尺寸:165/78A/XL,2020-11-18 09:51:03,长短合适，裤腰比想象中宽好多
l***d,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-14 11:57:39,整体挺好的，就是肥瘦正好，裤子段点，其他不错？
沧***6,颜色分类:67 海蓝色;尺寸:165/78A/XL,2020-11-13 18:12:31,挺好的
渐***远,颜色分类:09 黑色;尺寸:155/62A/S,2020-11-13 14:16:28,质量好
冯***4,颜色分类:09 黑色;尺寸:160/66A/M,2020-11-11 12:51:57,之前在实体店里买过穿的很舒服，这一条到，一样很舒服！
青***马,颜色分类:09 黑色;尺寸:160/66A/M,2020-11-06 10:59:41,很舒服，软软的料子
t***4,颜色分类:09 黑色;尺寸:160/66A/M,2020-11-04 21:54:54,买了好多条，非常喜欢
x***3,颜色分类:01 乳白色;尺寸:170/82A/XXL,2020-11-04 21:32:38,好看
s***5,颜色分类:03 灰色;尺寸:160/70A/L,2020-11-04 10:52:46,不错
y***y,颜色分类:03 灰色;尺寸:160/66A/M,2020-11-02 09:29:12,裙子蛮好。裤子和去年对比：颜色好看了，面料变硬了，裤腰弹性变小了，裆部的加固条也硬
t***9,颜色分类:03 灰色;尺寸:155/62A/S,2020-10-29 16:51:15,好
t***9,颜色分类:38 深褐色;尺寸:155/62A/S,2020-10-29 16:51:15,平时穿M码，这条S码合适
不***猫,颜色分类:09 黑色;尺寸:160/66A/M,2020-10-27 17:22:26,身高162体重55，长短肥瘦都合适。裤子比较薄，感觉15-20℃的气温正好。裤型也还不错。满意。
馒***灵,颜色分类:09 黑色;尺寸:155/62A/S,2020-10-27 16:16:55,买的码数很适合，衣服也比较好看，好评
云***n,颜色分类:67 海蓝色;尺寸:160/70A/L,2020-10-21 11:05:04,一如既往的好穿啊！
