displayUserNick,auctionSku,rateDate,rateContent
w***3,颜色分类:09 黑色;尺码:160/70C/M,2021-02-26 11:17:18,身高166cm体重54Kg穿M码正好，适合20多度穿，好评。
c***9,颜色分类:09 黑色;尺码:155/68C/S,2021-02-26 10:26:15,弹力很不错，高腰，上身效果也好。显腿细
x***l,颜色分类:09 黑色;尺码:160/70C/M,2021-02-24 17:42:02,舒服！显腿细！
曾***静,颜色分类:09 黑色;尺码:155/68C/S,2021-02-24 16:41:26,对于小个子来说，裤脚很长。但是穿着很舒服。
花***荔,颜色分类:09 黑色;尺码:170/82C/XL,2021-02-24 15:44:09,舒服，好穿
小***7,颜色分类:09 黑色;尺码:170/82C/XL,2021-02-23 23:17:24,大小合适，体感很舒服，相信你优衣库！
1***艳,颜色分类:09 黑色;尺码:175/88C/XXL,2021-02-22 14:56:35,不错
s***喵,颜色分类:09 黑色;尺码:170/82C/XL,2021-02-22 11:47:07,质量一般，不值这个价
l***7,颜色分类:09 黑色;尺码:155/64B/XS,2021-02-21 23:57:49,很好穿，很合身。孕妇裤中的爱马仕，我买过一大堆，就这个最好穿。
c***6,颜色分类:09 黑色;尺码:155/68C/S,2021-02-21 23:33:13,真的很舒服，有点长也没关系，但真的很舒服！适合春夏！
2***i,颜色分类:09 黑色;尺码:170/82C/XL,2021-02-21 18:37:13,弹力特别大，不勒也不掉档，就是比较薄
t***7,颜色分类:09 黑色;尺码:165/76C/L,2021-02-21 12:30:43,超级好穿
张***6,颜色分类:09 黑色;尺码:155/68C/S,2021-02-20 20:00:59,面料材质：优衣库家太舒服 质量很好
s***9,颜色分类:09 黑色;尺码:160/70C/M,2021-02-20 13:12:35,给姐妹们参考一下尺码。167cm，目前55kg，孕17周，M码正好合适。评论区有姐妹说裤子太长，167身高，腿不算长，裤子正好到脚面。
1***u,颜色分类:09 黑色;尺码:175/88C/XXL,2021-02-20 08:16:58,舒服
陈***0,颜色分类:09 黑色;尺码:155/68C/S,2021-02-15 16:03:28,本人165 裤子选择155的型号都长很多 还会掉档 一点都不好穿
t***1,颜色分类:09 黑色;尺码:165/76C/L,2021-02-10 18:24:59,挺好的 胖瘦合身 就是有点长
冰***6,颜色分类:09 黑色;尺码:155/68C/S,2021-02-08 22:15:26,可以
潘***曦,颜色分类:09 黑色;尺码:160/70C/M,2021-02-08 09:27:53,挺好 现在15周，有点大。等暖和了估计就正好了。
1***艳,颜色分类:09 黑色;尺码:175/88C/XXL,2021-02-03 11:58:44,不错
j***1,颜色分类:09 黑色;尺码:160/70C/M,2021-01-31 11:07:25,168/59kg，21周，正合适，裤腿略短 弹力大，腰围可调 缺点是材质比较差，不含棉，扎腿，特别容易粘毛
h***闹,颜色分类:09 黑色;尺码:170/82C/XL,2021-01-31 08:05:28,裤子弹性很大，柔软舒服，但是很薄。168cm，64kg，孕28周，XL的单穿有点肥，裤腿稍长，已经到脚面了。北方里面套打底裤刚好，后期体重长得快，所以买大了一号。
t***1,颜色分类:09 黑色;尺码:160/70C/M,2021-01-29 08:20:53,整体评价：这个裤子可不可以不要设计的那么丑，长度也太长了，难道怀孕还能长高10厘米啊，穿上简直无眼看，裤脚还不宽不窄的
风***绿,颜色分类:09 黑色;尺码:165/76C/L,2021-01-28 19:22:24,很不错 裤子可以外穿 贴身但是不勒
土***炒,颜色分类:09 黑色;尺码:155/68C/S,2021-01-28 11:31:01,很柔软轻薄，弹性好，我163cm，53kg，裤子有一点点长，但是胖瘦正好，很满意～
艺***6,颜色分类:09 黑色;尺码:155/64B/XS,2021-01-27 14:13:17,客服差到极点！网购十几年来最差的一次
m***子,颜色分类:09 黑色;尺码:165/76C/L,2021-01-26 22:55:13,弹性真的好大 码也买大了  不过穿着很舒服  稍稍有点粘毛 能接受
t***2,颜色分类:09 黑色;尺码:165/76C/L,2021-01-26 15:25:04,太容易粘毛了，弹性挺好的。
s***0,颜色分类:09 黑色;尺码:155/64B/XS,2021-01-25 19:09:54,掉档&hellip;&hellip;
婷***2,颜色分类:09 黑色;尺码:165/76C/L,2021-01-24 12:19:36,简直不要太好穿了
听***7,颜色分类:09 黑色;尺码:160/70C/M,2021-01-17 15:00:43,裤子腰部面料很好 不想其他孕妇裤子闲的很胖 到优衣库裤子确定长
n***3,颜色分类:09 黑色;尺码:165/76C/L,2021-01-14 16:49:04,165，58，6个月大小合适
小***n,颜色分类:09 黑色;尺码:170/82C/XL,2021-01-10 20:34:57,比较长，柔软弹性非常好
r***5,颜色分类:09 黑色;尺码:165/76C/L,2021-01-08 18:01:07,可以，薄，南方能接受
w***h,颜色分类:09 黑色;尺码:160/70C/M,2021-01-07 11:13:35,此用户没有填写评论!
肉***糕,颜色分类:09 黑色;尺码:160/70C/M,2021-01-06 21:03:09,大小合适 不掉档很棒 希望出厚款
c***海,颜色分类:09 黑色;尺码:165/76C/L,2021-01-06 16:17:51,有点大，可以罩秋裤穿
一***心,颜色分类:09 黑色;尺码:160/70C/M,2021-01-05 17:48:48,买第二条了
夏***9,颜色分类:09 黑色;尺码:160/70C/M,2021-01-04 15:33:33,穿起来舒服，但是质量很一般，比较薄，颜色不是纯黑，有点带棕色，162，51斤，三个多月，穿起来太太长了，裤子一下子就勾了几条线出来，不值这个价。
晒***暖,颜色分类:09 黑色;尺码:165/76C/L,2021-01-03 19:09:30,身高172目前体重60公斤，怀孕5个月，穿L的正好，裤子是薄款，弹性很大，长度到脚踝，穿上很舒服
印***8,颜色分类:09 黑色;尺码:165/76C/L,2021-01-02 22:03:39,今天才拿到手，打开看了看，翻了面发现里面粘着貌似皮屑的白色物，瞬间很失望，感觉是穿过退货的，不过懒得退换了
z***2,颜色分类:09 黑色;尺码:165/76C/L,2021-01-02 15:25:56,有些掉档
f***w,颜色分类:09 黑色;尺码:165/76C/L,2020-12-29 14:16:59,太次了。从来没买过这么丑的裤子。超乎想象的丑。毫无剪裁毫无细节，脚脖子居然和小腿肚子一样粗。穿着高腰球鞋都堆在那里，看着像180斤大胖子。本来不胖，穿上一下变成猪。  真的太差了，从来没买过这么丑这么次的裤子。郁闷了都。不要买优衣库，不要买，不要买。容易产前抑郁。  裆部设计有严重问题，掉。缝纫的低腰线正好卡在孕早期孕中期听胎心的位置。肚子布料过多弹力低面料次。孕四月肚子没起来穿衣服就在里面堆着显得腰也巨粗。月份大了估计又会崩得慌因为的确面料不好没啥弹力。  整体面料薄，穿个秋裤都堆在腿上，特！别！臃！肿！  太次了！难看，丑爆。真的是我这辈子买过最丑的裤子。
m***0,颜色分类:09 黑色;尺码:155/68C/S,2020-12-29 11:50:31,弹性大，穿着很舒服。
人***0,颜色分类:09 黑色;尺码:165/76C/L,2020-12-29 09:27:47,"弹力特别大，买了两条最后留了L码，162,54kg。不掉档，但是下次应该会买299那款牛仔的，这个布料不是我喜欢的型。"
熊***破,颜色分类:09 黑色;尺码:170/82C/XL,2020-12-28 14:52:50,真的是很舒服的一条裤子，好评
f***n,颜色分类:09 黑色;尺码:170/82C/XL,2020-12-27 20:10:58,发货速度很快，包装严实仔细。
e***色,颜色分类:09 黑色;尺码:160/70C/M,2020-12-27 13:20:15,尺码偏大
繁***水,颜色分类:09 黑色;尺码:170/82C/XL,2020-12-27 08:59:44,裤子弹性很好
e***u,颜色分类:09 黑色;尺码:160/70C/M,2020-12-26 08:41:44,舒服，有点太长了
y***g,颜色分类:09 黑色;尺码:155/68C/S,2020-12-25 17:53:25,比较薄，没有味道，还行
y***9,颜色分类:09 黑色;尺码:165/76C/L,2020-12-23 23:51:26,不知道是不是肚子还不够大，现在穿会掉档
w***i,颜色分类:09 黑色;尺码:165/76C/L,2020-12-23 09:09:33,好穿，套在秋裤外面也很不错
k***6,颜色分类:09 黑色;尺码:160/70C/M,2020-12-22 14:11:08,此用户没有填写评论!
s***爪,颜色分类:09 黑色;尺码:160/70C/M,2020-12-21 21:19:25,160买了M码，裤子有点长，要叠一下裤脚，弹性比较大，穿起来还算舒服，要是裤脚是小脚裤就好了
