displayUserNick,auctionSku,rateDate,rateContent
冰***n,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-25 21:55:03,很好
未***我,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-23 22:00:04,女友穿上说很显瘦，我也很喜欢，我爱美腿
l***柒,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-23 16:06:27,好穿 这已经是买的第三条了
1***r,颜色分类:00 白色;尺寸:155/62A/S,2021-02-23 03:00:09,身高162体重98买的s码 稍微有点紧 不过弹力很大
6***i,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-22 19:55:51,很好
萍***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-22 17:12:19,尺寸刚好，弹性很好。
小***8,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-22 10:47:32,回购
小***8,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-22 10:47:10,回购
泥***是,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-20 16:56:21,中了优衣库的毒已深，买了好多，打底裤给妈妈买的，她觉得很舒服
i***u,颜色分类:00 白色;尺寸:160/66A/M,2021-02-20 16:35:47,看在裤子质量不错  穿着舒服的前提下给个三星，我的快递到了目的城市后没派送又发往了河南，联系快递公司和店家客服说是正常中转，是我知识浅薄了，可能只要快递不出国在国内怎么转悠都叫正常吧，有负分的话想给ems打个负分，说话不负责任，真是太差了。
姚***记,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-20 14:15:00,我的降价必囤 就是巴适
l***3,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-20 09:53:00,太大了，应该要买小2个号
红***2,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-19 21:53:19,这裤子很舒服
肖***6,颜色分类:03 灰色;尺寸:165/78A/XL,2021-02-19 19:16:45,优衣库的衣服质量就是好，黑裤子早就有了，犹豫着买了条灰色的，担心显胖，结果穿上显瘦，好开心，只是衣服M码大了点，够厚，外穿大方。
d***b,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-19 19:14:02,可以，第二次购买了，这次买大一码穿着更舒服。
飞***1,颜色分类:00 白色;尺寸:160/70A/L,2021-02-18 23:36:55,弹性好，舒服！
诗***体,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-18 14:22:14,薄，弹力大
y***3,颜色分类:00 白色;尺寸:165/78A/XL,2021-02-18 13:12:41,质量好，值得拥有
w***雾,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-17 20:01:56,一直喜欢穿优衣库这种紧身长裤，穿了好多年。质量挺好的，也比较耐穿，都穿到发白了才舍得扔掉~这款紧身弹力不错，偏薄型的~
周***5,颜色分类:12 桃红色;尺寸:170/82A/XXL,2021-02-16 11:20:23,168 152 这个吗合适
王***6,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-15 15:04:53,裤子比较薄，弹力非常大，所以我买大了！太费劲儿了就不换了，穿着挺舒服的！
碧***韵,颜色分类:00 白色;尺寸:155/58A/XS,2021-02-14 14:18:21,柔软，弹力好。非常喜欢！！！
k***m,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-14 10:13:35,hao
y***7,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-13 21:39:46,在实体店买过多次了
羽***着,颜色分类:51 嫩绿色;尺寸:160/70A/L,2021-02-12 22:51:29,店里看见的，喜欢这个颜色
w***9,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-09 16:46:58,颜色不错，夏天可以穿
大***也,颜色分类:03 灰色;尺寸:160/66A/M,2021-02-08 13:41:28,弹力很大，穿了舒服的，淡灰色的和图片差不多
大***也,颜色分类:51 嫩绿色;尺寸:160/66A/M,2021-02-08 13:41:28,小绿清新很春天，配了绿色T，好期待春天
z***u,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-06 09:32:29,系统直接给我推荐了175的码，是按身高推荐的吗？天啊&hellip;&hellip;拿到货那一刻我无语了，穿上后直接掉了下来，大得吓人，直接去门店换了一个加的。早知道是这样，我直接选门店自取好了，还省了邮费
魅***店,颜色分类:00 白色;尺寸:155/58A/XS,2021-02-05 10:25:04,穿起来很舒服
z***7,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-03 11:39:14,我的身高体重：160.52 穿着合适。
a***6,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-02 18:27:47,很好！
m***缘,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-02 11:51:35,大品牌，品质信的过，买了黑色的，很显瘦
e***1,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-01 17:35:44,在店里试了特地等降价买的，很舒服，弹力很大
猫***子,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-01 00:31:57,老妈很喜欢。
d***8,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 22:28:33,现在优衣库的紧身裤比原来的薄了，含棉量也少了，总体感觉不如原来好了
红***i,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 16:00:34,你们的朋友都在这里吧？我也
s***8,颜色分类:51 嫩绿色;尺寸:165/78A/XL,2021-01-30 14:25:09,裤子收到了，裤子非常好很满意，面料很好，快挮员送到家，谢谢，非常满意
苏***路,颜色分类:12 桃红色;尺寸:170/82A/XXL,2021-01-29 19:57:42,服务太垃圾了，点退货都客服搭理你，货都送的别的省了，只要眼不瞎，都能看出来，居然还签收了，服了，客服半个小时才回一句，等再回你的时候，又得把问题重新描述，真是服了
f***8,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-29 15:02:11,刚买了第二天就降价到129，我呵呵，没想法了，而且粘毛厉害！！！！
饼***麻,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-24 22:00:41,上一条穿旧了再买一条，这裤子不显瘦但是非常舒服，可以劈叉那种~168 130 穿70正好
闻***z,颜色分类:12 桃红色;尺寸:170/82A/XXL,2021-01-19 16:37:41,弹力大，料子柔软，很好穿
s***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-19 10:33:09,很好
n***2,颜色分类:03 灰色;尺寸:160/66A/M,2021-01-18 21:17:33,弹力十足，简直可以练瑜伽。哈哈哈
a***8,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-16 07:31:24,跟实体店一样，很好
t***8,颜色分类:12 桃红色;尺寸:160/70A/L,2021-01-15 20:24:02,超美，喜欢
t***2,颜色分类:51 嫩绿色;尺寸:155/58A/XS,2021-01-13 04:19:05,很好，很满意！
s***9,颜色分类:00 白色;尺寸:160/66A/M,2021-01-10 11:07:30,裤子非常好穿
7***7,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-08 17:02:53,特别好～ 前台小姐姐核销的很迅速很熟练，比收银的男士有效率很多。
g***梁,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-08 05:36:48,无得退差价，店大欺客
1***h,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-01-02 11:14:06,弹力十足，腿粗也能穿，特别特别好，简直是买到宝了
j***7,颜色分类:03 灰色;尺寸:160/70A/L,2021-01-01 16:16:41,性价比高，穿着舒适。
侠***2,颜色分类:00 白色;尺寸:160/66A/M,2020-12-20 18:57:10,比以前奶白色好看 暂新的 质量优秀 当打底裤很不错
t***2,颜色分类:00 白色;尺寸:155/62A/S,2020-12-18 13:10:26,柔软弹性好
