displayUserNick,auctionSku,rateDate,rateContent
柔***2,颜色分类:03 灰色;尺寸:155/58A/XS,2021-02-26 21:45:20,很好
苦***子,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-25 17:41:12,裤子版型超好看，夏天穿超级凉快，赶紧入起来！
c***3,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-24 21:12:18,超好看的裤子！！小个子毫无压力！高腰又显瘦！缎面质感超棒！黑色超百搭
t***1,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-23 15:34:35,好看的  太吸灰了，感觉很容易勾丝。目测值100多的样子。
d***y,颜色分类:52 翠绿色;尺寸:155/62A/S,2021-02-20 22:05:32,意外的面料很垂 腰也合适 夏天应该会囤其他色
s***8,颜色分类:65 宝蓝色;尺寸:155/62A/S,2021-02-20 14:40:20,我的身高体重：162 53公斤 平时27**裤子 S码刚刚好
k***x,颜色分类:03 灰色;尺寸:155/62A/S,2021-02-20 11:47:10,挺好的
水***4,颜色分类:65 宝蓝色;尺寸:175/88B/XXXL,2021-02-10 22:42:17,好评
o***u,颜色分类:03 灰色;尺寸:160/66A/M,2021-01-18 08:06:27,好看，蛮喜欢的，夏天穿应该超级凉快哦
l***9,颜色分类:65 宝蓝色;尺寸:175/88B/XXXL,2021-01-01 09:17:41,直裆太长
l***9,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-01-01 09:17:41,直裆太长
l***9,颜色分类:03 灰色;尺寸:175/88B/XXXL,2021-01-01 09:17:41,直裆太长
