displayUserNick,auctionSku,rateDate,rateContent
e***6,颜色分类:32 深米色;尺寸:160/70A/L,2021-02-27 07:29:09,好。
e***v,颜色分类:32 深米色;尺寸:160/70A/L,2021-02-26 17:44:35,这个裤子很显瘦的 168/128 L很合身 面料厚实
z***4,颜色分类:34 驼色;尺寸:160/70A/L,2021-02-24 23:28:35,大小刚好，裤腿有点肥，料子较厚
t***7,颜色分类:56 橄榄色;尺寸:165/78A/XL,2021-02-24 14:26:32,这个真的，要去门店好好试一试在考虑买不买。挺显胖的，也可能我比较胖吧，唉。
f***1,颜色分类:32 深米色;尺寸:160/70A/L,2021-02-24 11:11:49,跟实体店一样的，再网上买方便
静***美,颜色分类:69 藏青色;尺寸:155/58A/XS,2021-02-24 10:26:37,裤子很好，给女儿买的，旗舰店没有XS，刚好网上有
f***i,颜色分类:32 深米色;尺寸:160/66A/M,2021-02-23 13:06:10,这条裤子买小了一号，非常的帅气，适合腿长的宝宝。
樱***y,颜色分类:32 深米色;尺寸:160/66A/M,2021-02-23 08:57:31,店里试过开买
圣***凡,颜色分类:69 藏青色;尺寸:160/70A/L,2021-02-22 14:28:29,买的藏青色，非常粘灰！白花花的！
安***8,颜色分类:69 藏青色;尺寸:160/66A/M,2021-02-21 19:21:26,不错
我***猫,颜色分类:32 深米色;尺寸:175/88B/XXXL,2021-02-20 22:48:53,不错 舒服 盼望可千万别降价。
m***m,颜色分类:69 藏青色;尺寸:165/78A/XL,2021-02-20 16:41:54,衣服裤子和羽绒背心 都是Ｕ家的 穿着舒服随意 样式简约大气 喜欢
大***2,颜色分类:32 深米色;尺寸:165/78A/XL,2021-02-20 15:23:59,优衣库好多年了，我只能说越来越差了，相对前几年给娃买的束脚裤，布料不是查了一点半点。
q***舞,颜色分类:69 藏青色;尺寸:160/70A/L,2021-02-20 12:06:53,和实体店一样，穿着舒适，比实体店便宜点
w***6,颜色分类:69 藏青色;尺寸:175/88B/XXXL,2021-02-20 08:47:12,很好看，质量也好
m***丁,颜色分类:34 驼色;尺寸:170/82A/XXL,2021-02-19 14:43:10,质量不错👍，纯棉的，穿上很舒服。版型设计也很喜欢。
紫***6,颜色分类:32 深米色;尺寸:160/66A/M,2021-02-18 17:07:17,中了优衣库的毒了，买买买停不下来。看似平平无奇，穿上非常好看。
b***0,颜色分类:69 藏青色;尺寸:165/78A/XL,2021-02-18 09:57:11,好评
向***虾,颜色分类:32 深米色;尺寸:160/66A/M,2021-02-17 16:02:51,168/117，臀围89，大腿围49，穿M合适。
玄***8,颜色分类:32 深米色;尺寸:165/78A/XL,2021-02-15 20:56:43,整体评价：舒服显瘦 版型风格：休闲 面料材质：棉质比较厚，春秋穿正好 我的身高体重：165，140，XL合适
秀***界,颜色分类:32 深米色;尺寸:165/78A/XL,2021-02-15 20:38:31,材质好，光滑！适合春天穿，可以买大一码，有点短，
l***7,颜色分类:56 橄榄色;尺寸:160/66A/M,2021-02-15 18:27:29,整体评价：棒 面料材质：纯棉 我的身高体重：169cm/58kg
耿***曦,颜色分类:56 橄榄色;尺寸:155/58A/XS,2021-02-15 11:44:27,旧款后面口袋更舒服，这个显鼓@
l***歌,颜色分类:69 藏青色;尺寸:155/58A/XS,2021-02-11 03:13:23,不错，就是有点黏毛，  不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
t***2,颜色分类:34 驼色;尺寸:160/66A/M,2021-02-09 16:56:25,还没看到 相信uniqlo
千***坊,颜色分类:32 深米色;尺寸:160/66A/M,2021-02-09 16:08:40,腰围有些紧，裆有点长，我胯小撑不起来，整体还可以吧宽松版，面料不错
t***9,颜色分类:69 藏青色;尺寸:155/58A/XS,2021-02-07 02:05:57,很喜欢，买了三个颜色！
t***9,颜色分类:56 橄榄色;尺寸:155/58A/XS,2021-02-07 02:05:56,很喜欢，买了三个颜色！
e***m,颜色分类:56 橄榄色;尺寸:155/58A/XS,2021-02-04 22:57:50,好看，实体店试了买的，优衣库质量好，喜欢。
x***4,颜色分类:69 藏青色;尺寸:165/78A/XL,2021-02-04 20:09:09,比另一款束脚裤舒服多了，特意去店里试穿了，这个含棉多 舒服，那个面料有点硬。
幸***8,颜色分类:69 藏青色;尺寸:170/82A/XXL,2021-02-02 10:31:06,很有型，有质感，就是容易粘毛，洗完后还是好多毛，建议买浅色的可能会好一点
t***9,颜色分类:34 驼色;尺寸:155/58A/XS,2021-02-02 10:19:01,很喜欢！
羊***嘻,颜色分类:56 橄榄色;尺寸:155/58A/XS,2021-02-01 22:54:17,裤型很好 实体店试了没有最小号 线上买到了👍
j***9,颜色分类:34 驼色;尺寸:160/66A/M,2021-02-01 10:28:14,面料很好，好搭
x***o,颜色分类:32 深米色;尺寸:155/58A/XS,2021-01-31 14:10:04,还没有穿，摸着面料舒服，看着也好看
s***7,颜色分类:69 藏青色;尺寸:155/62A/S,2021-01-31 11:02:27,裤型不错，但是巨粘毛。应该适合夏天穿
构***来,颜色分类:69 藏青色;尺寸:155/62A/S,2021-01-30 21:33:35,还不错，好评
k***_,颜色分类:56 橄榄色;尺寸:160/66A/M,2021-01-28 11:57:58,等不及降价先买了
两***4,颜色分类:32 深米色;尺寸:155/62A/S,2021-01-26 21:41:04,挺好的，纯棉的
