displayUserNick,auctionSku,rateDate,rateContent
f***5,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-26 15:42:13,很喜欢
s***5,颜色分类:72 蓝紫色;尺寸:160/70A/L,2021-02-25 19:27:50,我的身高体重：160/56，产后比较胖，腰粗屁股大，这个完全没问题，很遮肉，也没有色差，春天带娃穿应该很方便也很美
s***7,颜色分类:72 蓝紫色;尺寸:155/62A/S,2021-02-24 23:23:08,面料很舒服，设计风格很喜欢，非常满意
l***0,颜色分类:31 米色;尺寸:155/58A/XS,2021-02-22 21:58:40,很好看呢，夏天穿的很薄款
风***8,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-21 05:25:39,不错
y***7,颜色分类:31 米色;尺寸:160/70A/L,2021-02-20 21:10:56,非常好，很飘逸的感觉
t***4,颜色分类:72 蓝紫色;尺寸:175/88B/XXXL,2021-02-20 16:19:37,不错，穿大点更有效果
g***g,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-20 13:59:12,质感很好，飘逸好看！
w***帅,颜色分类:72 蓝紫色;尺寸:155/62A/S,2021-02-18 09:26:46,不错  长短正好 不会因为太长拌脚  拿手上也一定的重量 不是那种轻飘飘的便宜的感觉  本人高163  重98  s码合适  苹果原相机拍摄
平***y,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-17 17:40:46,物美价廉发货及时棒棒的
木***丫,颜色分类:72 蓝紫色;尺寸:155/58A/XS,2021-02-15 21:09:20,颜色不错 比图片上好看点 一同买的米色太暗了 退了 就留下了紫色 等夏天穿吧
h***6,颜色分类:72 蓝紫色;尺寸:160/66A/M,2021-02-14 16:24:09,赞爆了。这条裤子像1999的。优衣库真牛。
y***2,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-10 19:10:03,不错，喜欢，穿起来很舒服
旎***8,颜色分类:72 蓝紫色;尺寸:155/58A/XS,2021-02-09 20:09:26,好温柔的紫，实物颜色和图片一样，雪纺料子很舒服，走起来很飘逸，很女人😊
t***5,颜色分类:72 蓝紫色;尺寸:160/70A/L,2021-02-07 14:10:08,我腰围71，穿着有一丢丢松
y***8,颜色分类:72 蓝紫色;尺寸:165/78A/XL,2021-02-07 11:13:33,很好
y***8,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-07 11:11:43,很好
谢***6,颜色分类:72 蓝紫色;尺寸:155/58A/XS,2021-02-06 20:27:56,春天的颜色，好飘逸。
樱***y,颜色分类:72 蓝紫色;尺寸:160/66A/M,2021-02-05 16:33:09,很好看！优衣库终于洋气一回了！
神***0,颜色分类:72 蓝紫色;尺寸:170/82A/XXL,2021-02-04 12:26:38,好 飘逸
t***7,颜色分类:31 米色;尺寸:155/58A/XS,2021-02-03 18:54:36,米色偏灰一点点，不错，我喜欢，先囤着，最近还吃不消露脚踝，啊哈哈哈 （最近都开始用顺丰了，我以后会更爱优衣库的！！muji就算了，那**的EMS，全宇宙最差没有之一....）
t***9,颜色分类:72 蓝紫色;尺寸:175/88B/XXXL,2021-02-02 17:56:43,非常好，就是买大了。换货吧。
c***w,颜色分类:72 蓝紫色;尺寸:155/58A/XS,2021-01-27 21:42:43,是神仙颜色没错了！因为要买xs码就不等降价了，空调房里试穿了一下，158，94斤，梨型身材，上身如图。材质很轻薄，腰部比较贴身，略显小肚子，供参考。
深***m,颜色分类:72 蓝紫色;尺寸:155/62A/S,2021-01-27 13:42:54,我的身高体重：身高164体重102 紫色是好看的，但比较适合活泼可爱的 我这个老阿姨可能比较适合米色
s***1,颜色分类:72 蓝紫色;尺寸:165/78A/XL,2021-01-22 12:49:54,颜色很好看
t***3,颜色分类:72 蓝紫色;尺寸:155/62A/S,2021-01-09 21:48:16,这个紫色真的超好看
