displayUserNick,auctionSku,rateDate,rateContent
h***t,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-27 17:12:27,挺好的
肉***2,颜色分类:53 草绿色;尺寸:155/58A/XS,2021-02-27 13:40:42,像是运动裤材质，挺好穿的
玫***2,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-27 12:58:24,153高98斤穿此码合适  裤型很好 就是裤兜有点外翻不服贴
悦***晶,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-27 12:33:11,料子很舒服，腰身有弹力，搭配小白鞋很好看
c***6,颜色分类:53 草绿色;尺寸:155/62A/S,2021-02-27 11:49:49,非常好穿，买了三条
t***8,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-27 10:21:31,舒适 很惊喜 竟然非常显瘦 我下半身比较胖 158 52公斤 一般穿27-28的裤子 典型梨形，这个裤子竟然很合适 至于后续是否变形 起球目前还不知道
栎***7,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-27 09:38:41,裤子很好我来差评其他订单👌suq11
栎***7,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-27 09:38:13,裤子很好我来差评其他订单👌suq11
兜***淘,颜色分类:10 水粉色;尺寸:155/62A/S,2021-02-27 01:55:44,爱了
小***1,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-26 22:44:31,一如既往的好，就是降价太快
h***e,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-26 22:30:37,168 110长度ok腰围有点太大啦
如***好,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-02-26 20:55:55,码数合适，穿着舒服
炫***文,颜色分类:53 草绿色;尺寸:155/58A/XS,2021-02-26 19:57:29,实体店没有XS，在网上买到了，很合身，质量也不错
t***1,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-26 18:14:22,好
萍***钱,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-26 17:08:47,实体店尺码没有，在网上旗舰店购买，昨天下单，今天上午就到，速度快，宝贝和实体店一样，非常满意，五星好评！
彭***7,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-26 16:11:30,合适，舒适
春***y,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-26 14:07:38,试穿发现口袋破洞
牵***2,颜色分类:30 浅米色;尺寸:160/70A/L,2021-02-26 14:07:16,不错
r***1,颜色分类:30 浅米色;尺寸:160/70A/L,2021-02-26 13:39:06,这次买的东西都很好，以后一定还会再来买的。
h***7,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-02-26 12:41:50,挺舒服的面料 适合春夏秋穿
s***w,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-26 11:04:37,很好 就是味道大 洗过没味道了
焱***妥,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-26 09:48:58,还可以，挺舒服的，我160长度的话，大概就是十分裤，比拖地裤短一点。长度满意
黄***上,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-02-25 20:52:43,很喜欢，质感很好，穿起来凉凉的，很有版型
墨***浮,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-25 20:08:09,还可以
榕***树,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-25 19:34:24,好看的，好搭配就说灰色有点绿色的味道_(：3」&ang;)_
路***晓,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-25 19:30:11,买的黑色，虽然蛮显肚子，但真舒服真显瘦真显腿长，瑕不掩瑜吧，推荐。准备再入一条黑色，当日常工作裤，简直不能再完美
t***0,颜色分类:10 水粉色;尺寸:160/70A/L,2021-02-25 18:15:12,挺好看的，适合我穿，就是感觉大了一码，懒得换了，老公也说挺好看的。
7***神,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-25 15:59:45,终于买到了不卡裆的裤子，哭了，我会继续为了优衣库打工的
l***1,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-25 15:36:47,等天气暖和点再穿
