displayUserNick,auctionSku,rateDate,rateContent
w***8,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-03-01 19:15:48,谢谢
无***1,颜色分类:09 黑色;尺码:170/95/M,2021-03-01 09:04:10,有点起球就挺离谱的
x***0,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-28 23:59:21,质量稍微差了一点，我把纸牌拿掉，还有白色线头在裤子上，我指甲一拉，线头出来了，裤子本身的线也断掉出来了！ 还有就是裤子本身有点大，想买小一号的，结果我退掉重新买还是原来来的尺寸也是服了自己了
t***7,颜色分类:09 黑色;尺码:180/105/XL,2021-02-28 18:23:17,尺码不是太准
t***8,颜色分类:69 藏青色;尺码:175/100/L,2021-02-28 17:29:00,裤子热天穿很舒服
m***3,颜色分类:69 藏青色;尺码:170/95/M,2021-02-27 21:34:55,很满意，这条裤子看起来不抓眼，但绝对不会踩雷，很耐看。面料很柔软，有弹性，但也不会软塌塌的，穿上就明白有多爽了。
t***0,颜色分类:69 藏青色;尺码:170/95/M,2021-02-26 17:32:10,平时穿m，但是还是太大了，应该s
周***0,颜色分类:09 黑色;尺码:175/100/L,2021-02-26 16:08:05,好穿，就是面料偏薄了
露***雄,颜色分类:69 藏青色;尺码:165/90/S,2021-02-26 12:08:11,裤子面料非常nice，版型很好，百搭
t***0,颜色分类:09 黑色;尺码:175/100/L,2021-02-24 21:40:54,特别偏大 推荐小码！！！质量一般
t***7,颜色分类:09 黑色;尺码:165/90/S,2021-02-22 13:38:09,裤子的面料轻薄 穿起来挺舒服 适合春夏穿
t***3,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-02-22 10:44:58,188 210 xxxl 穿的不是很帅 但是舒服 适合春秋天穿 腿细的穿感觉好看
捷***蛇,颜色分类:69 藏青色;尺码:170/95/M,2021-02-22 09:03:36,垃圾优衣库，服务态度特别差，收到货之后第二天降价，因为我洗了没法退了，但是不给保差价，店大欺客，再也不会买优衣库的东西
哪***字,颜色分类:69 藏青色;尺码:165/90/S,2021-02-21 16:56:33,不错啊，正好春天穿
y***y,颜色分类:69 藏青色;尺码:165/90/S,2021-02-21 08:25:37,物流一如既往的不错
t***4,颜色分类:69 藏青色;尺码:170/95/M,2021-02-20 16:42:31,版型无敌，超级显瘦百搭哈哈哈哈哈完美
t***6,颜色分类:69 藏青色;尺码:170/95/M,2021-02-20 15:11:01,这裤子太不值了，穿两天就起球，还特别薄，感觉29块钱最多了
陈***5,颜色分类:69 藏青色;尺码:165/90/S,2021-02-20 12:20:27,好
飞***9,颜色分类:69 藏青色;尺码:165/90/S,2021-02-20 10:53:18,裤型漂亮。系带要是其他颜色略深一点就好了。白色的带子搭配藏青色不好看。
m***n,颜色分类:69 藏青色;尺码:175/100/L,2021-02-19 01:18:43,非常柔软又有弹性的面料，穿起来非常舒服！
t***3,颜色分类:69 藏青色;尺码:175/100/L,2021-02-17 15:13:18,尺寸刚好，都不用修裤脚，松紧仿牛仔裤，适合肚子大的男生
n***h,颜色分类:09 黑色;尺码:170/95/M,2021-02-16 11:25:52,布料很舒适，裤型也不错哦。
z***8,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-14 10:43:44,好评
t***5,颜色分类:69 藏青色;尺码:175/100/L,2021-02-14 08:01:37,可以，
s***s,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-12 20:57:09,好看，舒服，就是容易勾丝，起球
s***1,颜色分类:69 藏青色;尺码:175/100/L,2021-02-12 17:21:35,夏天款，料子比较透气舒服
s***4,颜色分类:69 藏青色;尺码:175/100/L,2021-02-12 12:19:16,穿了一天直接起球，无语了
r***a,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-02-11 11:21:36,包装真的简陋，透明塑料袋也没标签。
地***轻,颜色分类:69 藏青色;尺码:170/95/M,2021-02-10 10:01:34,挺舒服的
l***6,颜色分类:69 藏青色;尺码:170/95/M,2021-02-09 19:29:44,穿的很舒适，适合粗腿的人
y***6,颜色分类:69 藏青色;尺码:175/100/L,2021-02-09 15:30:29,裤子超轻，质量很好，老公穿上很合适哦
孙***5,颜色分类:09 黑色;尺码:170/95/M,2021-02-09 09:28:31,老公也适合优衣库，以后就在这买了。
孙***5,颜色分类:69 藏青色;尺码:170/95/M,2021-02-09 09:28:31,老公也适合优衣库，以后就在这买了。
李***屁,颜色分类:69 藏青色;尺码:175/100/L,2021-02-07 23:21:01,优衣库的裤子永远都是那么香
h***y,颜色分类:09 黑色;尺码:165/90/S,2021-02-07 16:57:40,质感很舒服
旋***士,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-07 16:32:22,裤子码数挺大的，穿起来是宽松的，很舒服
阳***风,颜色分类:69 藏青色;尺码:165/90/S,2021-02-07 15:48:38,店里试了可以 结果买回来发现穿着还是有点大 送给弟弟穿
v***l,颜色分类:09 黑色;尺码:170/95/M,2021-02-07 12:32:35,身高170穿起来就是大长裤，腿短怪我咯
q***6,颜色分类:09 黑色;尺码:165/90/S,2021-02-06 22:50:37,hen很薄，年底懒得退了，将就着吧，估计也穿不了几次，果然买衣服还是要去实体店
l***u,颜色分类:69 藏青色;尺码:165/90/S,2021-02-06 13:35:06,好
w***p,颜色分类:69 藏青色;尺码:165/90/S,2021-02-06 09:38:25,好看，穿上垂感好，不知道会不会皱
中***级,颜色分类:09 黑色;尺码:175/100/L,2021-02-05 22:28:38,挺好的
