displayUserNick,auctionSku,rateDate,rateContent
张***1,颜色分类:69 藏青色;尺码:165/72A/S,2021-03-01 15:37:31,薄款买下夏天穿
t***8,颜色分类:32 深米色;尺码:185/104C/XXL,2021-03-01 14:01:01,裤子已经收到，好评。买来之后真的挺宽松的，穿起来也不错。主要是没有了浅色买的深色，上身之后还是挺让人满意的。
x***7,颜色分类:32 深米色;尺码:185/120C/XXXXL,2021-02-28 23:53:01,买完没几天降价，自认倒霉吧
长***l,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-28 22:29:07,有轻微的弹性，也偏薄适合夏天
w***2,颜色分类:32 深米色;尺码:165/72A/S,2021-02-28 19:55:22,155的小学生，95斤屁股圆翘腿长，穿正好。
袁***邦,颜色分类:32 深米色;尺码:165/72A/S,2021-02-28 19:34:54,不错
a***a,颜色分类:08 深灰色;尺码:170/80A/M,2021-02-28 19:01:44,物流很给力，还没拆，以后再追加。
小***豆,颜色分类:32 深米色;尺码:170/80A/M,2021-02-28 17:39:27,薄款的
w***0,颜色分类:08 深灰色;尺码:165/72A/S,2021-02-28 12:25:31,性价比高，裤子版型好
短***1,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-27 20:29:51,稍稍有点偏薄，裤子版型很好，棉的，穿着很舒服
晴***电,颜色分类:32 深米色;尺码:170/80A/M,2021-02-27 18:15:38,裤子舒适，175买170的正好！
暗***啦,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-27 15:01:03,。。。。149买的，现在99😒😒😒
皇***君,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-27 10:03:14,昨晚下单，第二天一早就收到了，170穿是九分裤，非常不错
n***i,颜色分类:32 深米色;尺码:175/88A/L,2021-02-26 23:00:38,非常合身，厚薄正好，长短居然也正合适。很棒。
t***2,颜色分类:32 深米色;尺码:180/96B/XL,2021-02-26 18:17:33,快递是店里发来的嘛？连个外包装都没有。最可气的是连吊牌都没有！
t***2,颜色分类:08 深灰色;尺码:185/104C/XXL,2021-02-24 12:22:09,黑色的挺喜欢
f***g,颜色分类:32 深米色;尺码:165/72A/S,2021-02-22 18:38:46,特别薄，适合夏天。长度稍长了，说是九分裤，其实穿起来跟长裤差不多
x***j,颜色分类:08 深灰色;尺码:170/80A/M,2021-02-22 10:11:59,好东西，难得不沾毛，尺码175-130，腰围尺码30-31，76-78CM，170-80M腰围微大一丢丢，整体舒适宽松不修身，系绳刚刚好，春夏季都可以穿，比较薄舒服
z***z,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-20 14:51:22,哥哥穿着还不错
非***妹,颜色分类:32 深米色;尺码:165/72A/S,2021-02-19 14:37:59,很好
t***4,颜色分类:32 深米色;尺码:170/80A/M,2021-02-19 12:11:37,177，110，腰围68，M恰好穿，版型很棒，面料舒服，很轻。搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家
段***杰,颜色分类:32 深米色;尺码:185/112C/XXXL,2021-02-12 12:33:48,太拉胯了 买了一块烂布
y***n,颜色分类:08 深灰色;尺码:165/72A/S,2021-02-12 00:57:17,太白金星
t***子,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-11 19:16:25,好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评
