displayUserNick,auctionSku,rateDate,rateContent
h***r,颜色分类:69 藏青色;尺码:155/62A/S,2021-03-01 14:40:09,挺好看的！
一***秋,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-27 19:15:05,折痕比较明显，裤子比较松。其他都挺好的。
c***9,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-27 15:52:55,舒服，好穿
肥***1,颜色分类:69 藏青色;尺码:165/78A/XL,2021-02-26 09:30:50,质量还不错，快递很有效率，服务态度都很好。
k***2,颜色分类:69 藏青色;尺码:160/70A/L,2021-02-25 20:46:47,很舒服性价比高
文***用,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-24 21:00:57,挺好的
福***8,颜色分类:69 藏青色;尺码:160/70A/L,2021-01-17 09:53:39,东西很好👍👍👍为什么要分件，一起下单却分好几个
d***铃,颜色分类:32 深米色;尺码:155/62A/S,2020-12-09 23:14:34,面料很舒服～当睡裤穿～价格实惠～强推～
n***0,颜色分类:32 深米色;尺码:175/88B/XXXL,2020-11-29 20:07:54,买给妈**一直都给妈妈优衣库家的裤子给妈妈
n***0,颜色分类:26 橙红色;尺码:175/88B/XXXL,2020-11-29 20:07:16,买给妈**一直都给妈妈优衣库家的裤子给妈妈
a***猴,颜色分类:09 黑色;尺码:160/66A/M,2020-11-28 18:22:55,好看。
s***8,颜色分类:69 藏青色;尺码:165/78A/XL,2020-11-28 16:15:22,优衣库的衣服不错
d***铃,颜色分类:09 黑色;尺码:155/62A/S,2020-11-26 10:04:37,面料非常舒服，上身效果很不错！质感很好！物美价廉！强推～
深***兰,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-25 21:08:07,好评
b***l,颜色分类:09 黑色;尺码:155/62A/S,2020-11-24 17:11:59,要写好多个要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个字。
b***l,颜色分类:09 黑色;尺码:155/62A/S,2020-11-24 17:11:34,要写好多个要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个要写好多个字。要写好多个字。要写好多个字。要写好多个字。要写好多个字。
j***q,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-24 16:38:12,好评
心***胖,颜色分类:69 藏青色;尺码:160/70A/L,2020-11-23 17:15:31,舒服
紫***4,颜色分类:09 黑色;尺码:160/66A/M,2020-11-23 12:32:50,挺好的，165  60穿这个码够了，长度也可，还比往年买的夏季衣服长一点点，适合夏季，容易皱，最好挂着放
y***4,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-22 14:21:47,双十一购入，家里穿着很舒服，
大***9,颜色分类:09 黑色;尺码:160/70A/L,2020-11-19 19:33:04,有点大
任***亲,颜色分类:09 黑色;尺码:155/62A/S,2020-11-19 10:43:26,第二次购买了，称着双11便宜
w***8,颜色分类:32 深米色;尺码:155/58A/XS,2020-11-18 15:12:04,舒服，就是太皱
1***j,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-18 13:44:43,长度合适，质地软滑，松紧腰很舒适，裤腿收紧不拖沓，刚打开包裹，初觉得颜色太深裤腿太肥，但洗后上身体感非常好。尤其是在实体店逛了一圈后，觉得自己网上79元订购的这件就更没错了。粘纤材质膝盖不鼓包且垂顺，比格子那款法兰绒质地的更深得我心。
哎***c,颜色分类:09 黑色;尺码:160/66A/M,2020-11-17 21:36:59,不怎么喜欢，不退了。
咔***唲,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-17 18:31:44,真的很皱！！！其他还行，宽松，对胖妹子友好。
c***4,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-16 13:28:50,165，51穿m腰肥了点，但是家居就应该宽松点
q***猫,颜色分类:26 橙红色;尺码:175/88B/XXXL,2020-11-16 10:39:32,还没下水，试穿很满意。
钢***5,颜色分类:32 深米色;尺码:160/70A/L,2020-11-16 08:05:31,不错
l***3,颜色分类:69 藏青色;尺码:165/78A/XL,2020-11-16 07:14:53,怕再特颜色不全，先入了
t***n,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-15 18:38:33,优衣库可以闭着眼睛买
t***9,颜色分类:09 黑色;尺码:160/66A/M,2020-11-15 09:55:08,裤子挺舒服的 就是够了长度 裤腰有点宽 就绑带就好很多
丘***红,颜色分类:09 黑色;尺码:160/66A/M,2020-11-14 14:35:28,很好。
丘***红,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-14 14:34:03,满意
s***3,颜色分类:32 深米色;尺码:155/62A/S,2020-11-14 13:43:08,裤子很不错，前面买过一条红色，穿着很舒服
婧***白,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-14 11:18:37,舒服，但是挺像睡裤的
独***绣,颜色分类:32 深米色;尺码:155/62A/S,2020-11-14 09:54:15,束脚，易皱
a***t,颜色分类:32 深米色;尺码:155/58A/XS,2020-11-11 09:47:28,好看，买来屯着夏天穿吧
l***y,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-11 08:56:04,超级舒服，喜欢
杉***8,颜色分类:69 藏青色;尺码:165/78A/XL,2020-11-11 08:46:32,比一般的xl肥，懒得退了
群***秦,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-10 09:05:05,未拆封
2***c,颜色分类:69 藏青色;尺码:160/66A/M,2020-11-09 23:01:36,是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买
c***9,颜色分类:09 黑色;尺码:160/70A/L,2020-11-09 22:17:27,偏大
4***f,颜色分类:26 橙红色;尺码:160/70A/L,2020-11-08 22:41:09,休闲舒适，居家外穿都可以👍
4***f,颜色分类:09 黑色;尺码:160/70A/L,2020-11-08 22:41:09,休闲舒适，居家外穿都可以👍
b***l,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-08 18:12:37,每次收货都是非常愉快的，这是一套总结出来通用的网购模板，如果你是想看评论决定买不买这个宝贝，你可以打住了。因为我说的你不一定信，但是我自己却坚定不移的要给好评，为啥呢？因为淘宝**较多，不写芝麻分上不去？？？
n***g,颜色分类:32 深米色;尺码:170/82A/XXL,2020-11-07 21:45:02,面料是树纵锻丝绸的，丝滑有光泽，透气且悬垂性好，家居外出穿着两相宜。
西***o,颜色分类:09 黑色;尺码:160/66A/M,2020-11-07 18:28:28,好
西***o,颜色分类:09 黑色;尺码:155/62A/S,2020-11-07 18:28:28,好
w***2,颜色分类:09 黑色;尺码:160/70A/L,2020-11-07 11:43:21,有点大，不过透气，居家穿舒服
t***n,颜色分类:69 藏青色;尺码:155/62A/S,2020-11-06 21:51:47,面料舒服！折扣买了两条，值得！
w***8,颜色分类:09 黑色;尺码:165/78A/XL,2020-11-06 15:21:50,优衣库的衣服非常舒服，双11优惠力度越来越少了
木***蝉,颜色分类:09 黑色;尺码:160/66A/M,2020-11-06 13:32:20,可以
碧***儿,颜色分类:32 深米色;尺码:160/70A/L,2020-11-05 13:09:10,好
碧***儿,颜色分类:69 藏青色;尺码:160/70A/L,2020-11-05 13:09:10,好
w***2,颜色分类:32 深米色;尺码:155/58A/XS,2020-11-04 18:19:33,很好穿，降价回购了
t***5,颜色分类:26 橙红色;尺码:160/70A/L,2020-11-03 08:35:25,好评！
高***女,颜色分类:26 橙红色;尺码:160/70A/L,2020-10-31 15:51:12,太差了，最不愉快的一次。只穿一次。这样质量对不起的价格。买了后悔，洗完以后看起来旧旧的。
哎***m,颜色分类:69 藏青色;尺码:155/62A/S,2020-10-24 11:15:54,优衣库的睡裤裤型特别好，比他家正装裤子还要好&hellip;
延***儿,颜色分类:69 藏青色;尺码:165/78A/XL,2020-10-23 17:38:06,码数偏大，转给妈妈了。
桃***9,颜色分类:09 黑色;尺码:160/66A/M,2020-10-22 22:55:52,好穿
c***o,颜色分类:69 藏青色;尺码:160/70A/L,2020-10-22 11:47:53,一开始买的卡其色，穿着舒服又加买了～优衣库的衣服从来没让我失望过～
z***q,颜色分类:32 深米色;尺码:160/66A/M,2020-10-17 00:36:26,实体店买了一件（桔红色的）穿着感觉不错，但断码了，就在网上买了两件（卡其色那件），穿着不对劲，一量短了两公分。图4是网上买的同尺码直筒，竟然长了那么多。品牌质量太让人失望了。
t***1,颜色分类:69 藏青色;尺码:160/66A/M,2020-10-14 16:11:02,优秀的优衣库，除了物美价廉四个字，还能说什么。
k***p,颜色分类:09 黑色;尺码:160/70A/L,2020-10-14 12:05:33,之前买的蓝色，超舒服
任***亲,颜色分类:09 黑色;尺码:155/62A/S,2020-10-12 19:30:38,垂感很好，再入一条
郭***2,颜色分类:09 黑色;尺码:160/66A/M,2020-10-12 10:49:08,什么玩意儿，尺寸不合适，质量也没有客服说的那么好，让我发图片举证。图片发过去，要求退货，理都不理，就是拒绝，害的到时间系统自动收货，坑，就当买教训了，网上的服务真是不敢信
繁***子,颜色分类:69 藏青色;尺码:155/62A/S,2020-10-11 17:09:16,很舒服，店里买了一件，穿了2次就被消毒液毁了，重新网上买一件，没打折还要加快递费。去年也买过类似同款，没这么宽，一年一条夏天穿舒适。推荐
我***多,颜色分类:69 藏青色;尺码:160/66A/M,2020-10-10 14:59:07,买了2条黑色和藏青色各一，黑色的比较满意，藏青色的实物颜色跟模特穿的有差距，实物颜色浅一点，还是喜欢深一点的，想把藏青色的一条退掉，页面显示的确认收货还有一天零6小时，但是申请退货没有成功，为什么？？？
h***y,颜色分类:09 黑色;尺码:155/62A/S,2020-10-07 15:06:21,穿着舒服 料子容易皱
h***y,颜色分类:69 藏青色;尺码:155/62A/S,2020-10-03 23:32:03,料子很舒服 就是容易皱
k***6,颜色分类:69 藏青色;尺码:155/62A/S,2020-10-03 17:26:40,好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
麦***赚,颜色分类:32 深米色;尺码:175/88B/XXXL,2020-10-01 18:19:46,一不小心买太大了，但想着孕后期能穿就留下来了。超级大，质感就这样吧，算还行。
l***容,颜色分类:09 黑色;尺码:155/62A/S,2020-09-30 08:22:35,跟实体店不一样，皱皱巴巴，客服还不理人
神***x,颜色分类:09 黑色;尺码:160/70A/L,2020-09-29 16:31:44,自己买了同事看到不错又帮忙买了，家居外穿都没问题，很舒服，面料透气，放洗衣机洗貌似有一点点脱色，放了几张色片染的有点颜色
s***n,颜色分类:69 藏青色;尺码:160/66A/M,2020-09-27 19:31:25,布料滑滑的，软软的，刚进入秋天穿正好，舒服。
e***g,颜色分类:09 黑色;尺码:165/78A/XL,2020-09-26 13:14:51,尺寸合适，舒适清凉，很好！
凡***派,颜色分类:69 藏青色;尺码:165/78A/XL,2020-09-25 21:05:55,很舒服，就是号码偏大
w***a,颜色分类:69 藏青色;尺码:160/70A/L,2020-09-25 11:15:05,好
w***a,颜色分类:09 黑色;尺码:160/70A/L,2020-09-25 11:13:07,好
w***7,颜色分类:09 黑色;尺码:160/66A/M,2020-09-23 15:23:13,优秀，太优秀
豆***8,颜色分类:09 黑色;尺码:155/58A/XS,2020-09-23 10:40:26,可惜其他颜色没有号了
猪***2,颜色分类:09 黑色;尺码:160/70A/L,2020-09-22 16:25:42,好
刘***6,颜色分类:09 黑色;尺码:160/66A/M,2020-09-20 02:06:31,宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖
i***7,颜色分类:09 黑色;尺码:160/70A/L,2020-09-19 23:11:55,太大了
爱***8,颜色分类:69 藏青色;尺码:155/62A/S,2020-09-19 12:55:29,喜欢这种料子的裤子
爱***8,颜色分类:09 黑色;尺码:155/62A/S,2020-09-19 12:55:29,这条裤子是人家退的，就发过来了，不负责
穷***熙,颜色分类:32 深米色;尺码:170/82A/XXL,2020-09-17 14:51:03,质量好，料子柔软 弹性很大。穿着舒服，很爱！
穷***熙,颜色分类:26 橙红色;尺码:170/82A/XXL,2020-09-17 14:51:03,质量好，料子柔软 弹性很大。穿着舒服，很爱！
运***4,颜色分类:69 藏青色;尺码:160/70A/L,2020-09-16 15:51:02,不错就是容易褶
t***9,颜色分类:69 藏青色;尺码:165/78A/XL,2020-09-16 09:02:33,买大了，不过布料舒服
慢***8,颜色分类:26 橙红色;尺码:160/66A/M,2020-09-15 20:25:39,面料很舒服，但是很容易皱，穿了两天就莫名奇妙勾丝了，这个自来旧的红色说实话不好看，不算橙红，不值这个价
j***4,颜色分类:69 藏青色;尺码:160/70A/L,2020-09-15 14:34:26,作出评价表示对此商品的认可，不错的产品，性价比高。
w***2,颜色分类:26 橙红色;尺码:155/58A/XS,2020-09-15 10:49:33,这个橙红色很好看，穿着当居家服也很舒服
逆***2,颜色分类:09 黑色;尺码:160/66A/M,2020-09-14 19:54:29,舒服
l***0,颜色分类:09 黑色;尺码:175/88B/XXXL,2020-09-14 16:10:58,优衣库的衣服，质量杠杠滴，满意！
张***摇,颜色分类:09 黑色;尺码:165/78A/XL,2020-09-14 10:51:22,买给妈**妈妈喜欢
a***奕,颜色分类:09 黑色;尺码:165/78A/XL,2020-09-13 22:53:26,裤子很舒服 但是显胖
牛***n,颜色分类:69 藏青色;尺码:160/66A/M,2020-09-13 21:50:29,实体店本来买了l结果回家拆大了，重新买了m，可以
我***y,颜色分类:32 深米色;尺码:160/70A/L,2020-09-13 09:15:37,实物颜色更深
f***2,颜色分类:09 黑色;尺码:155/62A/S,2020-09-12 08:44:07,一直买这个码数正好，穿着好看，料子是那种缎面的滑滑的，很喜欢，没有失望
橘***莓,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-11 21:09:58,宽松款，好穿
橘***莓,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-11 21:04:44,一下买了四条，能有别的深色系的就好了
橘***莓,颜色分类:69 藏青色;尺码:170/82A/XXL,2020-09-11 21:03:39,简直是胖**福音，大码店买的4XL都穿不了，这一款2XL穿着还很宽松，很舒适，就不那么考虑美观了毕竟梨形身材裤子难买
清***8,颜色分类:69 藏青色;尺码:170/82A/XXL,2020-09-11 16:31:08,宽松舒适，描述说会缩水，洗洗再看。
清***8,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-11 16:31:07,还不错，宽松舒适。
冰***七,颜色分类:69 藏青色;尺码:155/62A/S,2020-09-11 15:57:31,158cm，86斤，155/s码还是大了，可惜这个颜色没有xs码了，料子是舒服的，很喜欢
t***3,颜色分类:09 黑色;尺码:160/70A/L,2020-09-11 07:51:16,好看
t***2,颜色分类:09 黑色;尺码:160/70A/L,2020-09-10 08:01:30,买给妈**，妈妈说很满意，很舒服
也***2,颜色分类:69 藏青色;尺码:155/58A/XS,2020-09-09 11:50:28,束脚裤好舒服，居家可以穿
四***品,颜色分类:32 深米色;尺码:160/66A/M,2020-09-08 21:31:09,实体店买的。很喜欢。有买了不用颜色
舒***袋,颜色分类:09 黑色;尺码:160/66A/M,2020-09-08 12:37:19,优衣库每次有活动就像去批发一样，收了蓝色和黑色的
海***4,颜色分类:69 藏青色;尺码:160/70A/L,2020-09-07 14:31:23,都挺好的，就是没时间去店里才在线上买的，疫情期间在家胖了十多斤，码数选择就大了一码，结果有点大，我没有我想的那么胖。
j***9,颜色分类:69 藏青色;尺码:155/62A/S,2020-09-07 13:54:06,这是改版了吗，和之前的比，又宽又大，拆了就没退，应该去实体店看的
j***9,颜色分类:09 黑色;尺码:160/70A/L,2020-09-07 13:54:05,这是改版了吗，和之前的比，又宽又大，拆了就没退，应该去实体店看的
舒***袋,颜色分类:69 藏青色;尺码:160/66A/M,2020-09-06 11:50:32,裤子不错，再去下单黑色的，优衣库的东西真是一买停不下，价格实惠质量也不错，特别是做活动的时候整个去批发一样哈哈
s***5,颜色分类:69 藏青色;尺码:175/88B/XXXL,2020-09-06 02:14:12,好看，轻薄舒适，其实我买大了，不过本来也是想在家穿的，肥一点也挺自在的
苏***娜,颜色分类:69 藏青色;尺码:160/66A/M,2020-09-05 09:54:27,挺宽松的，可以买小一号的，穿着像长裤
t***5,颜色分类:69 藏青色;尺码:155/62A/S,2020-09-03 03:21:00,好
t***5,颜色分类:26 橙红色;尺码:155/62A/S,2020-09-03 03:21:00,好
t***5,颜色分类:32 深米色;尺码:155/62A/S,2020-09-03 03:21:00,好
冯***旗,颜色分类:69 藏青色;尺码:160/70A/L,2020-09-01 22:28:10,大小合适， 样子漂亮。
b***2,颜色分类:69 藏青色;尺码:165/78A/XL,2020-08-31 09:51:34,挺好的
t***2,颜色分类:09 黑色;尺码:160/70A/L,2020-08-29 22:45:02,质量很好 很凉快 在店里试了没有码 合适
o***8,颜色分类:69 藏青色;尺码:155/62A/S,2020-08-29 20:15:30,轻盈又透气，好穿又实惠
凉***暖,颜色分类:69 藏青色;尺码:175/88B/XXXL,2020-08-29 11:20:27,有点皱
葡***座,颜色分类:09 黑色;尺码:155/58A/XS,2020-08-28 13:41:51,好穿
葡***座,颜色分类:69 藏青色;尺码:155/58A/XS,2020-08-28 13:41:51,好穿
k***p,颜色分类:69 藏青色;尺码:160/70A/L,2020-08-26 15:21:49,可以
