displayUserNick,auctionSku,rateDate,rateContent
宝***铱,颜色分类:09 黑色;尺码:155/62A/S,2021-02-27 14:03:13,有点大了，
泡***9,颜色分类:09 黑色;尺码:160/70A/L,2021-02-23 11:25:52,裤子挺舒服的，就是买大了一点，算了不换了
亲***7,颜色分类:09 黑色;尺码:160/66A/M,2021-02-02 11:47:21,每一款都很喜欢！
w***2,颜色分类:09 黑色;尺码:160/66A/M,2021-01-27 14:35:29,裤型好，适合下肢胖星人，爱起皱也没办法
j***4,颜色分类:09 黑色;尺码:155/62A/S,2021-01-18 09:45:40,此用户没有填写评论!
z***n,颜色分类:09 黑色;尺码:165/78A/XL,2021-01-05 10:16:18,此用户没有填写评论!
小***虫,颜色分类:09 黑色;尺码:160/66A/M,2020-12-11 10:15:56,此用户没有填写评论!
t***3,颜色分类:09 黑色;尺码:155/62A/S,2020-12-08 23:04:51,还没穿
哈***0,颜色分类:09 黑色;尺码:160/66A/M,2020-12-01 22:09:17,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
孙***2,颜色分类:09 黑色;尺码:165/78A/XL,2020-11-27 16:18:12,不错
t***6,颜色分类:35 浅褐色;尺码:165/78A/XL,2020-11-27 10:45:28,此用户没有填写评论!
风***黛,颜色分类:09 黑色;尺码:160/66A/M,2020-11-26 18:11:04,此用户没有填写评论!
l***8,颜色分类:67 海蓝色;尺码:160/70A/L,2020-11-24 19:54:31,不错
波***2,颜色分类:09 黑色;尺码:155/62A/S,2020-11-23 10:50:02,不错不错
t***3,颜色分类:09 黑色;尺码:160/70A/L,2020-11-23 10:28:14,163cm，150斤，之前拍了Xl大了，换了L码 裤子感觉裤脚很大很阔，面料太皱了，洗完好一点 双十一79拍的，过后原价99元，客服超级棒，帮忙处理差异金额
t***2,颜色分类:09 黑色;尺码:160/66A/M,2020-11-21 17:31:37,裤子洗了一次没有穿皱巴巴的，有点失望😞
l***3,颜色分类:67 海蓝色;尺码:160/66A/M,2020-11-20 21:41:59,还是好长，拖到地上了。不过当睡裤还凑合，舒服是蛮舒服的。165以下的朋友建议不要买比这大的，不然绝对拖地上了
a***h,颜色分类:09 黑色;尺码:155/62A/S,2020-11-20 20:08:22,这种材质洗完好皱啊。不过本来就是在家穿的，舒服就好~
x***y,颜色分类:09 黑色;尺码:160/66A/M,2020-11-20 10:08:26,料子很舒服，滑滑的，但是按照推荐买的M码，本人160，结果裤子又大又长，本来想退的，但是运费自付，退货反而不划算，就居家休闲穿吧。
l***8,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-18 12:34:50,还可以，165#穿这个码正好，最大的缺点就是太皱了，特别皱，用挂烫机熨了，但是其中的小细纹没法熨平，其次就是显胖了&hellip;
我***v,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-17 22:13:07,一般般吧
t***0,颜色分类:67 海蓝色;尺码:160/66A/M,2020-11-17 21:52:50,双11便宜了
l***9,颜色分类:02 浅灰色;尺码:160/66A/M,2020-11-17 07:55:10,色差可以出两款了，无语，超级薄，而且皱巴巴，
s***0,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-16 22:09:23,物流不行
风***途,颜色分类:67 海蓝色;尺码:155/62A/S,2020-11-16 21:37:07,太爱了！长度刚好盖过脚踝，这个颜色很高级！穿起来特别舒服！只是要小心点，很容易拉丝
爱***9,颜色分类:67 海蓝色;尺码:160/70A/L,2020-11-16 18:42:49,其他裤子是L码，这款也是。没想到裤子很宽松，应该买小一码，不过面料是真透气。
t***8,颜色分类:02 浅灰色;尺码:170/82A/XXL,2020-11-15 20:50:53,很好👍！
t***4,颜色分类:09 黑色;尺码:160/66A/M,2020-11-15 20:03:45,太长了
l***0,颜色分类:09 黑色;尺码:155/62A/S,2020-11-15 16:10:06,这款不好，如其她买家所说
盘***华,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-15 07:58:26,特别舒服😌
三***温,颜色分类:67 海蓝色;尺码:155/62A/S,2020-11-13 17:59:12,不错宽松舒服还显瘦 赞
j***u,颜色分类:67 海蓝色;尺码:160/66A/M,2020-11-13 10:19:20,一样的裤子，这条皱巴巴的，不知道怎么了。
j***u,颜色分类:02 浅灰色;尺码:160/66A/M,2020-11-13 10:19:20,好
j***u,颜色分类:35 浅褐色;尺码:160/66A/M,2020-11-13 10:08:48,不错
t***8,颜色分类:35 浅褐色;尺码:165/78A/XL,2020-11-12 20:46:55,很好👍！
w***2,颜色分类:67 海蓝色;尺码:160/66A/M,2020-11-12 15:59:27,裤型非常好，做工也好
w***n,颜色分类:67 海蓝色;尺码:155/62A/S,2020-11-12 13:51:06,质量不错，值得信赖
雪***琊,颜色分类:35 浅褐色;尺码:160/66A/M,2020-11-12 13:07:55,帮朋友买的
星***i,颜色分类:35 浅褐色;尺码:155/62A/S,2020-11-12 08:57:00,面料柔软舒适，不过有色差，颜色深很多，棕色来的
