displayUserNick,auctionSku,rateDate,rateContent
兔***e,颜色分类:61 水蓝色;尺码:160/66A/M,2021-03-01 04:54:05,非常好穿
放***6,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-28 15:05:49,为了那件蓝色T恤收了这条裤子，主要是看到模特配的。
大***9,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-28 14:24:53,很好
a***i,颜色分类:61 水蓝色;尺码:155/62A/S,2021-02-25 09:42:49,跟买的另一款同尺寸的束脚裤长度不一样，这款长了很多
水***6,颜色分类:69 藏青色;尺码:170/82A/XXL,2021-02-24 17:52:01,宝贝收到了，和描述一样，很喜欢
s***于,颜色分类:69 藏青色;尺码:155/58A/XS,2021-02-24 10:09:00,裤子很好看，穿着也舒服，适合居家
小***铛,颜色分类:69 藏青色;尺码:175/88B/XXXL,2021-02-23 13:10:56,好
t***8,颜色分类:61 水蓝色;尺码:160/70A/L,2021-02-22 20:49:15,质量还可以就是尺码买大了换太费事就这样吧
樱***呀,颜色分类:69 藏青色;尺码:160/66A/M,2021-02-22 14:12:44,此用户没有填写评论!
t***5,颜色分类:61 水蓝色;尺码:155/62A/S,2021-02-22 13:21:21,裤子很宽松，平时穿s 码都挺合身的，这个显得比较大，像M码似的
w***9,颜色分类:69 藏青色;尺码:155/58A/XS,2021-02-22 12:08:31,xs真的就够宽松了哈哈哈哈哈很舒服
n***0,颜色分类:69 藏青色;尺码:170/82A/XXL,2021-02-21 18:26:56,码数偏大
s***l,颜色分类:69 藏青色;尺码:165/78A/XL,2021-02-02 20:27:19,很合适的，款式也喜欢
亲***9,颜色分类:69 藏青色;尺码:160/66A/M,2021-01-29 20:08:59,优衣库的衣服都很舒服！
p***2,颜色分类:61 水蓝色;尺码:165/78A/XL,2021-01-27 15:18:22,优衣库家居服的码数感觉都偏大啊
许***华,颜色分类:61 水蓝色;尺码:155/58A/XS,2021-01-25 17:11:55,卖家服务态度很好，耐心解答各种问题。包装严实，发货迅速。
w***8,颜色分类:61 水蓝色;尺码:160/70A/L,2021-01-21 14:19:08,料子超舒服
g***5,颜色分类:69 藏青色;尺码:165/78A/XL,2020-12-04 14:53:24,好喜欢
c***n,颜色分类:69 藏青色;尺码:165/78A/XL,2020-12-03 22:29:16,買大了，但是花色比預期好看
