displayUserNick,auctionSku,rateDate,rateContent
f***f,颜色分类:10 水粉色;尺码:155/80A/S,2021-03-02 12:26:56,材质很舒服
y***2,颜色分类:10 水粉色;尺码:160/84A/M,2021-03-01 22:58:28,挺舒服的，比较薄
丛***彤,颜色分类:10 水粉色;尺码:160/88A/L,2021-03-01 21:51:47,质量很好轻薄
l***e,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-28 12:25:30,较薄
啊***得,颜色分类:10 水粉色;尺码:150/76A/XS,2021-02-27 15:53:25,这套明显比上次发的同款新哦。摸着不太绒。
g***y,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-27 09:06:17,非常舒服的睡衣，内衣睡衣都是优衣库的，一贯的好！
胡***6,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-26 20:29:21,大小很合适哦，料子很舒服哦，就是这种藏青偏暗偏黑，颜色有点暗，不衬肤色。
y***7,颜色分类:10 水粉色;尺码:150/76A/XS,2021-02-26 12:12:17,非常舒服
b***k,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-25 21:27:44,质量还不错，199买的
小***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-25 17:27:17,不错
马***y,颜色分类:09 黑色;尺码:160/88A/L,2021-02-25 15:43:52,穿着很舒服，没有束缚感，裤子在长点就好了。本人身高163，体重116这个号码宽松给大家参考一下。
d***e,颜色分类:09 黑色;尺码:160/84A/M,2021-02-25 10:57:32,比较薄，料子也不是很软那种，款式是修身的，要买大一码会舒服一点
h***m,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-24 16:07:33,非常好，颜色样式大方，不显胖还洋气
c***l,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-24 12:14:55,很喜欢素色的睡衣，一次买了两套，款式好看穿着也舒服，上海到广东一天就到了！
c***l,颜色分类:10 水粉色;尺码:155/80A/S,2021-02-24 12:14:55,很喜欢素色的睡衣，一次买了两套，款式好看穿着也舒服，上海到广东一天就到了！
舒***a,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-23 20:44:25,在店里看中的款式，店里没尺码还贵，面料很舒适，发货也很快。
k***儿,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-23 16:47:23,舒适，小贵
k***儿,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-23 16:47:23,舒适，小贵
x***9,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-23 11:26:45,面料很舒服，好评～
l***琪,颜色分类:09 黑色;尺码:160/88A/L,2021-02-22 16:38:08,衣服是那种薄薄的，已经下水了，棉质的洗完之后总感觉没有质感，摸起来还不错，最重要的是蹲了几天确实降价了，199买的。
永***颜,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-22 15:32:42,穿着大小还算合身，面料也可以，就是感觉上身稍微有点老气，哈哈！
没***羊,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-22 13:02:08,好
l***7,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-22 13:00:40,面料轻薄符合预期，165%53M码合适
一***9,颜色分类:10 水粉色;尺码:150/76A/XS,2021-02-22 11:36:32,很好，很合身
e***3,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-22 03:33:36,平平无奇，但舒服
5***g,颜色分类:10 水粉色;尺码:155/80A/S,2021-02-21 23:26:47,鉴于极度舒适，颜色就将就着吧，接近肉色。一个口袋都没有，不能装手机是缺点也是优点。身高160体重100，穿155很合适。薄款，适合春秋，冬季不行。
x***b,颜色分类:10 水粉色;尺码:150/76A/XS,2021-02-21 19:52:19,好
t***7,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-21 19:47:44,超乎意料，显瘦好看，看似面料不会皱不容易起包。质量做工没得说，这样的价格太超值。你们家睡衣买送人自家用都好几套了，必须给赞👍
l***0,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-21 17:48:38,穿着很舒服，就是有点薄
花***4,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-21 14:20:03,很舒服，摸着。再打折买套黑色的
酱***m,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 14:10:17,有点薄。裤子的腿有点阔腿的感觉。 不是自己喜欢的版型。 希望面料不起球变形！
f***1,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-20 19:48:21,很好
小***酱,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-20 09:27:04,质量非常好 不变形 显瘦 还要买一套
许***l,颜色分类:10 水粉色;尺码:150/76A/XS,2021-02-20 03:07:17,好
明***宁,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-19 21:38:27,很舒服的睡衣
阿***措,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-19 15:50:55,很薄，不厚实！我之前买了一条价钱差不多的，手感很软绵厚度也不错，感觉不值这个价钱
z***a,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-19 12:22:33,在店里试过的，xs码只有天猫店才有，薄薄软软的很舒服，做工不错，白边显得很精致，款式不错，只是颜色太少，能多几个色就完美了
纠***3,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-19 12:15:34,颜色还行，就是刚买就降价 差距大
t***6,颜色分类:10 水粉色;尺码:170/100B/XXL,2021-02-18 23:20:38,摸着挺舒服的天气暖和就换
白***1,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-18 21:29:24,睡衣刚好，穿起来不会热
x***y,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-18 19:41:35,有点痒 显瘦
舒***袋,颜色分类:09 黑色;尺码:160/84A/M,2021-02-18 16:32:27,Airism料子的睡衣很舒服，已经收了好多套了，看到出新款还想再收。
1***e,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-18 15:57:54,很舒服
d***7,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-18 12:54:14,愉快的交易！！！！
