displayUserNick,auctionSku,rateDate,rateContent
玛***夏,鞋码:L;颜色分类:08 深灰色,2021-02-25 18:26:29,还不错
a***6,鞋码:M;颜色分类:08 深灰色,2021-02-24 17:54:08,鞋底弹性好，穿着很软，很舒服。就是发过来的鞋面条纹一个4条，一个5条，看着不像同一双鞋。不高兴再去换了。
s***0,鞋码:L;颜色分类:32 深米色,2021-02-23 16:27:24,品质一般，没有去年买的质量好
董***玲,鞋码:M;颜色分类:32 深米色,2021-02-22 08:35:55,这个拖鞋底很舒服，前面自己买了双另外款式的好穿，这次给小孩买，她也喜欢。
j***i,鞋码:M;颜色分类:32 深米色,2021-02-21 17:08:02,38的脚刚刚刚刚好，脚胖的建议买大一码，踩着挺舒服的，深冬穿开口浅估计会冷
挥***年,鞋码:M;颜色分类:08 深灰色,2021-02-08 17:30:20,这个鞋只适合在屋里穿，不然鞋边会蹭得很脏。踩屎感还是很不错的，38号入手M刚刚好
m***3,鞋码:XL;颜色分类:32 深米色,2021-02-08 08:39:16,终于有xl
t***9,鞋码:M;颜色分类:32 深米色,2021-02-06 15:45:32,面料材质：好
s***k,鞋码:L;颜色分类:08 深灰色,2021-02-04 10:26:20,开始还怕买小了，上脚后刚刚好，踩💩感很舒服
偶***遛,鞋码:L;颜色分类:32 深米色,2021-02-02 15:50:19,好
时***登,鞋码:L;颜色分类:32 深米色,2021-02-02 15:32:00,L码适合美码9以上穿着
q***5,鞋码:L;颜色分类:08 深灰色,2021-01-31 18:07:51,不错
丘***颖,鞋码:M;颜色分类:32 深米色,2021-01-31 15:07:59,还行，口太浅。
l***生,鞋码:L;颜色分类:08 深灰色,2021-01-30 17:55:24,不错
卢***6,鞋码:L;颜色分类:08 深灰色,2021-01-26 22:50:20,整体评价：很好
o***9,鞋码:M;颜色分类:32 深米色,2021-01-23 23:33:04,质量不错哦，穿上舒服
悟***来,鞋码:L;颜色分类:08 深灰色,2021-01-23 13:02:16,好
欣***w,鞋码:L;颜色分类:32 深米色,2021-01-13 23:44:55,老公42码穿l刚刚好还有点小
d***t,鞋码:L;颜色分类:08 深灰色,2021-01-13 11:44:04,味道有点大呀这个鞋子
上***1,鞋码:XL;颜色分类:08 深灰色,2021-01-06 15:02:13,随便买的，冬天大脚买拖鞋不容易，脚长29cm，耐克鞋穿46码，这个xl怎么说，正好是正好，但又觉得有一点点短。还算挺保暖的，穿着可以稍微防个寒
