displayUserNick,auctionSku,rateDate,rateContent
浮***芜,颜色分类:02 浅灰色;尺码:175/105/XXL,2021-03-02 10:11:46,衣服一点型都没有，居家穿软，拉胯一点也可以，一百多的衣服刚买没几天降价了五十，还不给退差价。要不然到手了就洗了就退货了
些***寄,颜色分类:09 黑色;尺码:165/95/L,2021-03-02 09:11:04,高弹好舒服啊！又买了裤子，太棒了！
z***g,颜色分类:70 浅紫色;尺码:180/110/XXXL,2021-03-02 09:04:58,给妈妈买的，很合适，166，160斤左右，在家穿很舒服。
r***1,颜色分类:09 黑色;尺码:170/100/XL,2021-03-02 07:34:22,喜欢
x***a,颜色分类:50 浅绿色;尺码:180/110/XXXL,2021-02-28 23:42:59,颜色真好看呀
邹***珂,颜色分类:02 浅灰色;尺码:165/95/L,2021-02-28 16:13:43,略薄了一点，质量不错
y***2,颜色分类:09 黑色;尺码:170/100/XL,2021-02-28 12:19:20,好
a***6,颜色分类:50 浅绿色;尺码:170/100/XL,2021-02-27 17:47:22,好
巍***边,颜色分类:50 浅绿色;尺码:170/100/XL,2021-02-27 12:53:40,稀松八谢，一般般
l***7,颜色分类:50 浅绿色;尺码:165/95/L,2021-02-26 14:09:02,宝贝质量很好，应该是正品，店服热情周到，物流也很快，发货速度很给力，值得拥有和推荐一下，五星好评一个先！！  ！
t***2,颜色分类:50 浅绿色;尺码:160/90/M,2021-02-25 08:37:36,穿着挺舒服的那种
s***2,颜色分类:70 浅紫色;尺码:160/90/M,2021-02-24 21:10:07,喜欢，要是不变形就好了
小***1,颜色分类:70 浅紫色;尺码:160/90/M,2021-02-24 20:36:23,颜色好看，衣服布料舒服，是薄款，适合春秋穿。衣服是宽松款，想穿宽松的可以选正常码，想穿合身可选小一码。
h***3,颜色分类:70 浅紫色;尺码:175/105/XXL,2021-02-23 21:33:05,贴身穿太舒服了，颜色也好看
t***2,颜色分类:02 浅灰色;尺码:160/90/M,2021-02-23 12:00:49,粗糙质感
t***2,颜色分类:12 桃红色;尺码:160/90/M,2021-02-23 12:00:49,粗糙质感
t***7,颜色分类:12 桃红色;尺码:165/95/L,2021-02-22 08:33:40,很精致，质量非常好，很满意的一次购物。谢谢店家！
q***o,颜色分类:70 浅紫色;尺码:155/85/S,2021-02-19 12:37:34,玩的时候顺道下个单，提一下货很方便
t***6,颜色分类:70 浅紫色;尺码:175/105/XXL,2021-02-18 23:22:03,软和布料舒服
x***a,颜色分类:70 浅紫色;尺码:180/110/XXXL,2021-02-16 12:01:42,挺好的
p***2,颜色分类:50 浅绿色;尺码:165/95/L,2021-02-10 00:57:42,柔软舒适
子***1,颜色分类:02 浅灰色;尺码:150/80/XS,2021-02-09 22:01:50,好穿。囤货第二套。
t***4,颜色分类:12 桃红色;尺码:160/90/M,2021-02-09 21:06:50,衣服质量很好，穿着非常舒服，值得够买
