displayUserNick,auctionSku,rateDate,rateContent
t***8,颜色分类:56 橄榄色;尺码:155/58A/XS,2021-02-26 20:39:29,发货快，物流快，妥妥的赞！！衣服质量也非常好，手感很舒服，会持续关注，也会继续回购哦～
奇***0,颜色分类:32 深米色;尺码:155/62A/S,2021-02-26 20:20:18,比较大 165 90的产后妇女建议买xs
f***5,颜色分类:09 黑色;尺码:165/78A/XL,2021-02-26 15:41:55,很喜欢
x***6,颜色分类:32 深米色;尺码:155/58A/XS,2021-02-26 12:57:57,面料赞！纯棉的，版型也很好！百搭款！
美***8,颜色分类:17 枣红色;尺码:160/70A/L,2021-02-26 12:37:52,满意
个***w,颜色分类:01 乳白色;尺码:160/66A/M,2021-02-26 10:21:49,我的身高体重：165，51kg，很合适
w***o,颜色分类:32 深米色;尺码:160/66A/M,2021-02-25 21:23:08,版型很好的半裙，穿上不显肚子和屁股，很日系的感觉，推荐！
n***g,颜色分类:32 深米色;尺码:170/82A/XXL,2021-02-25 08:19:46,很有型的半身裙，完美搭配各种衣服，正装休闲皆可，不会显得PP大，上身效果很不错！
i***l,颜色分类:17 枣红色;尺码:155/58A/XS,2021-02-24 20:01:07,很好看，也不会有腰围太宽的问题！
小***8,颜色分类:17 枣红色;尺码:160/66A/M,2021-02-24 19:40:54,不错，就是容易皱
幸***珠,颜色分类:32 深米色;尺码:165/78A/XL,2021-02-24 12:32:59,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐
l***草,颜色分类:17 枣红色;尺码:160/66A/M,2021-02-23 23:49:22,非常满意，大小合适161厘米，体重59公斤
w***8,颜色分类:32 深米色;尺码:155/58A/XS,2021-02-23 22:54:35,好看的
路***郁,颜色分类:32 深米色;尺码:155/62A/S,2021-02-23 20:17:02,很舒服，一直想买一个这种裙子，终于找到了合适的~
绛***7,颜色分类:01 乳白色;尺码:160/66A/M,2021-02-23 08:47:54,非常好，很合身，是我喜欢的类型
筱***猪,颜色分类:32 深米色;尺码:160/70A/L,2021-02-22 14:33:53,很斯文，适合夏天
t***8,颜色分类:32 深米色;尺码:160/70A/L,2021-02-22 11:54:06,可以
w***j,颜色分类:32 深米色;尺码:160/66A/M,2021-02-21 21:57:47,款式百搭，超级喜欢😊！
c***4,颜色分类:56 橄榄色;尺码:160/66A/M,2021-02-21 21:43:57,款式挺好看，穿起来也舒服
妹***7,颜色分类:32 深米色;尺码:165/78A/XL,2021-02-21 19:06:19,太爱了！优衣库的衣服真的很好&hellip;&hellip;
这***茜,颜色分类:56 橄榄色;尺码:170/82A/XXL,2021-02-21 19:04:50,扣子老松怎么办
玲***6,颜色分类:56 橄榄色;尺码:170/82A/XXL,2021-02-21 17:47:12,很好看，但买大了好多😭，退换太麻烦了，就这样吧。
漂***1,颜色分类:17 枣红色;尺码:155/62A/S,2021-02-21 11:31:35,好看的
r***8,颜色分类:56 橄榄色;尺码:170/82A/XXL,2021-02-21 07:14:05,原本还遗憾打折的时候没买到黑色，但是橄榄色到手一看，分明比黑色好，也不会有黏毛的担忧，😀166 80 kg的胖子表示刚刚好，腚大也不显肉
九***2,颜色分类:01 乳白色;尺码:155/62A/S,2021-02-20 23:28:43,感觉还行
曦***z,颜色分类:32 深米色;尺码:165/78A/XL,2021-02-20 13:48:32,一直想买个这样的裙子，终于买到了
l***慈,颜色分类:32 深米色;尺码:170/82A/XXL,2021-02-20 13:37:22,好
我***y,颜色分类:09 黑色;尺码:170/82A/XXL,2021-02-20 10:37:02,很好
t***0,颜色分类:32 深米色;尺码:155/62A/S,2021-02-20 10:20:58,好
c***7,颜色分类:17 枣红色;尺码:160/66A/M,2021-02-20 00:07:55,整体评价：非常非常好看，搭衬衫绝了。红的很端庄大气的颜色，非常棒！
v***5,颜色分类:17 枣红色;尺码:160/66A/M,2021-02-19 15:26:32,好看
欧***5,颜色分类:17 枣红色;尺码:160/70A/L,2021-02-18 19:23:37,喜欢，在实体店入手了军绿色，在这再入手了这枣红色
刘***汪,颜色分类:32 深米色;尺码:155/62A/S,2021-02-18 10:17:45,非常好看
t***2,颜色分类:56 橄榄色;尺码:160/70A/L,2021-02-17 23:52:42,降价太快 买贵了
师***萌,颜色分类:01 乳白色;尺码:155/62A/S,2021-02-17 22:20:00,最近很喜欢这种简单文艺的感觉
许***1,颜色分类:17 枣红色;尺码:155/62A/S,2021-02-17 15:57:44,收腰设计  带个卡子  简约大方  搭配建议：白色简约T恤
l***3,颜色分类:32 深米色;尺码:160/66A/M,2021-02-17 15:25:22,很不错
灭***蜂,颜色分类:01 乳白色;尺码:155/62A/S,2021-02-17 09:29:20,对腰细的要求有点高
