displayUserNick,auctionSku,rateDate,rateContent
珊***店,颜色分类:09 黑色;尺码:160/70A/L,2021-02-27 14:09:58,简直爱到不行，搭配任何衣服都可以，167.125斤，刚开始纠结怕显胖不敢买，结果太出乎意料了，非常喜欢！
t***g,颜色分类:09 黑色;尺码:160/66A/M,2021-02-27 11:38:24,还可以
妮***9,颜色分类:09 黑色;尺码:155/62A/S,2021-02-27 08:35:33,质感很好，就是对于155的小个子来说裙子太长了，短一点就完美了
m***3,颜色分类:09 黑色;尺码:160/66A/M,2021-02-26 17:15:49,很好看
r***2,颜色分类:09 黑色;尺码:155/62A/S,2021-02-26 15:32:38,不错！
偶***泾,颜色分类:09 黑色;尺码:155/62A/S,2021-02-23 17:50:51,好看
我***鱼,颜色分类:09 黑色;尺码:160/66A/M,2021-02-21 16:58:02,这段时间一直买买买，每一件都挺合适的
z***e,颜色分类:09 黑色;尺码:160/66A/M,2021-02-17 22:04:34,好穿。
g***5,颜色分类:09 黑色;尺码:160/70A/L,2021-02-10 16:19:47,挺好的
t***3,颜色分类:09 黑色;尺码:160/66A/M,2021-02-09 15:08:23,质量好，尺码合适，长度也是我想要的，穿上感觉走路带风一样，最近购入不少，觉得买优衣库会上瘾的。
y***8,颜色分类:09 黑色;尺码:160/70A/L,2021-02-09 00:09:17,非常喜欢，已经买很多优衣库衣服了，停不下来😅😜
酸***人,颜色分类:09 黑色;尺码:160/66A/M,2021-02-08 12:10:29,就一个希望，希望不起静电。
