displayUserNick,auctionSku,rateDate,rateContent
s***9,颜色分类:08 深灰色;尺码:160/70A,2021-02-26 17:54:06,可以
懒***帅,颜色分类:31 米色;尺码:155/62A,2021-02-26 16:40:12,完美
未***0,颜色分类:08 深灰色;尺码:155/62A,2021-02-26 12:57:37,很好，79能买到这样品质的裙子太值了！今年买了好多优衣库的衣服，这条裙子也是先买了米色，材质厚重上档次，又下单了黑色。裙子感觉春夏秋都可以穿，夏天办公室有空调，这个厚度也可以
a***6,颜色分类:31 米色;尺码:160/70A,2021-02-26 12:43:58,活动价格太划算了，面料看上去蛮高级的天气热了就可以穿了
t***0,颜色分类:08 深灰色;尺码:160/66A,2021-02-25 23:12:33,158，115，腰紧了点，减肥！
c***n,颜色分类:31 米色;尺码:150/58A,2021-02-25 09:37:57,合身好看！免运费就选多条其它颜色！
v***x,颜色分类:08 深灰色;尺码:160/70A,2021-02-24 14:53:44,不错，就是洗完都是褶皱
小***1,颜色分类:08 深灰色;尺码:160/66A,2021-02-23 21:35:13,特别好，有光泽有质感
墨***i,颜色分类:01 乳白色;尺码:165/74A,2021-02-23 17:39:08,好
c***i,颜色分类:31 米色;尺码:155/62A,2021-02-23 14:08:31,实惠质量很好哦
米***琳,颜色分类:31 米色;尺码:165/74A,2021-02-23 10:25:53,裙子面料很舒服，夏天穿会凉快，喜欢。
华***飞,颜色分类:31 米色;尺码:160/66A,2021-02-23 08:19:56,面料很好，版型很好，垂感很好，就是同款乳白色有内衬，这款没有，但是对光不透，能接受，并且非常喜欢
智***贝,颜色分类:01 乳白色;尺码:155/62A,2021-02-22 15:15:37,好美，又舒适，真是意料之外的惊喜，谁买谁知道。
m***g,颜色分类:31 米色;尺码:165/74A,2021-02-22 07:27:34,不错。洗了之后不拧晾干即可
c***4,颜色分类:31 米色;尺码:155/62A,2021-02-21 22:37:31,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物🎁非常漂亮，做工精细，颜值担当，非常方便，🔮喜欢的朋友可以下手！客服服务态度很好，快递也不赖，希望老板生意越来越好！！！物流和产品都不错，性价比高，赞赞赞👏👏👏
b***商,颜色分类:08 深灰色;尺码:150/58A,2021-02-21 12:54:43,我要稳稳的幸福 这是我想要的幸福
b***商,颜色分类:31 米色;尺码:150/56A,2021-02-21 12:54:06,我要稳稳的幸福 这是我想要的幸福
z***y,颜色分类:08 深灰色;尺码:155/62A,2021-02-19 20:26:39,165/46，这个尺码正合适，参考尺码表就行。长度到膝盖下面，面料可能会容易皱，但是啊，才79，还是U系列，值得！
s***3,颜色分类:01 乳白色;尺码:155/64A,2021-02-19 20:24:32,质感不错
l***i,颜色分类:08 深灰色;尺码:155/64A,2021-02-19 19:56:20,看似简单，穿上很高级，舒服😌
l***i,颜色分类:31 米色;尺码:155/64A,2021-02-19 19:56:19,很温油，很舒服。
x***5,颜色分类:08 深灰色;尺码:155/64A,2021-02-19 18:21:31,160稍长
微***0,颜色分类:31 米色;尺码:155/62A,2021-02-19 16:22:35,好
微***0,颜色分类:08 深灰色;尺码:155/62A,2021-02-19 16:22:35,好
y***1,颜色分类:08 深灰色;尺码:160/66A,2021-02-19 14:55:26,还没有到穿的时候，看着不错👌
s***n,颜色分类:31 米色;尺码:165/74A,2021-02-18 23:11:47,腰稍微有些大，坐下正好，裙身宽长了，不过刚好能穿要减肥啊啊啊啊啊
低***典,颜色分类:31 米色;尺码:160/66A,2021-02-18 19:25:13,就是有点容易皱，其他都好
方***r,颜色分类:08 深灰色;尺码:155/62A,2021-02-18 12:53:17,之前买了小一个码 腰围没有弹性太紧了 换这个刚刚好
华***飞,颜色分类:01 乳白色;尺码:160/66A,2021-02-18 10:05:06,面料好，手感好，做工好，颜色好，非常满意
逍***3,颜色分类:08 深灰色;尺码:160/70A,2021-02-16 18:10:47,物美价廉。
c***7,颜色分类:31 米色;尺码:155/62A,2021-02-16 15:16:12,裙子太令人惊艳了，物超所值，超乎想象，气质款美裙，好赞！
6***j,颜色分类:01 乳白色;尺码:155/62A,2021-02-16 10:19:43,挺气质
莺***窝,颜色分类:31 米色;尺码:155/64A,2021-02-15 11:48:21,很雅致复古的的裙子，做工面料都不错。这个色系也是最喜欢的。79入手太划算了。
b***商,颜色分类:01 乳白色;尺码:150/56A,2021-02-14 18:04:45,湛蓝色天空好美，暖洋洋太阳好晕。 小情人儿们陪着爬山啊！ 所得皆所愿，节日快乐啊！
s***7,颜色分类:08 深灰色;尺码:160/70A,2021-02-12 23:36:55,上身效果不错，洗后熨烫后没有收到货时的质感好，79元可以了。
懒***兮,颜色分类:01 乳白色;尺码:155/62A,2021-02-10 09:43:18,开始买小了，换大一个码子，合适
f***0,颜色分类:08 深灰色;尺码:160/70A,2021-02-09 18:05:35,去年年底也买了很多优衣库，今年年底也是
b***i,颜色分类:31 米色;尺码:160/66A,2021-02-09 17:20:05,百搭
