,title,link,product_id,product_price,sale-num,comment_num
0,優衣庫女裝HEATTECH搖粒絨兩翻領套頭衫(長袖)428327UNIQLO,//detail.tmall.com/item.htm?id=626674710030,626674710030,99.00,646381,83447
1,優衣庫女裝棉質弧形下擺長T恤(長袖“優衣庫好感T”)436018,//detail.tmall.com/item.htm?id=634887051265,634887051265,99.00,20108,2050
2,優衣庫【合作款】女裝圓領T恤(短袖)(“優衣庫好感T”)435193,//detail.tmall.com/item.htm?id=633123980436,633123980436,79.00,47388,3822
3,優衣庫【設計師合作款】女裝全棉圓領T恤(長袖)437094UNIQLO,//detail.tmall.com/item.htm?id=634466048564,634466048564,99.00,1135,77
4,優衣庫女裝花式針織圓領T恤(法式袖)433710,//detail.tmall.com/item.htm?id=638457354877,638457354877,99.00,78,0
5,優衣庫女裝花式針織印花圓領T恤(法式袖)438632,//detail.tmall.com/item.htm?id=638457010962,638457010962,99.00,52,0
6,優衣庫女裝花式圓領T恤(短袖)437618UNIQLO,//detail.tmall.com/item.htm?id=637568120842,637568120842,79.00,170,15
7,優衣庫女裝花式羅紋方領短袖T恤(“優衣庫好感T”)437592,//detail.tmall.com/item.htm?id=637032485838,637032485838,79.00,5173,349
8,優衣庫女裝彈力棉質圓領T恤(長袖“優衣庫好感T”)428307,//detail.tmall.com/item.htm?id=618800101386,618800101386,79.00,43461,6038
9,優衣庫女裝彈力棉質兩翻領T恤(長袖)428311UNIQLO,//detail.tmall.com/item.htm?id=622356354373,622356354373,79.00,421677,51129
10,優衣庫女裝彈力棉質圓領T恤(長袖“優衣庫好感T”)433572,//detail.tmall.com/item.htm?id=631532268320,631532268320,79.00,22532,2332
11,優衣庫女裝DRY-EX吸濕排汗T恤(短袖)433733UNIQLO,//detail.tmall.com/item.htm?id=635605810545,635605810545,99.00,593,45
12,優衣庫女裝AIRism防紫外線U領T恤(八分袖)(防曬衣)422269,//detail.tmall.com/item.htm?id=606244609058,606244609058,79.00,23358,1506
13,優衣庫女裝AIRismU領T恤(短袖)(打底衫)(舒爽內衣)422268,//detail.tmall.com/item.htm?id=609306486485,609306486485,79.00,31296,1585
14,優衣庫女裝AIRismV領長T恤(短袖)(涼感T)422809UNIQLO,//detail.tmall.com/item.htm?id=609857456020,609857456020,99.00,21424,301
15,優衣庫女裝AIRismV領長T恤(短袖)433731UNIQLO,//detail.tmall.com/item.htm?id=634659142648,634659142648,99.00,1803,171
16,優衣庫男裝/女裝AIRism圓領T恤(長袖“優衣庫好感T”)433839,//detail.tmall.com/item.htm?id=636898602562,636898602562,79.00,1926,216
