,title,link,product_id,product_price,sale-num,comment_num
0,優衣庫女裝高彈力牛仔緊身長褲(水洗產品)429115UNIQLO,//detail.tmall.com/item.htm?id=620690365664,620690365664,199.00,24715,2783
1,優衣庫女裝高彈力緊身長褲(“優衣庫高彈褲”)433259UNIQLO,//detail.tmall.com/item.htm?id=632640071737,632640071737,199.00,2063,202
2,優衣庫女裝彈力雙面針織直筒褲433785UNIQLO,//detail.tmall.com/item.htm?id=635704729163,635704729163,149.00,10544,515
3,優衣庫女裝高腰修身直筒牛仔褲(水洗產品)436748UNIQLO,//detail.tmall.com/item.htm?id=637927292655,637927292655,199.00,1280,0
4,優衣庫女裝孕婦彈力九分褲429137UNIQLO,//detail.tmall.com/item.htm?id=620699849517,620699849517,299.00,5644,417
5,優衣庫女裝孕婦EZY九分褲426262UNIQLO,//detail.tmall.com/item.htm?id=612545711825,612545711825,299.00,3711,5
6,優衣庫女裝彈力九分褲438288UNIQLO,//detail.tmall.com/item.htm?id=637520196664,637520196664,249.00,64,2
7,優衣庫女裝彈力九分褲438287UNIQLO,//detail.tmall.com/item.htm?id=638213246170,638213246170,249.00,266,10
8,優衣庫女裝彈力九分褲438352UNIQLO,//detail.tmall.com/item.htm?id=637877701909,637877701909,249.00,78,3
9,優衣庫女裝棉質束腳褲(潮流褲)437807UNIQLO,//detail.tmall.com/item.htm?id=634891819425,634891819425,199.00,2259,157
10,優衣庫女裝花式蝴蝶結束腳褲436613,//detail.tmall.com/item.htm?id=638457410195,638457410195,249.00,22,0
11,優衣庫女裝孕婦緊身長褲425524UNIQLO,//detail.tmall.com/item.htm?id=612309890824,612309890824,249.00,1772,13
12,優衣庫女裝高彈力牛仔緊身長褲(水洗產品)429115UNIQLO,//detail.tmall.com/item.htm?id=620690365664,620690365664,199.00,24715,2783
13,優衣庫女裝高彈力緊身長褲429114UNIQLO,//detail.tmall.com/item.htm?id=622896081175,622896081175,199.00,25709,2717
14,優衣庫女裝孕婦高彈力牛仔緊身長褲(水洗產品)438443UNIQLO,//detail.tmall.com/item.htm?id=630731080246,630731080246,249.00,1656,110
15,優衣庫女裝孕婦高彈力緊身長褲436670UNIQLO,//detail.tmall.com/item.htm?id=631073273962,631073273962,249.00,4858,356
16,優衣庫女裝AIRism防紫外線緊身褲(防曬褲)433741UNIQLO,//detail.tmall.com/item.htm?id=632329146628,632329146628,149.00,1489,130
17,優衣庫女裝高彈力緊身長褲(“優衣庫高彈褲”)433259UNIQLO,//detail.tmall.com/item.htm?id=632640071737,632640071737,199.00,2063,202
18,優衣庫女裝高彈力緊身長褲(“優衣庫高彈褲”)438257UNIQLO,//detail.tmall.com/item.htm?id=632571440862,632571440862,199.00,325,46
