displayUserNick,auctionSku,rateDate,rateContent
v***5,颜色分类:00 白色;尺码:175/100/L,2021-03-03 17:02:36,捡漏一个l码，同省发的，袋子像是拆开过的
y***h,颜色分类:09 黑色;尺码:175/100/L,2021-03-02 12:10:33,不错
秦***1,颜色分类:00 白色;尺码:170/95/M,2021-03-01 19:17:56,买完就降价 绝了 还不给售后 绝
s***a,颜色分类:00 白色;尺码:165/90/S,2021-02-28 19:46:41,不错
c***0,颜色分类:00 白色;尺码:165/90/S,2021-02-27 15:53:16,不错，打底专用，舒适柔软透气
风***3,颜色分类:09 黑色;尺码:180/105/XL,2021-02-25 13:59:44,挺好的
d***1,颜色分类:00 白色;尺码:165/90/S,2021-02-25 09:56:38,柔软，薄款，舒适，不适合外穿，非常适合做打底
小***咯,颜色分类:09 黑色;尺码:180/105/XL,2021-02-23 20:42:53,好 质量不错  值得回购
z***6,颜色分类:00 白色;尺码:170/95/M,2021-02-23 19:59:25,很舒服的棉质内衣
魏***n,颜色分类:09 黑色;尺码:170/95/M,2021-02-20 11:27:49,挺好的
小***儿,颜色分类:00 白色;尺码:165/90/S,2021-02-16 22:12:31,很好穿，太香了
园***7,颜色分类:00 白色;尺码:165/90/S,2021-02-16 17:22:20,我16053这个衣服这个价钱买太值了，保暖又不起球。买了两件来换中通快递，非常给力点赞。
仰***辰,颜色分类:00 白色;尺码:170/95/M,2021-02-14 13:37:56,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
j***j,颜色分类:00 白色;尺码:170/95/M,2021-02-13 19:55:39,物美价廉
窦***麟,颜色分类:09 黑色;尺码:175/100/L,2021-02-12 10:53:35,很好
c***1,颜色分类:09 黑色;尺码:180/105/XL,2021-02-03 12:14:20,挺好的
深***司,颜色分类:09 黑色;尺码:180/105/XL,2021-01-30 09:36:20,太薄了，
j***9,颜色分类:00 白色;尺码:175/100/L,2021-01-13 11:14:43,一如既往的喜欢。
y***i,颜色分类:09 黑色;尺码:175/100/L,2021-01-07 21:52:06,可以
z***5,颜色分类:00 白色;尺码:170/95/M,2021-01-06 19:52:58,超柔软，棉质非常好！
c***n,颜色分类:09 黑色;尺码:180/105/XL,2021-01-01 11:10:07,✓ 真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
