displayUserNick,auctionSku,rateDate,rateContent
q***1,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-04 17:46:12,东西收到了，
周***明,颜色分类:00 白色;尺码:165/90/S,2021-03-03 19:14:28,衣服很好穿
s***4,颜色分类:09 黑色;尺码:170/95/M,2021-03-03 15:11:55,非常好，回购款
s***4,颜色分类:00 白色;尺码:170/95/M,2021-03-03 15:11:55,非常好，回购款
v***p,颜色分类:00 白色;尺码:180/105/XL,2021-03-02 20:58:59,非常舒服
v***p,颜色分类:09 黑色;尺码:180/105/XL,2021-03-02 20:58:50,非常舒服
m***7,颜色分类:00 白色;尺码:165/90/S,2021-03-02 07:50:50,买来做打底穿的，很柔软，不过感觉领子洗了后可能容易变形
君***w,颜色分类:69 藏青色;尺码:175/100/L,2021-03-01 19:17:43,薄款
j***o,颜色分类:69 藏青色;尺码:170/95/M,2021-02-28 20:17:23,除了第一次洗有些掉毛，其他的还可以
徐***3,颜色分类:00 白色;尺码:175/100/L,2021-02-27 06:44:48,打底我只选优衣库！
y***s,颜色分类:69 藏青色;尺码:165/90/S,2021-02-26 18:19:09,价格实惠，质量很赞。
w***8,颜色分类:09 黑色;尺码:180/105/XL,2021-02-26 18:04:25,东西不错，物流快速，下次还会买，很满意。
z***4,颜色分类:58 深绿色;尺码:180/105/XL,2021-02-26 10:01:24,这件没问题，有标牌
z***4,颜色分类:09 黑色;尺码:180/105/XL,2021-02-26 10:01:00,这件黑色的没有标牌，不知道是不是其他买家退款后发货的
j***1,颜色分类:09 黑色;尺码:175/100/L,2021-02-26 00:10:59,比较薄 穿着很舒服👍
k***0,颜色分类:08 深灰色;尺码:170/95/M,2021-02-24 12:08:01,好评
t***1,颜色分类:09 黑色;尺码:180/105/XL,2021-02-24 11:46:48,很好
t***1,颜色分类:00 白色;尺码:180/105/XL,2021-02-24 11:46:48,很好
小***v,颜色分类:00 白色;尺码:175/100/L,2021-02-23 12:45:15,好
颖***0,颜色分类:08 深灰色;尺码:170/95/M,2021-02-22 22:38:38,合适
阿***5,颜色分类:00 白色;尺码:175/100/L,2021-02-22 18:14:29,U系列T比较厚实，这件比较薄，夏天穿很好。大爱优衣库的T。从m到xl。内搭外穿全搞定。
阿***5,颜色分类:00 白色;尺码:170/95/M,2021-02-22 18:14:29,U系列T比较厚实，这件比较薄，夏天穿很好。大爱优衣库的T。
l***5,颜色分类:00 白色;尺码:165/90/S,2021-02-20 22:52:10,很好
通***曲,颜色分类:00 白色;尺码:175/100/L,2021-02-16 17:23:19,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
t***2,颜色分类:00 白色;尺码:165/90/S,2021-02-14 21:12:19,好
t***4,颜色分类:09 黑色;尺码:175/100/L,2021-02-14 14:23:28,中意的一定要趁早下手，而且要买不止一件，我说的是像内衣之类的😗
吴***1,颜色分类:00 白色;尺码:170/95/M,2021-02-06 22:49:05,挺失望的一次购物吧，衣服上带着防盗扣给我邮来的。客服让我去门店解开，我要是去门店的话为什么还要在网上买。为了这么件衣服，浪费了邮费和去门店的交通时间，血亏。  ps：衣服滑溜溜的，没多少棉的质感
t***2,颜色分类:00 白色;尺码:170/95/M,2021-02-06 20:58:32,好
t***2,颜色分类:00 白色;尺码:165/90/S,2021-02-06 20:58:32,好
周***2,颜色分类:00 白色;尺码:170/95/M,2021-02-03 21:03:03,有点小贵
周***2,颜色分类:00 白色;尺码:170/95/M,2021-02-03 21:02:32,还可以，稍微有些薄
憧***1,颜色分类:00 白色;尺码:165/90/S,2021-02-03 20:27:10,宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢
1***4,颜色分类:00 白色;尺码:165/90/S,2021-02-01 11:43:44,薄款舒服凉快。
等***刻,颜色分类:09 黑色;尺码:175/100/L,2021-01-31 19:00:41,先给个差评先，咨询客服一个鬼都没有，***这要怎么买？***醉了。
f***4,颜色分类:08 深灰色;尺码:180/105/XL,2021-01-31 12:11:46,一直买优衣库的衣服，舒服
f***4,颜色分类:00 白色;尺码:180/105/XL,2021-01-31 12:11:46,一直买优衣库的衣服，舒服
z***5,颜色分类:09 黑色;尺码:175/100/L,2021-01-28 10:34:20,好
z***5,颜色分类:00 白色;尺码:175/100/L,2021-01-28 10:34:20,质量不错，物超所值
1***t,颜色分类:08 深灰色;尺码:175/100/L,2021-01-26 20:55:47,Very good！
煜***a,颜色分类:08 深灰色;尺码:175/100/L,2021-01-26 10:17:58,面料挺好的～
h***5,颜色分类:00 白色;尺码:180/105/XL,2021-01-24 21:26:54,好
t***8,颜色分类:69 藏青色;尺码:160/85/XS,2021-01-24 19:18:14,前几天买了一件试穿后感觉非常好，所以又买了一件。値得购买。
t***9,颜色分类:08 深灰色;尺码:180/105/XL,2021-01-22 09:07:17,买了无数次的万能T恤，满分，效率极低的中通0分
t***9,颜色分类:00 白色;尺码:180/105/XL,2021-01-22 09:07:17,买了无数次的万能T恤，满分，效率极低的中通0分
t***9,颜色分类:58 深绿色;尺码:180/105/XL,2021-01-22 09:07:17,买了无数次的万能T恤，满分，效率极低的中通0分
鑫***5,颜色分类:09 黑色;尺码:165/90/S,2021-01-21 09:22:10,棒棒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒
t***8,颜色分类:58 深绿色;尺码:160/85/XS,2021-01-20 17:32:28,质量丶款式非常好，值得信赖的商品。
t***3,颜色分类:00 白色;尺码:175/100/L,2021-01-20 07:02:17,薄薄的
b***y,颜色分类:09 黑色;尺码:180/105/XL,2021-01-19 16:39:22,从南京店里发的货，标签都没了，明显是试穿N次后的。
t***2,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-01-19 14:08:40,还可以
格***南,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-01-18 00:10:12,175，213斤穿着肥大，应该2xl正好
s***z,颜色分类:09 黑色;尺码:170/95/M,2021-01-17 15:42:36,这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次还会再来光顾，老板记得给优惠哦！
马***m,颜色分类:08 深灰色;尺码:180/105/XL,2021-01-15 21:43:22,质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物
s***1,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-01-15 20:34:27,简单实用款，好评！
a***a,颜色分类:08 深灰色;尺码:185/115/XXXL,2021-01-15 19:54:24,很不错
萌***0,颜色分类:00 白色;尺码:175/100/L,2021-01-14 18:48:50,很舒服 用来打底不错，
沧***干,颜色分类:58 深绿色;尺码:175/100/L,2021-01-14 10:59:22,很舒服的衣服 靠谱 喜欢
李***1,颜色分类:69 藏青色;尺码:185/120/XXXXL,2021-01-13 14:49:07,质感很舒服
李***1,颜色分类:08 深灰色;尺码:185/115/XXXL,2021-01-13 14:49:07,质感很舒服
e***0,颜色分类:00 白色;尺码:180/105/XL,2021-01-12 18:13:39,好穿
阿***啦,颜色分类:00 白色;尺码:170/95/M,2021-01-11 17:33:52,非常适合做打底衫，以后要常买
l***4,颜色分类:09 黑色;尺码:180/105/XL,2021-01-11 10:03:56,非常舒服，很合身！！！！！！！
