displayUserNick,auctionSku,rateDate,rateContent
t***7,颜色:69 藏青色;尺码:165/84A/S,2020-10-11 11:42:35,面料很舒服
随***虎,颜色:69 藏青色;尺码:170/92A/M,2020-09-11 08:13:48,很舒服
旧***暖,颜色:69 藏青色;尺码:165/84A/S,2020-09-07 15:49:33,帮公公买的，他很满意，很凉快，料子也舒服。就是降价太快
我***哦,颜色:69 藏青色;尺码:165/84A/S,2020-09-06 10:05:52,给老爸买的，穿上还不错，好看
田***弟,颜色:69 藏青色;尺码:165/84A/S,2020-09-04 13:29:52,不错的这价钱，有一点点掉色吗，不成问题了
庆***牛,颜色:69 藏青色;尺码:175/100A/L,2020-09-04 09:10:28,现在才知道淘宝评论积分可以涨气值呢，这才知知道好评的重要 性。这个福利实在太赞了，妥妥的每条都来评论下，赚积分，下次 还能抵现金用。评论80个字以上，可以得到50个积分从此我无论 买什么东西都会把这个段话复制粘贴下凑够字数，然后再填觉的 很棒
问***鸣,颜色:69 藏青色;尺码:165/84A/S,2020-09-02 17:10:41,不错
低***世,颜色:69 藏青色;尺码:165/84A/S,2020-09-02 15:53:56,好看
t***8,颜色:69 藏青色;尺码:160/76A/XS,2020-09-02 14:22:13,非常好
狂***p,颜色:69 藏青色;尺码:170/92A/M,2020-08-30 00:53:13,优衣库天猫旗舰店的服务是我网购几年来见识过最差没有之一的了。一，客服隔几个小时甚至十几个小时回复是常态，回复也是粘贴复制一堆咨询量大无法及时回复请谅解之类的套话，不处理任何实际问题。电话是机器人接听同样不解决任何实质问题。二，私自合并订单发货导致退货超重的费用由顾客承担。三，购买页面标明七天无理由退换货其实只让退货重拍根本不让换货。四，最重要的是时不时降价50至100元，但因做活动产生的差价优衣库是不会补偿的。 这些都和天猫客服反映过不止一次，第一次还假模假样打电话给我说会责成商家如何如何，后来根本不理会了。那么多顾客反映优衣库服务差，天猫是看不见还是根本不管？更何况还有不少顾客反映衣服甲醛超标气味难闻，天猫也是不管不顾的？
w***3,颜色:69 藏青色;尺码:170/92A/M,2020-08-28 23:57:57,还行，不错
范***2,颜色:69 藏青色;尺码:165/84A/S,2020-08-27 12:38:44,给老爸买的，质量可以
x***t,颜色:69 藏青色;尺码:175/100A/L,2020-08-25 17:14:14,还可以  不过年轻人穿起来有点显老气
k***9,颜色:69 藏青色;尺码:170/92A/M,2020-08-23 11:51:37,T恤质量很好，很修身，非常满意！
丽***猴,颜色:69 藏青色;尺码:175/100A/L,2020-08-22 16:55:20,买给老爸的，超级好看的T恤，修身款，面料摸着特别舒服，无色差，和图片一模一样，后背是浅浅的蜘蛛网图案，不明显，不夸张，非常赞。
w***t,颜色:69 藏青色;尺码:175/100A/L,2020-08-18 21:26:50,衣服还是不错，以后就用它了
小***6,颜色:69 藏青色;尺码:175/100A/L,2020-08-18 11:42:26,优衣库的服务实在是太太太差了！此条评价只为让大家看到，别在他家买东西惹气。我一次在优衣库买了两件衣服，这件留下来了，还有一件因为尺码不合适申请退货。按优衣库要求把衣物邮回去后，快递员派送时打收件人电话联系不到人，而且那个收货地址进不去。我反复给优衣库留言问收货人其他联系方式，优衣库就是不回复，永远是人工客服复制粘贴套话打发我，就是不解决问题。我两次请淘宝小蜜督促优衣库回复依然无消息。我把这件事忘记了，过几天查看物流记录显示已送达而且是本人签收。结果优衣库说没收到快递，拒绝给我退款。简直气爆了！！向淘宝提交证据后，天猫把钱退给我了，事情才得以解决！以后再也不会来优衣库买东西了，惹不起那个气！大家小心！
p***y,颜色:69 藏青色;尺码:170/92A/M,2020-08-18 08:15:25,不错的宝贝
姜***嘻,颜色:69 藏青色;尺码:175/100A/L,2020-08-17 13:09:53,178 140斤穿上合适 舒服！
q***3,颜色:69 藏青色;尺码:175/100A/L,2020-08-16 21:14:48,流汗了衣服有点贴肉，不透气
h***0,颜色:69 藏青色;尺码:180/108B/XL,2020-08-11 00:50:23,很好看 面料也透气 200斤穿上像170的 惊喜
y***3,颜色:69 藏青色;尺码:170/92A/M,2020-08-09 20:26:56,买给儿子的，款式，颜色满意。
骏***4,颜色:69 藏青色;尺码:165/84A/S,2020-08-09 20:23:51,非常好！
爱***1,颜色:69 藏青色;尺码:175/100A/L,2020-08-08 14:41:34,大店就是欺客，当天下午下单的，第二天一看就降价20，也不给我退钱，糟心，为了20块，搞得人心里不快活
