displayUserNick,auctionSku,rateDate,rateContent
甬***尧,颜色:56 橄榄色;尺码:185/120C/XXXL,2021-03-02 23:19:07,号码很正，不用买大一号
陈***1,颜色:00 白色;尺码:185/112C/XXL,2021-03-02 14:02:03,可以
y***u,颜色:00 白色;尺码:180/108B/XL,2021-03-01 18:06:59,是理想中的产品💖，质量不错，物流也很快，值得点赞！
r***r,颜色:78 绛紫色;尺码:180/108B/XL,2021-02-25 20:57:35,东西还不错，冬天不用围巾了。现在买的话倒是穿不上，不过能抢到合适的不会吃亏。
s***t,颜色:56 橄榄色;尺码:160/76A/XS,2021-02-24 16:54:28,很厚实 打底穿很暖和
祈***峡,颜色:00 白色;尺码:185/120C/XXXL,2021-02-23 18:48:07,很好的高领内搭，质量好，版型好，很时尚，关键是不扎人。
m***1,颜色:00 白色;尺码:180/108B/XL,2021-02-23 13:10:42,一如既往地好
s***9,颜色:09 黑色;尺码:180/108B/XL,2021-02-23 07:49:45,很好
小***z,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 21:29:20,很不错的购物体验，商品质量真的很不错，发货速度也很快，快递小哥也很好态度，店家的服务态度也很好。希望店家多搞点活动，给我们老顾客多点优惠，有机会还会继续回购！！！！！
0***0,颜色:45 柠檬黄色;尺码:180/108B/XL,2021-02-22 21:00:45,175-158这个码大了！便宜实惠，颜色好看，面料舒服！
流***4,颜色:09 黑色;尺码:180/108B/XL,2021-02-22 20:05:41,第四件了！四件四个价格呵呵😊
看***孩,颜色:56 橄榄色;尺码:175/100A/L,2021-02-22 19:02:02,此用户没有填写评论!
h***4,颜色:00 白色;尺码:185/120C/XXXL,2021-02-22 13:06:35,因为喜欢，买了明年穿，其实大很多，但是喜欢肥肥大大的感觉，优衣库的大码衣服真的不错👍可以满足185以上人群。
看***孩,颜色:78 绛紫色;尺码:175/100A/L,2021-02-22 11:45:38,此用户没有填写评论!
t***3,颜色:45 柠檬黄色;尺码:185/120C/XXXL,2021-02-22 10:47:33,188 210xxxl 穿着还行 适合当下穿 就是柠檬黄到手有点像土黄 偏暗
依***吻,颜色:04 烟灰色;尺码:165/84A/S,2021-02-20 16:16:58,此用户没有填写评论!
f***g,颜色:09 黑色;尺码:185/112C/XXL,2021-02-20 09:25:50,领子起球了，但尺码合适，穿着舒服，有强迫症的慎拍，要是原价购买的话心里肯定不舒服，想着打折才几十块钱也勉强接受了
卿***今,颜色:09 黑色;尺码:180/108B/XL,2021-02-20 02:41:57,很好。
l***0,颜色:45 柠檬黄色;尺码:165/84A/S,2021-02-19 16:45:16,还不错，颜色很大众
s***n,颜色:00 白色;尺码:180/108B/XL,2021-02-19 08:16:55,好
y***u,颜色:78 绛紫色;尺码:180/108B/XL,2021-02-19 00:22:51,材质特性：衣服是纯棉的，颜色很正，大小刚好，穿着很舒服，很适合现在天气。
m***5,颜色:78 绛紫色;尺码:170/92A/M,2021-02-18 20:21:34,东西比我想象中的还要完美，十分给力，值得入手
尧***爻,颜色:56 橄榄色;尺码:165/84A/S,2021-02-18 10:39:56,性价比之王
f***5,颜色:78 绛紫色;尺码:180/108B/XL,2021-02-17 15:35:20,优衣库的衣服质量不错。。
欢***阵,颜色:78 绛紫色;尺码:170/92A/M,2021-02-17 11:56:04,优衣库的做工还是可以的 按照身高和平常尺码买就好 穿着舒服 全棉好评的
阳***荷,颜色:45 柠檬黄色;尺码:170/92A/M,2021-02-17 03:19:31,之前给男朋友买了一件，觉得颜色很好看，衬肤色，这次降价又给老爸买了一件
乔***4,颜色:45 柠檬黄色;尺码:165/84A/S,2021-02-16 19:26:44,很好👌，贴身很舒服
c***8,颜色:00 白色;尺码:185/112C/XXL,2021-02-16 14:31:06,此用户没有填写评论!
