displayUserNick,auctionSku,rateDate,rateContent
我***1,颜色:32 深米色;尺码:180/108B/XL,2021-03-04 21:41:26,薄
儿***华,颜色:32 深米色;尺码:180/108B/XL,2021-03-04 21:21:07,宝贝不错，很满意！
k***空,颜色:69 藏青色;尺码:185/112C/XXL,2021-03-04 20:58:57,挺好的，面料舒服，夏天内搭很合适
仔***9,颜色:66 蓝色;尺码:170/92A/M,2021-03-04 13:00:35,整体评价：整体材质舒服 上身效果：170的身材刚好 尺码推荐：170/57kg  m码刚刚好
张***石,颜色:03 灰色;尺码:180/108B/XL,2021-03-03 10:30:59,五星好评。。 厚度可以，不透明。 精细 不错。 正
l***9,颜色:00 白色;尺码:170/92A/M,2021-03-02 22:27:00,比想象的薄一点，但是号码很正！纯棉的感觉
h***4,颜色:09 黑色;尺码:185/128C/XXXXL,2021-03-02 22:03:05,优衣库的大码男装很适合老公
如***3,颜色:09 黑色;尺码:180/108B/XL,2021-03-02 12:18:37,无限回购实用款
s***0,颜色:56 橄榄色;尺码:175/100A/L,2021-03-02 09:20:06,东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题
t***醒,颜色:22 粉橙色;尺码:160/76A/XS,2021-03-01 18:14:36,好评
t***醒,颜色:00 白色;尺码:160/76A/XS,2021-03-01 18:14:36,好评
z***7,颜色:09 黑色;尺码:170/92A/M,2021-03-01 00:32:57,市面性价比最高t
一***羊,颜色:66 蓝色;尺码:180/108B/XL,2021-02-28 19:24:10,质量很好
t***3,颜色:00 白色;尺码:170/92A/M,2021-02-28 11:35:25,版型款式都还不错的，活动价就差不多是这个价。
石***恋,颜色:61 水蓝色;尺码:175/100A/L,2021-02-24 16:27:43,ok
只***8,颜色:66 蓝色;尺码:175/100A/L,2021-02-23 16:42:31,很好
玄***儿,颜色:61 水蓝色;尺码:160/76A/XS,2021-02-23 00:06:01,材质亲肤贴身，做工精美，好评，打算在热一点再入手两件
y***7,颜色:00 白色;尺码:175/100A/L,2021-02-22 08:10:03,回购
y***7,颜色:56 橄榄色;尺码:175/100A/L,2021-02-22 08:10:03,好
l***2,颜色:00 白色;尺码:175/100A/L,2021-02-20 18:55:30,绝对是最开心的一次购物，店家服务态度很好，售后也是！！！
美***2,颜色:00 白色;尺码:180/108B/XL,2021-02-20 16:06:14,还可以
你***7,颜色:00 白色;尺码:185/112C/XXL,2021-02-19 21:33:34,不错，穿上刚好合适
t***2,颜色:56 橄榄色;尺码:170/92A/M,2021-02-19 15:19:48,此用户没有填写评论!
j***0,颜色:42 浅黄色;尺码:185/112C/XXL,2021-02-13 18:21:20,谢谢！！
睡***2,颜色:08 深灰色;尺码:170/92A/M,2021-02-08 13:35:48,挺好的
海***3,颜色:66 蓝色;尺码:175/100A/L,2021-02-08 02:13:49,还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。
布***9,颜色:66 蓝色;尺码:175/100A/L,2021-02-06 17:19:49,给爸爸买的，合适
成***鸟,颜色:32 深米色;尺码:185/112C/XXL,2021-01-31 14:06:33,质量一般
j***i,颜色:00 白色;尺码:185/128C/XXXXL,2021-01-28 10:46:03,优衣库的全棉打底衫，质量一直很好，长绒棉的穿着舒服，都很喜欢。
可***2,颜色:03 灰色;尺码:185/128C/XXXXL,2021-01-23 13:28:21,包装严实，发货快，T恤质量不错，棉质柔软，颜色正，尺码大，很适合身材较胖的人。
可***2,颜色:08 深灰色;尺码:185/128C/XXXXL,2021-01-23 13:28:21,包装严实，发货快，T恤质量不错，棉质柔软，颜色正，给老爸买的，他很喜欢。
可***2,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-01-23 13:28:21,包装严实，发货快，T恤质量不错，棉质柔软，颜色正，给家人买的，说穿着舒服。
可***2,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-01-23 13:13:06,发货快，包装严实T恤棉质柔软舒适，颜色正，给老人买的很喜欢。
幽***c,颜色:09 黑色;尺码:180/108B/XL,2021-01-23 00:10:53,比较薄 穿着还挺舒服的
s***1,颜色:00 白色;尺码:170/92A/M,2021-01-22 20:43:35,比99的薄太多了 冬天打底还是99的更合适
罗***衣,颜色:09 黑色;尺码:185/128C/XXXXL,2021-01-22 12:39:02,发货快可以的
t***0,颜色:66 蓝色;尺码:185/128C/XXXXL,2021-01-21 11:39:32,好
t***0,颜色:56 橄榄色;尺码:185/128C/XXXXL,2021-01-21 11:39:32,好
t***0,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-01-21 11:39:32,好
一***羊,颜色:22 粉橙色;尺码:180/108B/XL,2021-01-19 14:10:08,大小合适，洗后不变形，发货很快
t***u,颜色:32 深米色;尺码:185/112C/XXL,2021-01-16 17:24:11,特别舒适  合身   不打褶
山***7,颜色:66 蓝色;尺码:180/108B/XL,2021-01-12 22:15:53,一般般吧，没有惊喜的
h***l,颜色:00 白色;尺码:180/108B/XL,2021-01-12 18:48:15,四季都是这款，便宜点才好。
i***g,颜色:03 灰色;尺码:175/100A/L,2021-01-12 00:35:41,质量不错，比想象中薄一点
背***7,颜色:56 橄榄色;尺码:160/76A/XS,2021-01-11 14:02:17,版型好看，面料柔软舒适，优衣库的品质确实可以的！
背***7,颜色:09 黑色;尺码:160/76A/XS,2021-01-11 14:02:17,版型好看，面料柔软舒适，优衣库的品质确实可以的！
茉***4,颜色:56 橄榄色;尺码:180/108B/XL,2021-01-04 13:46:31,喜欢
纯***臂,颜色:09 黑色;尺码:185/112C/XXL,2020-12-30 14:01:48,非常好 超值 79元的价位 质量非常好 爆赞 而且物流很快 很给力
如***3,颜色:09 黑色;尺码:180/108B/XL,2020-12-29 16:26:41,UNIQLO夏日实穿单品
如***3,颜色:09 黑色;尺码:180/108B/XL,2020-12-24 21:29:25,舒适 手感好 实用
糖***笼,颜色:56 橄榄色;尺码:185/112C/XXL,2020-12-20 19:31:40,给爸爸买的，尺寸合适， 穿起来很舒服，老人满意
c***1,颜色:32 深米色;尺码:180/108B/XL,2020-12-20 17:18:52,质量保证
s***8,颜色:32 深米色;尺码:170/92A/M,2020-12-18 22:33:10,整体评价：做打底蛮好的，性价比很高 面料品质：很舒适，很亲肤
s***8,颜色:56 橄榄色;尺码:170/92A/M,2020-12-18 22:33:10,整体评价：做打底蛮好的，性价比很高
h***t,颜色:56 橄榄色;尺码:185/112C/XXL,2020-12-18 13:01:10,此款颜色乃先生最爱每年必入！身高190cm体重85kg很可！
w***1,颜色:66 蓝色;尺码:180/108B/XL,2020-12-17 12:47:46,还不错，线下实体店没货，颜色挺好
w***1,颜色:61 水蓝色;尺码:180/108B/XL,2020-12-17 12:47:46,还不错，线下实体店没货，颜色挺好
5***神,颜色:00 白色;尺码:165/84A/S,2020-12-15 09:57:48,希望宝贝还不错
c***2,颜色:09 黑色;尺码:165/84A/S,2020-12-14 14:03:32,包装严实无破损，不错。不多说了，除了运动装备，其他衣服都是在优衣库买，基础款居家日常外出都不会踩雷，纯棉衣物非常舒服。
