displayUserNick,auctionSku,rateDate,rateContent
t***4,颜色:39 棕黑色;尺码:170/92A/M,2021-03-04 23:22:20,非常好看哦
长***e,颜色:38 深褐色;尺码:170/92A/M,2021-03-04 23:17:00,面料硬挺，不臃肿很好的修饰身材
t***3,颜色:49 芥末色;尺码:180/108B/XL,2021-03-04 19:37:23,衣服很好看 非常舒服的布料 适合这个季节穿！
t***8,颜色:49 芥末色;尺码:175/100A/L,2021-03-04 18:04:08,全棉的稍微有点硬，就是没买到喜欢的颜色
l***6,颜色:49 芥末色;尺码:175/100A/L,2021-03-04 12:43:33,非常好
c***2,颜色:39 棕黑色;尺码:165/84A/S,2021-03-03 20:58:17,打底还不错，纯棉的。
西***r,颜色:38 深褐色;尺码:175/100A/L,2021-03-03 20:46:50,nice to see you and your family and friends and family are friends with us and we are all in the same place and we are not going to be able
t***4,颜色:49 芥末色;尺码:170/92A/M,2021-03-03 13:36:33,质感很好 没有色差
2***后,颜色:38 深褐色;尺码:175/100A/L,2021-03-03 11:24:22,面料硬一些。
l***7,颜色:28 深橙色;尺码:170/92A/M,2021-03-03 09:59:52,好看好看
子***丶,颜色:38 深褐色;尺码:175/100A/L,2021-03-03 09:09:47,整体评价：第二次买了 同款不同色
再***菊,颜色:49 芥末色;尺码:180/108B/XL,2021-03-03 07:36:38,挺好的
奈***乔,颜色:28 深橙色;尺码:165/84A/S,2021-03-02 13:45:57,颜色比图片稍暗一些，也挺好看的
北***9,颜色:38 深褐色;尺码:170/92A/M,2021-03-02 12:23:13,整体评价：一直很满意优衣库的衣服
w***3,颜色:38 深褐色;尺码:175/100A/L,2021-03-02 11:28:43,颜色很好看，面料稍硬，性价比超高。
s***y,颜色:39 棕黑色;尺码:185/112C/XXL,2021-03-02 08:23:16,整体评价：国际大牌，质量保证。 国际品牌，物流走顺丰/京东， 这就对了！
胡***8,颜色:49 芥末色;尺码:170/92A/M,2021-03-01 23:40:14,衣服大小合适，颜色很搭，而且最近还降价了，简直不要太合适
耀***力,颜色:38 深褐色;尺码:175/100A/L,2021-03-01 22:45:56,码数是真大，建议大家比平时至少买小一个号。175/150斤，l号竟然大好多。买了四件，都没法穿，都给我爸穿了。
p***y,颜色:49 芥末色;尺码:165/84A/S,2021-03-01 18:36:46,巴适得很
小***豆,颜色:38 深褐色;尺码:175/100A/L,2021-03-01 11:20:31,满意
付***2,颜色:49 芥末色;尺码:170/92A/M,2021-03-01 08:42:57,好看五分
米***9,颜色:49 芥末色;尺码:180/108B/XL,2021-02-28 19:44:46,第二次买了
1***锋,颜色:38 深褐色;尺码:170/92A/M,2021-02-28 19:36:39,还可以，看看洗完什么效果！
c***2,颜色:38 深褐色;尺码:175/100A/L,2021-02-28 17:56:13,舒服，颜色也不错
y***5,颜色:38 深褐色;尺码:170/92A/M,2021-02-28 03:42:30,挺好
t***3,颜色:38 深褐色;尺码:175/100A/L,2021-02-27 20:59:47,🆗
家***1,颜色:38 深褐色;尺码:175/100A/L,2021-02-26 23:34:43,价格合适，同时买了一件藏青的要149
含***人,颜色:38 深褐色;尺码:175/100A/L,2021-02-26 20:52:14,T恤收到了，上身效果还不错，其他与卖家描述也完全一致，非常满意，真的很喜欢，完全超出了期望值，发货速度非常快，包装非常好，仔细，严实，物流服务也很好，运送速度很快，很满意的一次购物，很愉快的体
菜***4,颜色:39 棕黑色;尺码:185/112C/XXL,2021-02-26 08:59:15,很好 宽松 好 不错 好
t***8,颜色:38 深褐色;尺码:170/92A/M,2021-02-25 16:41:48,好
养***样,颜色:38 深褐色;尺码:170/92A/M,2021-02-25 09:59:58,很合适，挺好看，我觉得我又可以了
家***3,颜色:49 芥末色;尺码:170/92A/M,2021-02-25 00:46:39,还不错，版型很好，码数也刚好，面料会偏硬点。
t***4,颜色:49 芥末色;尺码:170/92A/M,2021-02-24 16:54:21,很棒，漫画中的颜色，明年会回购
x***5,颜色:39 棕黑色;尺码:165/84A/S,2021-02-24 14:54:29,挺好的，价格适中，质量看着不错
徐***9,颜色:38 深褐色;尺码:175/100A/L,2021-02-24 14:21:37,东西还可以，就是块递是逆风送来的。
8***e,颜色:38 深褐色;尺码:170/92A/M,2021-02-24 13:25:00,差劲！！！！客服不理人，快递慢的要*，明明发的次日达，结果4天才送到！！！！客服烂的要*
不***2,颜色:38 深褐色;尺码:160/76A/XS,2021-02-24 12:32:21,整体评价：推荐购买 材质特性：软硬适中 上身效果：版型很赞
x***n,颜色:38 深褐色;尺码:180/108B/XL,2021-02-24 10:57:23,很宽大，嘻哈风？跟我印象中的日系衣尺寸不太一样
c***2,颜色:49 芥末色;尺码:175/100A/L,2021-02-24 07:58:11,物美价廉五星好评
r***5,颜色:39 棕黑色;尺码:170/92A/M,2021-02-24 05:08:49,这颜色老爸穿着挺适合的
z***a,颜色:49 芥末色;尺码:175/100A/L,2021-02-23 13:05:39,好，合适舒服
c***y,颜色:39 棕黑色;尺码:185/112C/XXL,2021-02-23 12:25:35,挺好的，天热就可以穿了
t***7,颜色:38 深褐色;尺码:180/108B/XL,2021-02-23 11:21:54,nice
唯***毛,颜色:49 芥末色;尺码:170/92A/M,2021-02-22 21:05:37,满分满分，优衣库我的最爱
儒***祖,颜色:38 深褐色;尺码:170/92A/M,2021-02-22 18:36:50,好评
f***7,颜色:39 棕黑色;尺码:165/84A/S,2021-02-22 13:50:21,宝贝收到了，物流很快，衣服质量很好，上身效果不错，值得购买
t***6,颜色:38 深褐色;尺码:165/84A/S,2021-02-21 16:58:34,可不可以再便宜点．我带朋友来你家买。
c***8,颜色:38 深褐色;尺码:180/108B/XL,2021-02-21 11:37:00,此用户没有填写评论!
x***4,颜色:49 芥末色;尺码:175/100A/L,2021-02-21 10:28:54,很好
x***4,颜色:38 深褐色;尺码:175/100A/L,2021-02-21 10:28:54,好
c***7,颜色:39 棕黑色;尺码:170/92A/M,2021-02-21 10:05:52,这个衣服老公穿很好看，版型颜色都很赞，发现男性的衣服要比女性的质量做工好呢
刘***儿,颜色:49 芥末色;尺码:180/108B/XL,2021-02-21 08:43:16,很好看
t***0,颜色:38 深褐色;尺码:165/84A/S,2021-02-20 20:36:17,第一次在优衣库买的衣服失望。。 99入手的材质让我感觉是29得材质 买回来感觉有点短就将就着穿，没想到机洗完第一次长度直接又偏短变成了偏长。 太令人失望了哎
t***8,颜色:38 深褐色;尺码:175/100A/L,2021-02-20 15:15:59,此用户没有填写评论!
d***1,颜色:38 深褐色;尺码:170/92A/M,2021-02-20 08:41:37,一如既往
锦***5,颜色:38 深褐色;尺码:180/108B/XL,2021-02-19 21:05:33,厚实 版型好 硬朗有型
会***了,颜色:38 深褐色;尺码:165/84A/S,2021-02-19 20:14:19,确实很舒服，版型也很好看，老优衣库了
l***2,颜色:38 深褐色;尺码:160/76A/XS,2021-02-19 17:40:25,本来担心颜色暗沉的，上身意外觉得还不错！最主要是百搭，单穿叠穿都OK～
j***m,颜色:39 棕黑色;尺码:170/92A/M,2021-02-19 15:06:49,厚薄度：不厚不薄打底刚好 面料品质：柔软舒适
生***9,颜色:38 深褐色;尺码:175/100A/L,2021-02-18 23:36:58,材质的话偏硬，洗了不会变形，穿起来的话，还是挺好看的，就是L的码子偏宽松，我177高，体重132左右，但是不知道M穿起来怎么样，毕竟网购偏保守点，搭配外套还是很不错的。价格的话，我觉得79买的话绝对香，但是就怕没货。
t***8,颜色:39 棕黑色;尺码:165/84A/S,2021-02-18 16:29:42,好
深***丶,颜色:38 深褐色;尺码:160/76A/XS,2021-02-17 22:43:13,很满意，版型不错，
