displayUserNick,auctionSku,rateDate,rateContent
煮***1,颜色:09 黑色;尺码:165/84A/S,2021-03-05 10:49:33,还不错
风***爱,颜色:31 米色;尺码:180/108B/XL,2021-03-03 12:09:07,大小合身，面料柔软贴身，非常好的衣服
z***1,颜色:31 米色;尺码:175/100A/L,2021-03-02 18:13:18,挺好
s***5,颜色:01 乳白色;尺码:160/76A/XS,2021-03-02 12:10:44,还可以
孙***网,颜色:56 橄榄色;尺码:170/92A/M,2021-02-24 19:12:08,整体评价：如图一致 材质特性：纯棉舒适 上身效果：跟模特一样
h***y,颜色:56 橄榄色;尺码:175/100A/L,2021-02-23 13:02:06,满意
野***7,颜色:26 橙红色;尺码:180/108B/XL,2021-02-22 17:42:48,质量材质都很好。大小合适。满意
x***j,颜色:31 米色;尺码:175/100A/L,2021-02-22 10:11:59,不适合麦黄和微黑皮肤的人，应该皮肤白的人穿挺不错的
马***兽,颜色:56 橄榄色;尺码:175/100A/L,2021-02-21 22:28:08,纯棉，不错
罗***像,颜色:01 乳白色;尺码:175/100A/L,2021-02-21 11:54:28,质感似乎不错，先洗洗再穿。
轻***2,颜色:31 米色;尺码:170/92A/M,2021-02-18 22:23:32,有点长
小***b,颜色:01 乳白色;尺码:175/100A/L,2021-02-15 12:11:50,质量好
王***团,颜色:31 米色;尺码:180/108B/XL,2021-02-15 11:23:45,好评
上***1,颜色:26 橙红色;尺码:180/108B/XL,2021-02-15 09:08:45,质量一如既往的好，非常满意，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，继续回购！
上***1,颜色:31 米色;尺码:180/108B/XL,2021-02-15 09:08:44,质量一如既往的好，非常满意，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，继续回购！
夏***煦,颜色:01 乳白色;尺码:170/92A/M,2021-02-15 07:20:24,折后99入手，性价比很高，洗也简单，维护简单，可以当情侣装
新***n,颜色:26 橙红色;尺码:165/84A/S,2021-02-09 21:44:38,此用户没有填写评论!
大***0,颜色:31 米色;尺码:185/112C/XXL,2021-02-07 23:37:16,衣服厚薄适中，面料舒适，184，115公斤XXL正好，打底单穿都可易。
嘉***奈,颜色:56 橄榄色;尺码:175/100A/L,2021-02-07 21:37:51,ok
t***9,颜色:09 黑色;尺码:175/100A/L,2021-02-05 09:11:33,质量蛮好的
t***9,颜色:31 米色;尺码:175/100A/L,2021-02-05 09:11:08,质量不错
g***7,颜色:26 橙红色;尺码:175/100A/L,2021-02-04 19:51:53,挺好的，在优衣库买了好几件这样的长袖T恤了
习***晶,颜色:56 橄榄色;尺码:175/100A/L,2021-02-04 06:40:32,99元，身高168体重160，微宽松，舒适满意
z***n,颜色:56 橄榄色;尺码:175/100A/L,2021-02-03 22:44:08,不错
t***9,颜色:31 米色;尺码:175/100A/L,2021-02-03 14:33:30,宽松，面料还不错
袁***7,颜色:31 米色;尺码:185/128C/XXXXL,2021-02-03 14:20:06,好看，面料柔软
s***富,颜色:31 米色;尺码:170/92A/M,2021-02-02 18:24:46,衣服稍微宽了一点，其余还好
t***1,颜色:26 橙红色;尺码:185/120C/XXXL,2021-02-02 10:06:41,物美价廉，穿着很合适
艾***4,颜色:31 米色;尺码:180/108B/XL,2021-02-02 08:35:39,像打底穿的线衣一样，应该质量不错
p***k,颜色:56 橄榄色;尺码:175/100A/L,2021-02-01 20:29:54,可以
l***x,颜色:56 橄榄色;尺码:170/92A/M,2021-02-01 16:41:55,很好
l***x,颜色:31 米色;尺码:170/92A/M,2021-02-01 16:41:55,很好
t***安,颜色:56 橄榄色;尺码:170/92A/M,2021-01-31 18:38:34,中了优衣库的毒，全家人的衣服差不多都是优衣库！
z***n,颜色:26 橙红色;尺码:175/100A/L,2021-01-30 22:08:45,质量不错
z***n,颜色:31 米色;尺码:175/100A/L,2021-01-30 22:08:45,质量不错
