displayUserNick,auctionSku,rateDate,rateContent
h***q,颜色:01 乳白色;尺码:170/92A/M,2021-03-05 11:59:46,白色露点
w***c,颜色:03 灰色;尺码:175/100A/L,2021-03-02 15:28:51,很好
t***5,颜色:01 乳白色;尺码:175/100A/L,2021-03-01 13:39:40,打底很好穿 推荐入手
小***儿,颜色:56 橄榄色;尺码:175/100A/L,2021-03-01 10:16:42,这款太好看，女生也可以穿呢。后悔没有多买一件。
y***1,颜色:01 乳白色;尺码:170/92A/M,2021-03-01 07:18:41,款式还行
s***7,颜色:01 乳白色;尺码:175/100A/L,2021-02-27 12:36:52,舒服了
x***6,颜色:01 乳白色;尺码:175/100A/L,2021-02-26 12:57:58,不错
李***6,颜色:03 灰色;尺码:170/92A/M,2021-02-24 15:52:34,170，140斤，穿m合适，不等活动了，先买了也不亏
酸***t,颜色:01 乳白色;尺码:160/76A/XS,2021-02-23 19:59:22,非常好看啦！女孩子也能穿，有点点透，需要打底
4***k,颜色:03 灰色;尺码:175/100A/L,2021-02-23 18:31:04,非常好
x***8,颜色:03 灰色;尺码:180/108B/XL,2021-02-23 13:09:15,颜色不如图片好看，太大了。
t***3,颜色:01 乳白色;尺码:165/84A/S,2021-02-22 19:33:22,还可以，挺舒服吧，h
s***3,颜色:03 灰色;尺码:175/100A/L,2021-02-20 17:35:13,非常好👍
h***4,颜色:01 乳白色;尺码:170/92A/M,2021-02-19 08:54:14,还不错
1***r,颜色:03 灰色;尺码:170/92A/M,2021-02-17 11:00:14,终于收到我需要的宝贝了，东西很好，价美物廉 谢谢掌柜的！说实在，这是我淘宝购物来让我最满 意的一次购物。无论是掌柜的态度还是对物品，我 都非常满意的。掌柜态度很专业热情，有问必答， 回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这 样的好掌柜可不多。再说宝贝，正是我需要的，收 到的时候包装完整，打开后让我惊喜的是，宝贝比 我想象中的还要好！不得不得竖起大拇指。下次需 要的时候我还会再来的，到时候麻烦掌柜给个优惠 哦！
j***u,颜色:03 灰色;尺码:175/100A/L,2021-02-17 09:59:30,大小合适，喜欢😘
喜***傻,颜色:01 乳白色;尺码:170/92A/M,2021-02-15 13:25:43,本来很喜欢买优衣库的衣服，但是，这次的物流服务和服务态度真的超级无比差劲。如果不能发货，那就请提早告知。结果呢？发货了，物流今天没有更新。年前下单，今天才收到货，真的是相当无语。
上***1,颜色:56 橄榄色;尺码:175/100A/L,2021-02-15 09:07:36,质量一如既往的好，非常满意，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，继续回购！
上***1,颜色:09 黑色;尺码:175/100A/L,2021-02-15 09:07:36,质量一如既往的好，非常满意，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，继续回购！
t***7,颜色:56 橄榄色;尺码:160/76A/XS,2021-02-15 01:39:10,衣服质量可以
r***6,颜色:03 灰色;尺码:175/100A/L,2021-02-13 09:45:57,疫情期间还是快递送过来了，值得点赞
新***9,颜色:56 橄榄色;尺码:175/100A/L,2021-02-13 09:42:56,整体评价：好好 上身效果：合身
耳***二,颜色:56 橄榄色;尺码:175/100A/L,2021-02-11 17:02:53,好
c***1,颜色:01 乳白色;尺码:185/120C/XXXL,2021-02-10 07:48:04,好评
诸***昏,颜色:03 灰色;尺码:180/108B/XL,2021-02-09 15:06:30,物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了
n***n,颜色:01 乳白色;尺码:185/112C/XXL,2021-02-09 13:54:20,不错，大小合适，质量品质都很好
支***儿,颜色:03 灰色;尺码:170/92A/M,2021-02-08 08:43:56,还不错
r***y,颜色:56 橄榄色;尺码:175/100A/L,2021-02-07 17:18:11,超爱亨利领
t***3,颜色:01 乳白色;尺码:185/128C/XXXXL,2021-02-06 22:46:46,我觉得不差，跑起来的时候，有被风抚摸的感觉。哦！这让人喜爱的透气性！
平***r,颜色:03 灰色;尺码:170/92A/M,2021-02-04 14:26:36,寄了顺丰速度很快，衣服不错
戈***9,颜色:09 黑色;尺码:175/100A/L,2021-02-04 00:41:37,好穿。
1***4,颜色:01 乳白色;尺码:170/92A/M,2021-02-03 12:42:08,白色很好看呀。干净漂亮。准备给自己也买一件白色
1***4,颜色:09 黑色;尺码:170/92A/M,2021-02-03 12:42:08,黑白都买了。一直都喜欢亨利领。男朋友穿上帅气
外***8,颜色:01 乳白色;尺码:170/92A/M,2021-02-03 08:50:14,不错！挺好的！
w***5,颜色:03 灰色;尺码:175/100A/L,2021-01-31 19:18:48,合身、价廉物美、物流快。
z***9,颜色:01 乳白色;尺码:175/100A/L,2021-01-30 14:52:44,面料很舒服，颜色好看
