displayUserNick,auctionSku,rateDate,rateContent
尤***y,颜色:03 灰色;尺码:160/76A/XS,2021-03-04 19:50:48,袖子有点长
奶***3,颜色:03 灰色;尺码:170/92A/M,2021-03-03 10:04:47,客服不会回信息
牛***波,颜色:67 海蓝色;尺码:170/92A/M,2021-03-02 22:57:09,说实话，打一星是客服的过错。同一个颜色，尺码明显偏大打到6CM，车轱辘话说1到3CM是正常范围。差点就以为是机器人。是否挂错吊牌都不重要了，明确说要退货，按商品页的尺码表对比他就是L号的，有什么好狡辩。为什么这么肯定尺码有问题，一直买这个码，这次两件不同颜色的，大小差距之明显，再加尺子量
l***9,颜色:67 海蓝色;尺码:175/100A/L,2021-03-02 14:15:32,质量好，尺码准，偏宽松，不太厚，满意👍
郭***强,颜色:67 海蓝色;尺码:165/84A/S,2021-03-02 12:58:56,还不错，宽松版型，衣服厚实， 显年轻，身高175体重130斤穿m码。不着急穿可以等79或者59再入手，广东夏天穿估计热
郭***强,颜色:03 灰色;尺码:165/84A/S,2021-03-02 12:58:56,上身效果：灰色显才，容易搭配 厚薄度：厚 材质特性：棉，透气 整体评价：性价比不高，不着急可以等降价
s***n,颜色:67 海蓝色;尺码:185/120C/XXXL,2021-03-02 12:42:27,又短又宽，适合矮胖子穿。棉质好，夏天穿合适，偏薄，小贵了。
l***2,颜色:67 海蓝色;尺码:160/76A/XS,2021-03-02 08:05:38,穿着很宽松，版型不错，比较时尚
t***9,颜色:26 橙红色;尺码:185/128C/XXXXL,2021-03-01 10:20:52,好
也***8,颜色:03 灰色;尺码:160/76A/XS,2021-02-28 22:52:36,挺好的
4***a,颜色:03 灰色;尺码:170/92A/M,2021-02-27 20:39:33,好看！男友T女生穿也很好看。
w***6,颜色:26 橙红色;尺码:180/108B/XL,2021-02-27 10:38:27,好
高***攻,颜色:03 灰色;尺码:180/108B/XL,2021-02-24 15:07:13,可以的
t***1,颜色:67 海蓝色;尺码:170/92A/M,2021-02-21 16:21:37,可以
j***2,颜色:03 灰色;尺码:170/92A/M,2021-02-21 10:25:15,好
小***店,颜色:67 海蓝色;尺码:165/84A/S,2021-02-20 16:04:28,不错
尤***1,颜色:67 海蓝色;尺码:185/128C/XXXXL,2021-02-15 21:50:20,好
h***6,颜色:67 海蓝色;尺码:185/128C/XXXXL,2021-02-15 21:01:14,一如既往的好！
l***g,颜色:67 海蓝色;尺码:180/108B/XL,2021-02-14 10:45:20,很厚 有点硬挺
西***平,颜色:03 灰色;尺码:180/108B/XL,2021-02-09 06:56:14,略厚，很好。买了优衣库这么多衣服，难得顺丰送货两天就到，以前发EMS中通能拖五六天。￼
d***5,颜色:67 海蓝色;尺码:185/128C/XXXXL,2021-02-08 16:25:10,尺码合适满意
