displayUserNick,auctionSku,rateDate,rateContent
c***0,颜色:61 水蓝色;尺码:175/100A/L,2021-01-18 12:50:36,有点薄
j***1,颜色:61 水蓝色;尺码:170/92A/M,2020-12-02 15:34:08,很舒服的布料，很值得推荐
凤***5,颜色:61 水蓝色;尺码:170/92A/M,2020-11-21 16:35:47,适合老公，他一直喜欢的条纹
f***8,颜色:61 水蓝色;尺码:175/100A/L,2020-11-20 20:40:41,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！
水***卓,颜色:61 水蓝色;尺码:170/92A/M,2020-11-18 19:49:44,好
w***5,颜色:61 水蓝色;尺码:175/100A/L,2020-11-16 22:22:50,这是买的第三件优衣库的衬衫，料子柔软，剪裁合身，穿起来美观又舒服！
k***l,颜色:61 水蓝色;尺码:170/92A/M,2020-11-16 22:16:36,一般吧...  优衣库一天不如一天了...
k***o,颜色:61 水蓝色;尺码:170/92A/M,2020-11-16 10:34:01,可以，挺合身
行***9,颜色:61 水蓝色;尺码:170/92A/M,2020-11-15 18:11:42,版型合适，无色差
t***4,颜色:61 水蓝色;尺码:170/92A/M,2020-11-14 11:49:33,一直都好，体重140，身高170，该型号刚刚好！
i***4,颜色:61 水蓝色;尺码:175/100A/L,2020-11-12 21:36:13,不错不错
g***漫,颜色:61 水蓝色;尺码:170/92A/M,2020-11-12 17:28:15,还可以吧，一直优衣库，柔软，有点小贵
s***8,颜色:61 水蓝色;尺码:170/92A/M,2020-11-12 12:58:55,穿起来很舒服，合身。
k***9,颜色:61 水蓝色;尺码:170/92A/M,2020-11-10 23:04:25,东西看起来还不错，赞一个
大***稣,颜色:61 水蓝色;尺码:175/100A/L,2020-11-08 22:56:04,好看
天***5,颜色:61 水蓝色;尺码:175/100A/L,2020-11-08 18:09:53,非常合适，非常舒服，本来就打算买一件正装衬衫，如愿买到了，开心。
a***3,颜色:61 水蓝色;尺码:170/92A/M,2020-10-16 16:20:33,款式不错，价格实惠，好评
1***权,颜色:61 水蓝色;尺码:180/108B/XL,2020-10-15 16:57:07,服务流程不错，快
1***权,颜色:61 水蓝色;尺码:175/100A/L,2020-10-15 16:56:31,尺码偏大。
t***1,颜色:61 水蓝色;尺码:175/100A/L,2020-10-10 19:48:23,特别喜欢，也特别好看
w***g,颜色:61 水蓝色;尺码:170/92A/M,2020-10-10 08:39:14,穿着很舒适，一般买的都是纽扣领衬衫，换一种风格，面料挺舒服的。
谢***物,颜色:61 水蓝色;尺码:170/92A/M,2020-10-08 12:06:55,不错不错
巫***玄,颜色:61 水蓝色;尺码:170/92A/M,2020-10-04 21:38:03,肥了
a***3,颜色:61 水蓝色;尺码:175/100A/L,2020-10-02 21:35:49,好评
驹***子,颜色:61 水蓝色;尺码:170/92A/M,2020-10-02 08:19:49,买给爸爸的，在优家买过很多次衬衫了，上身效果都很好，爸爸很喜欢，这一款是料子比较软的衬衫，非常的贴身舒适，但洗完之后有点皱皱塌塌的，熨一下更好看。
8***n,颜色:61 水蓝色;尺码:165/84A/S,2020-09-27 17:50:22,稍微有一点透，不过很好看
吉***喵,颜色:61 水蓝色;尺码:175/100A/L,2020-09-24 20:37:57,衣服很软～180穿这个码子正好，好看的！
c***t,颜色:61 水蓝色;尺码:180/108B/XL,2020-09-18 10:45:52,尺码比较合适 很不错 颜色和图片上一致，符合要求
得***五,颜色:61 水蓝色;尺码:175/100A/L,2020-09-14 12:54:00,东西很好
胆***客,颜色:61 水蓝色;尺码:165/84A/S,2020-09-12 23:04:26,面料蛮舒服的！搭配也比较容易嘎嘎
l***张,颜色:61 水蓝色;尺码:170/92A/M,2020-09-10 14:51:11,上身效果：好看！ 尺码推荐：180 65 M 厚薄度：适中
艾***卿,颜色:61 水蓝色;尺码:165/84A/S,2020-08-28 19:47:25,稀烂
t***2,颜色:61 水蓝色;尺码:180/108B/XL,2020-08-08 00:30:36,整体评价：很好很合身 材质特性：棉的，摸着很舒服 上身效果：合身 尺码推荐：180.140xl
小***1,颜色:61 水蓝色;尺码:175/100A/L,2020-07-30 22:01:01,衬衣尺码标准，料子不错。
朋***调,颜色:61 水蓝色;尺码:175/100A/L,2020-07-15 09:26:05,图片与实际有严重色差！
安***y,颜色:61 水蓝色;尺码:175/100A/L,2020-06-23 17:11:33,一直给爸爸买的优衣库衬衫，面料柔软舒适透气！
d***9,颜色:61 水蓝色;尺码:170/92A/M,2020-06-15 23:19:53,满意
j***p,颜色:61 水蓝色;尺码:180/108B/XL,2020-06-07 10:04:09,尺寸合适，面料好！
李***7,颜色:61 水蓝色;尺码:175/100A/L,2020-06-04 23:47:31,还不错  面料摸着也挺软 好看的
t***3,颜色:61 水蓝色;尺码:185/120C/XXXL,2020-05-26 10:12:20,买了太多太多，衣服长的都一样
魏***晋,颜色:61 水蓝色;尺码:170/92A/M,2020-05-21 18:49:47,不错，得比平常穿的小一码，不过还是有点长，塞裤子里边正好，舒适感啥的没问题，版型也ok
o***o,颜色:61 水蓝色;尺码:175/100A/L,2020-05-14 00:53:51,给爸爸买的，他很满意 上身效果：尺码准确合身 厚薄度：薄 面料品质：舒适
t***2,颜色:61 水蓝色;尺码:185/128C/XXXXL,2020-05-05 13:51:22,千万不要买这家店的衣服，质量不但不好，客服也很敷衍，千万千万不要买，这家店是假的，千万不要买，客服的态度不行
s***y,颜色:61 水蓝色;尺码:185/120C/XXXL,2020-04-29 10:43:46,尺码大了一号，看来以后得选小一号的，否则穿的太空，像戏服。
给***吧,颜色:61 水蓝色;尺码:175/100A/L,2020-04-27 13:33:38,这个我在想是不是退回去又发给我的，，，，，，，， 想问下出库的时候检查了吗
港***g,颜色:61 水蓝色;尺码:185/112C/XXL,2020-04-19 00:26:28,外穿內搭皆可 優衣庫質量沒問題的 是好看的條紋
c***m,颜色:61 水蓝色;尺码:170/92A/M,2020-04-15 00:24:14,不错不错👌👍👍👍👍。      124
热***号,颜色:61 水蓝色;尺码:170/92A/M,2020-04-12 20:17:20,衬衫和合身，与图片描述差不多，不错的购物体验
k***6,颜色:61 水蓝色;尺码:185/112C/XXL,2020-04-10 20:06:42,很帅气 这件衬衫特别值得买 买了就吃货
小***0,颜色:61 水蓝色;尺码:185/112C/XXL,2020-04-01 17:47:22,码偏大，身高187体重90稍微有点大不过可以接受衣服不错的
l***3,颜色:61 水蓝色;尺码:175/100A/L,2020-03-26 19:04:17,还可以 合身
淇***7,颜色:61 水蓝色;尺码:165/84A/S,2020-03-25 20:43:40,料子是滑滑的感觉，有些薄，但是很舒服，亲肤。颜色也是很小清新，是春天的颜色。总之很喜欢，也很好看
我***茶,颜色:61 水蓝色;尺码:185/112C/XXL,2020-03-22 08:03:09,衣服领子太软
t***8,颜色:61 水蓝色;尺码:165/84A/S,2020-03-18 10:55:56,很不错，上身效果好，布料是软的，舒适度较高
放***熊,颜色:61 水蓝色;尺码:170/92A/M,2020-03-03 22:03:21,很喜欢哈
常***哥,颜色:61 水蓝色;尺码:180/108B/XL,2020-03-01 13:00:17,优衣库的衬衫真是我的心头好！
j***2,颜色:61 水蓝色;尺码:170/92A/M,2020-02-26 10:10:37,不错
心***j,颜色:61 水蓝色;尺码:160/76A/XS,2020-01-23 17:36:57,好看咯
w***n,颜色:61 水蓝色;尺码:175/100A/L,2020-01-11 08:51:35,此用户没有填写评论!
白***4,颜色:61 水蓝色;尺码:170/92A/M,2020-01-06 09:34:25,挺好
t***0,颜色:61 水蓝色;尺码:175/100A/L,2019-12-31 09:18:39,不错
