displayUserNick,auctionSku,rateDate,rateContent
阿***子,颜色:66 蓝色;尺码:175/100A/L,2021-03-01 17:43:08,挺好
n***5,颜色:66 蓝色;尺码:175/100A/L,2021-03-01 08:34:50,木下孝浩同款
大***家,颜色:66 蓝色;尺码:180/108B/XL,2021-02-25 08:53:37,不错
小***6,颜色:66 蓝色;尺码:170/92A/M,2021-02-24 23:35:27,此用户没有填写评论!
l***6,颜色:66 蓝色;尺码:170/92A/M,2021-02-21 19:45:12,是想要的款式和颜色！质量很好！
胡***7,颜色:66 蓝色;尺码:165/84A/S,2021-02-20 20:51:38,不错，帅拉拉
s***4,颜色:66 蓝色;尺码:175/100A/L,2021-02-20 09:33:46,蓝色条纹很亮眼，尺码合适178-70穿L刚好
t***4,颜色:66 蓝色;尺码:175/100A/L,2021-02-18 18:00:41,不错！
所***i,颜色:66 蓝色;尺码:175/100A/L,2021-02-12 08:07:13,很帅嗷  颜色很正 实体店149 99包邮买到 很赚
飞***虫,颜色:66 蓝色;尺码:180/108B/XL,2021-02-06 21:46:46,很好
a***9,颜色:66 蓝色;尺码:175/100A/L,2021-02-01 11:23:09,好
帅***天,颜色:66 蓝色;尺码:175/100A/L,2021-01-30 09:32:26,好看，好搭
h***j,颜色:66 蓝色;尺码:175/100A/L,2021-01-29 17:56:29,质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠
曾***t,颜色:66 蓝色;尺码:165/84A/S,2021-01-25 10:46:55,价格实惠，穿着不错
抓***宝,颜色:66 蓝色;尺码:175/100A/L,2021-01-24 11:25:06,此用户没有填写评论!
忠***哒,颜色:66 蓝色;尺码:165/84A/S,2021-01-24 01:02:59,当时为了买这个东西真的做了很多的功课，就是为了找到自己内心中意的一款，找了好久好久オ看到。下单，到货收货，打开一看真的太棒了，很好!激动万分吧。很好的体验!大家可以买!
t***5,颜色:66 蓝色;尺码:175/100A/L,2021-01-16 14:06:53,666
s***1,颜色:66 蓝色;尺码:175/100A/L,2021-01-15 18:40:04,优衣库基础款物美价廉
条***咪,颜色:66 蓝色;尺码:175/100A/L,2020-12-08 15:46:39,出乎意料的好！质感太棒了
孤***狂,颜色:66 蓝色;尺码:175/100A/L,2020-12-01 12:48:52,休闲，有颇正式，棒
开***7,颜色:66 蓝色;尺码:175/100A/L,2020-11-26 12:48:53,很薄。。但是挺好看的
风***0,颜色:66 蓝色;尺码:170/92A/M,2020-11-24 21:09:45,买给我弟弟的，挺好看的
蒋***睿,颜色:66 蓝色;尺码:165/84A/S,2020-11-20 00:37:00,男装上身也好看 爱了
i***m,颜色:66 蓝色;尺码:165/84A/S,2020-11-18 17:28:16,好，提货很快
果***天,颜色:66 蓝色;尺码:165/84A/S,2020-11-18 09:49:08,买来打底的，也是比较有质感的一件衬衫！男装真的比女装好看很多啊！！
何***6,颜色:66 蓝色;尺码:170/92A/M,2020-11-15 16:44:25,整体评价：哥哥工作人员的时候我就觉得我是一种习惯，我们的生活方式是什么
w***2,颜色:66 蓝色;尺码:165/84A/S,2020-11-14 00:02:24,此用户没有填写评论!
t***6,颜色:66 蓝色;尺码:165/84A/S,2020-11-09 17:17:32,优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好优衣库质量一如既往的好
t***8,颜色:66 蓝色;尺码:180/108B/XL,2020-11-08 13:08:43,很好看 质量不错 版型很好
躺***天,颜色:66 蓝色;尺码:165/84A/S,2020-11-07 18:08:03,舒服，身高171体重128斤，挺适合的
钟***妮,颜色:66 蓝色;尺码:175/100A/L,2020-11-06 21:39:09,不错
t***2,颜色:66 蓝色;尺码:170/92A/M,2020-10-25 22:14:09,质量非常好，喜欢，160  110斤穿m码刚好合适☺☺☺
