displayUserNick,auctionSku,rateDate,rateContent
j***9,颜色:66 蓝色;尺码:165/84A/S,2021-03-05 13:13:37,不错
慕***墨,颜色:64 湖蓝色;尺码:180/108B/XL,2021-03-04 16:12:08,线上购物也很方便。而且有的大码只有线上才能买到。
力***奥,颜色:66 蓝色;尺码:175/100A/L,2021-03-04 10:36:18,好，。。。。。。。。。。。。。。。。。。。。。。。。。。。
t***3,颜色:66 蓝色;尺码:175/100A/L,2021-03-03 19:17:07,很好
a***坤,颜色:66 蓝色;尺码:180/108B/XL,2021-03-03 15:26:41,不错
卢***1,颜色:64 湖蓝色;尺码:165/84A/S,2021-03-03 12:58:45,很好，之前在实体店试过，看到淘宝降价马上买了！
w***6,颜色:66 蓝色;尺码:180/108B/XL,2021-03-03 07:03:35,还不错
t***y,颜色:66 蓝色;尺码:175/100A/L,2021-03-02 16:43:48,挺不错的
热***e,颜色:66 蓝色;尺码:180/108B/XL,2021-03-02 10:44:21,身高180体重170穿上略宽松
s***r,颜色:64 湖蓝色;尺码:175/100A/L,2021-03-02 08:59:10,挺好的
清***3,颜色:66 蓝色;尺码:180/108B/XL,2021-03-01 15:35:02,衬衣给老公买的，合适。
小***0,颜色:66 蓝色;尺码:170/92A/M,2021-03-01 10:37:45,挺好看的，衣服很薄那种，穿着不是很热，适合春秋季穿
放***火,颜色:66 蓝色;尺码:170/92A/M,2021-03-01 10:28:36,好。
赛***c,颜色:66 蓝色;尺码:180/108B/XL,2021-03-01 10:14:46,合适，好！
l***5,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-28 17:17:02,174 78公斤 L码合适
l***l,颜色:64 湖蓝色;尺码:185/112C/XXL,2021-02-28 16:16:40,一般都穿优衣库的，舒适性价比高穿着舒服。对健身爱好者宽松185 160
w***6,颜色:66 蓝色;尺码:165/84A/S,2021-02-28 13:33:02,袖子稍微短了
w***9,颜色:64 湖蓝色;尺码:165/84A/S,2021-02-27 23:32:47,非常好质量，很喜欢！简直太好用了，只能用完美来形容！强烈推荐！
你***么,颜色:66 蓝色;尺码:175/100A/L,2021-02-27 20:02:53,上身效果：好
t***0,颜色:66 蓝色;尺码:175/100A/L,2021-02-26 17:54:35,挺好看的
f***8,颜色:66 蓝色;尺码:165/84A/S,2021-02-24 23:22:07,很合身。版型不错。
d***u,颜色:64 湖蓝色;尺码:180/108B/XL,2021-02-24 19:37:19,非常不错
红***妮,颜色:66 蓝色;尺码:170/92A/M,2021-02-23 08:21:07,挺好，老公喜欢
周***8,颜色:66 蓝色;尺码:170/92A/M,2021-02-22 20:59:41,好
雪***o,颜色:66 蓝色;尺码:175/100A/L,2021-02-22 15:37:21,产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验 产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验
t***1,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-21 10:13:01,183 84  宽松
