displayUserNick,auctionSku,rateDate,rateContent
h***8,颜色:33 卡其色;尺码:175/100A/L,2021-03-05 10:32:56,洗了之后 稍微有点皱  还有就是官方店客服真的绝了 客服满分10分最多给1分了 虽然最后售后处理成功 但真是颇为艰难
哎***e,颜色:69 藏青色;尺码:180/108B/XL,2021-03-05 07:54:30,184cm/80kg外穿正好
风***丶,颜色:57 深橄榄色;尺码:175/100A/L,2021-03-04 18:28:03,还行
热***e,颜色:57 深橄榄色;尺码:180/108B/XL,2021-03-03 20:29:46,偏大，不过很好看
t***3,颜色:33 卡其色;尺码:185/120C/XXXL,2021-03-03 20:18:34,很不错，买大两号很宽松
l***1,颜色:33 卡其色;尺码:170/92A/M,2021-03-03 16:50:42,还行吧
热***6,颜色:33 卡其色;尺码:180/108B/XL,2021-03-03 15:23:23,很好👍🏼👍🏼👍🏼👍🏼👍🏼。
6***x,颜色:57 深橄榄色;尺码:175/100A/L,2021-03-03 11:25:58,东西收到，很满意!!真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖!  。 。。
l***t,颜色:33 卡其色;尺码:185/112C/XXL,2021-03-03 09:38:20,优衣库的衣服，品质都在水准线之上，是老百姓的衣服。 无 对于我来说偏小了点。 薄 无
h***空,颜色:69 藏青色;尺码:180/108B/XL,2021-03-02 22:24:07,挺好的，这家店常买，东西可以挺好的
c***9,颜色:57 深橄榄色;尺码:170/92A/M,2021-03-02 22:23:41,优衣库一天一个价，当你以为暂时不会降价买了的时候还没收到货呢它已经降价了🌚🌚ᥬ🌚᭄
c***9,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 22:21:27,买优衣库一天一个价🌚🌚ᥬ🌚᭄
r***8,颜色:33 卡其色;尺码:175/100A/L,2021-03-02 18:57:11,质量还可以
z***6,颜色:33 卡其色;尺码:180/108B/XL,2021-03-02 16:30:20,挺好的，以后我还是去店里选吧，尺寸拿不准
火***9,颜色:57 深橄榄色;尺码:170/92A/M,2021-03-02 15:01:21,好评！
s***r,颜色:33 卡其色;尺码:175/100A/L,2021-03-02 08:59:10,挺好的
杰***伤,颜色:33 卡其色;尺码:170/92A/M,2021-03-01 19:10:19,衣服我很中意，很满意，做工也很精细的
m***生,颜色:57 深橄榄色;尺码:175/100A/L,2021-03-01 16:27:25,好评
t***9,颜色:69 藏青色;尺码:165/84A/S,2021-03-01 12:09:08,宝贝做工精细，与专买店一样，穿着非常精神，正品，给商家五星好评！
t***7,颜色:33 卡其色;尺码:180/108B/XL,2021-02-28 18:23:35,尺码不是太准
l***y,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-28 10:13:38,好看
w***3,颜色:33 卡其色;尺码:175/100A/L,2021-02-27 18:50:28,不错，就是跟我的工作服一模一样！
晴***电,颜色:33 卡其色;尺码:175/100A/L,2021-02-27 18:15:38,面料不错，厚度也尚可，外穿合适！
h***e,颜色:57 深橄榄色;尺码:170/92A/M,2021-02-27 17:33:53,可以
s***7,颜色:33 卡其色;尺码:185/120C/XXXL,2021-02-27 14:27:53,很不错！
t***8,颜色:33 卡其色;尺码:170/92A/M,2021-02-26 12:47:49,可
姿***6,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-23 15:28:50,真是无语，买了一个l号，要求换m又给我发一个l 的，无语，打了无数次的客服。
t***6,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 23:13:37,长度合适，肩宽窄了点，有点束缚感，身高165体重122
1***毛,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-22 22:03:01,我喜欢这个颜色，老公穿的很好看
t***0,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-21 17:13:54,还行吧
于***2,颜色:57 深橄榄色;尺码:180/108B/XL,2021-02-21 12:20:30,可惜没有更大了，现在就刚刚好，但很好看很喜欢！
t***t,颜色:33 卡其色;尺码:180/108B/XL,2021-02-21 11:55:31,上身效果：帅
如***5,颜色:33 卡其色;尺码:175/100A/L,2021-02-20 17:05:18,一个字。好！
t***6,颜色:57 深橄榄色;尺码:170/92A/M,2021-02-20 15:11:02,衬衣很划算，做活动买的
9***葵,颜色:57 深橄榄色;尺码:165/84A/S,2021-02-19 16:19:48,尺码很合适 颜色没色差
n***e,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 22:10:31,版型不错哦
j***b,颜色:33 卡其色;尺码:175/100A/L,2021-02-18 12:14:01,还可以，跟实体店一样
t***2,颜色:69 藏青色;尺码:175/100A/L,2021-02-13 16:42:43,整体评价：不错 材质特性：可以 上身效果：不错 面料品质：一般
t***7,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-09 18:43:26,啦啦啦啦啦啦啦啦啦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啦啦啦啦啦啦啦啦
x***o,颜色:69 藏青色;尺码:165/84A/S,2021-02-09 10:51:23,挺修身的，料子也不错，打折后买的
j***5,颜色:33 卡其色;尺码:175/100A/L,2021-02-08 22:18:49,可以
西***厉,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-08 20:30:13,可以，和官方店一模一样，没问题
人***1,颜色:69 藏青色;尺码:165/84A/S,2021-02-08 17:58:10,衣服简洁帅气。还送了个果盘，挺好
j***5,颜色:69 藏青色;尺码:180/108B/XL,2021-02-07 17:51:16,"买大了一码,门店自提。然后拿去换小一码，收银姐姐服务态度不好"
绿***6,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-06 20:17:04,很不错啊，做工好，优衣库的衣服还是能让人信得过的。
黄***6,颜色:57 深橄榄色;尺码:170/92A/M,2021-02-05 20:05:49,质量挺好的，价廉物美吧！
陈***物,颜色:69 藏青色;尺码:180/108B/XL,2021-02-05 15:35:59,实名制表扬宁波万达的小伙伴，服务态度无与伦比，取货快速，有什么问题都能解决，点赞点赞点赞！五星好评送给他们
t***8,颜色:33 卡其色;尺码:175/100A/L,2021-02-05 09:30:13,给男朋友买的
橘***桑,颜色:69 藏青色;尺码:180/108B/XL,2021-02-04 21:24:38,很合身面料也很好
1***b,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-03 22:52:18,优衣库嘛，大家都知道，就不多说了
d***6,颜色:33 卡其色;尺码:180/108B/XL,2021-02-03 21:54:07,一如既往地好，颜色很正。。
京***0,颜色:69 藏青色;尺码:165/84A/S,2021-02-02 12:38:17,很合身，面料看着也不错
j***1,颜色:57 深橄榄色;尺码:165/84A/S,2021-02-01 19:53:05,我这是男装女穿，158，47，S 码休闲宽松，超爱各种绿色，这个偏向深军绿色，纯棉的，很舒服。。。
