displayUserNick,auctionSku,rateDate,rateContent
w***8,颜色:65 宝蓝色;尺码:165/84A/S,2021-03-04 17:28:04,合适
转***开,颜色:65 宝蓝色;尺码:170/92A/M,2021-03-04 11:34:29,可以 178高体重150斤 m码正合适
力***奥,颜色:65 宝蓝色;尺码:175/100A/L,2021-03-04 10:36:17,好，。。。。。。。。。。。。。。。。。。。。。。。。。。。
瓜***5,颜色:65 宝蓝色;尺码:170/92A/M,2021-03-04 09:45:57,这个衣服袖子不是很长 实体店没有m了 女生也很喜欢
c***2,颜色:65 宝蓝色;尺码:165/84A/S,2021-03-04 08:15:01,就是喜欢
o***i,颜色:65 宝蓝色;尺码:170/92A/M,2021-03-04 00:11:21,。。。。。。。。。。。
t***2,颜色:65 宝蓝色;尺码:180/108B/XL,2021-03-03 13:07:44,176   77kg 刚好
陈***豪,颜色:65 宝蓝色;尺码:165/84A/S,2021-03-03 11:47:53,感觉还不错
z***4,颜色:65 宝蓝色;尺码:185/112C/XXL,2021-03-02 15:25:19,整体可以
k***3,颜色:65 宝蓝色;尺码:175/100A/L,2021-03-02 15:04:59,上班穿不错。看到降价果断再入一件。
y***东,颜色:65 宝蓝色;尺码:170/92A/M,2021-03-02 12:44:40,不错
g***米,颜色:65 宝蓝色;尺码:170/92A/M,2021-03-02 11:15:25,大小合适 不错
t***4,颜色:65 宝蓝色;尺码:165/84A/S,2021-03-01 19:28:13,喜欢喜欢
漫***号,颜色:65 宝蓝色;尺码:185/112C/XXL,2021-02-28 20:38:28,181cm 87kg xxl算合身吧，想追求宽松可以再买大一码
啥***好,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-24 17:17:34,赶上了优惠，衣服很值。
t***9,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-24 12:21:24,最爱
m***1,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-23 12:05:03,好评
林***叔,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-21 21:24:59,此用户没有填写评论!
l***0,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-21 17:38:26,挺好的，喜欢😘&hellip;&hellip;
熊***1,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-21 14:10:44,买小一码合适，170，50。
z***4,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-20 22:22:20,很好的衬衣 一直在买，推荐优衣库的衣服 很好
t***2,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-19 17:58:15,见过最*****，快递丢失，顺丰已经同意理赔，但是商家没有任何的回应措施，要求补发也没有任何消息，一直就是等待等待，没有一点点实质性的回应。
9***葵,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-19 16:19:48,尺码很合适 颜色没色差
g***9,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-19 08:23:17,还可以吧
安***2,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-17 22:57:33,很好，舒适
盘***0,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-15 22:44:45,衣服很漂亮，男友穿起来很帅。
有***。,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-15 11:21:39,版型好，上身好看。
j***8,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-14 22:12:52,很时尚，很漂亮，180  180  xl码
名***2,颜色:65 宝蓝色;尺码:185/128C/XXXXL,2021-02-12 19:16:53,好看！稍微有点贵
好***津,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-11 22:49:50,很好看  实体店没有M
t***1,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-11 14:31:13,优衣库的东西挺好的，就是大家不要抢货，搞得我很多喜欢的都没有货了。
t***1,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-10 01:10:24,129入，以后可能更低，但是129也可以了，可惜买小了点
t***1,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-09 20:46:44,上身效果：男朋友穿着很好看！
