displayUserNick,auctionSku,rateDate,rateContent
s***7,颜色:64 湖蓝色;尺码:165/84A/S,2021-03-05 10:49:58,挺好
s***7,颜色:00 白色;尺码:165/84A/S,2021-03-05 10:47:59,不错
t***n,颜色:69 藏青色;尺码:185/120C/XXXL,2021-03-05 09:48:34,好
x***6,颜色:09 黑色;尺码:175/100A/L,2021-03-05 08:51:00,偏小
焦***g,颜色:00 白色;尺码:185/112C/XXL,2021-03-04 22:00:25,非常好，物美价廉
t***n,颜色:69 藏青色;尺码:180/108B/XL,2021-03-04 17:28:29,好
j***a,颜色:64 湖蓝色;尺码:185/120C/XXXL,2021-03-03 19:45:09,给老爸买的，他人胖经常买不到大**，在店里看了实物比较满意但没最大码就在网店找了，幸亏网上还是有的。
t***7,颜色:09 黑色;尺码:180/108B/XL,2021-03-03 18:18:56,有点薄
t***1,颜色:03 灰色;尺码:175/100A/L,2021-03-02 21:53:09,好
陈***2,颜色:03 灰色;尺码:165/84A/S,2021-03-01 18:18:31,衣服比较薄！
b***w,颜色:00 白色;尺码:170/92A/M,2021-02-28 12:02:14,不错。穿着舒适透气舒适休闲
e***h,颜色:09 黑色;尺码:175/100A/L,2021-02-28 01:22:44,还行吧 用来内搭了
花***l,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 11:37:10,穿着很帅，男朋友很喜欢
t***2,颜色:03 灰色;尺码:175/100A/L,2021-02-26 22:33:15,灰色显气质，质量也不错
兔***代,颜色:00 白色;尺码:165/84A/S,2021-02-26 17:43:07,材质摸起来很舒服，顺滑，有点偏大了
兔***代,颜色:09 黑色;尺码:165/84A/S,2021-02-26 17:43:07,材质摸起来很舒服，顺滑，有点偏大了
张***7,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 16:12:02,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍
滨***鳞,颜色:03 灰色;尺码:165/84A/S,2021-02-25 21:48:11,面料挺舒服的，颜色也还不错，总穿白色也腻了
w***5,颜色:09 黑色;尺码:175/100A/L,2021-02-25 13:50:00,东西收到了，发货挺快的，下午下的单隔天就收到了。 包装也很严实，拆开完好无损的。宝贝质量好品质优价格实惠还送了很多实用的小礼物非常开心，关键是客服脾气好服务热情，基本上有问必答，耐心讲解。很满意的一次购物，作为一名老客户下次会持续观注和光顾。
莉***n,颜色:69 藏青色;尺码:175/100A/L,2021-02-25 13:06:48,给爸爸买的，尺寸正好，深色有点黏毛，款式还不错。
s***0,颜色:03 灰色;尺码:170/92A/M,2021-02-25 04:44:13,挺好
s***0,颜色:09 黑色;尺码:170/92A/M,2021-02-25 04:44:13,挺好
t***5,颜色:00 白色;尺码:170/92A/M,2021-02-24 15:52:09,衣服很舒服  版型也很好  价格便宜  物流也很快  包装的的非常好
月***小,颜色:00 白色;尺码:170/92A/M,2021-02-24 14:22:40,做内搭爆赞
郑***儿,颜色:03 灰色;尺码:170/92A/M,2021-02-24 12:09:27,质量是好，就是这个简易包装太随便了，感觉衣服随便叠叠，打开皱巴巴的。
l***n,颜色:09 黑色;尺码:170/92A/M,2021-02-23 23:13:03,质量好！
j***4,颜色:69 藏青色;尺码:180/108B/XL,2021-02-23 22:05:25,好东西好东西好东西好东西好东西
j***4,颜色:09 黑色;尺码:180/108B/XL,2021-02-23 22:05:24,好东西好东西好东西好东西好东西
t***7,颜色:00 白色;尺码:170/92A/M,2021-02-23 20:52:59,面料不是棉的，透，感觉一般。
名***6,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 20:38:32,藏青色有点偏黑了，当正装穿了&hellip;
晚***d,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 17:14:51,做工比较粗糙，线头比较多，而且我发现和我之前朋友买的99元。一模一样亏了60元！！
佩***哒,颜色:03 灰色;尺码:175/100A/L,2021-02-23 13:23:20,送同学的应该还不错，发的顺丰
z***l,颜色:09 黑色;尺码:165/84A/S,2021-02-23 12:31:47,很好，
名***2,颜色:00 白色;尺码:185/128C/XXXXL,2021-02-22 20:03:21,ok啦
p***6,颜色:03 灰色;尺码:170/92A/M,2021-02-22 18:45:25,真滴不错。物美廉价哦。
萝***e,颜色:64 湖蓝色;尺码:170/92A/M,2021-02-22 13:02:24,偏修身，要是在宽松一点就好了
b***k,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-22 09:59:09,比较薄，适合春秋初夏穿，质量不错
刘***z,颜色:00 白色;尺码:175/100A/L,2021-02-21 18:30:38,好
刘***z,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-21 18:30:25,好
联***q,颜色:03 灰色;尺码:175/100A/L,2021-02-21 18:09:03,178，140，穿L差不多，屁股遮了大半，挺好看的
钟***5,颜色:09 黑色;尺码:185/112C/XXL,2021-02-21 16:01:13,料子很舒服，穿着比较大方
t***7,颜色:09 黑色;尺码:175/100A/L,2021-02-21 15:05:54,喜欢
y***0,颜色:69 藏青色;尺码:165/84A/S,2021-02-21 15:05:05,面料比较光滑，不厚，适合温暖季节，穿着挺舒服。眼部和胳膊比较宽松。
x***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-21 14:30:58,买大了一个号，凑合穿呗！
t***5,颜色:09 黑色;尺码:175/100A/L,2021-02-21 14:12:34,挺好的
j***n,颜色:03 灰色;尺码:175/100A/L,2021-02-21 13:29:07,满意，老粉丝，非常舒服
j***n,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-21 13:28:42,优衣库老粉色
j***n,颜色:00 白色;尺码:175/100A/L,2021-02-21 13:28:42,优衣库老粉丝
d***n,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-21 12:00:12,试了下，很薄，热了穿，很舒服不会硌人
故***2,颜色:00 白色;尺码:180/108B/XL,2021-02-21 11:41:05,全棉很好
从***东,颜色:00 白色;尺码:175/100A/L,2021-02-21 09:45:11,175.150，穿l合身，质量不错！
m***e,颜色:00 白色;尺码:180/108B/XL,2021-02-20 19:48:36,不错
巴***8,颜色:00 白色;尺码:165/84A/S,2021-02-20 19:10:35,质量不错，就是真的好黏毛，穿带毛的大衣不小心就黏了一胳膊。女生也能穿，就是稍微长了点，平时m码合身，这款s码合身，下摆对于女生略长。整体 版型不错。
a***1,颜色:09 黑色;尺码:185/112C/XXL,2021-02-20 11:08:42,👍👍👍
吴***3,颜色:09 黑色;尺码:175/100A/L,2021-02-20 10:46:29,衣服质量很好！
a***1,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-20 09:47:10,舒适，比较轻薄适合天热了穿。
a***1,颜色:64 湖蓝色;尺码:180/108B/XL,2021-02-20 09:46:44,舒适，比较轻薄适合天热了穿。
m***9,颜色:03 灰色;尺码:170/92A/M,2021-02-19 21:51:48,不错。
p***0,颜色:00 白色;尺码:175/100A/L,2021-02-19 21:46:24,一如既往的好
l***z,颜色:64 湖蓝色;尺码:185/120C/XXXL,2021-02-19 16:55:07,回购的，挺好！
y***淘,颜色:69 藏青色;尺码:170/92A/M,2021-02-19 16:42:59,非常值得入手
酸***模,颜色:00 白色;尺码:165/84A/S,2021-02-19 07:51:35,大小合适，配裙子也刚刚好
浅***领,颜色:09 黑色;尺码:175/100A/L,2021-02-19 00:01:12,衣服挺有型的
b***斌,颜色:03 灰色;尺码:170/92A/M,2021-02-18 23:04:53,还不错耶，优衣库爱了爱了🤓
魂***淡,颜色:00 白色;尺码:175/100A/L,2021-02-18 15:55:24,😃超级好用！还很美观！墙裂推荐！有需要再回购！
魂***淡,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-18 15:55:24,宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！
魂***淡,颜色:03 灰色;尺码:175/100A/L,2021-02-18 15:55:24,质量非常好，客服态度非常非常赞，有问题及时给解决了
d***2,颜色:00 白色;尺码:180/108B/XL,2021-02-18 14:50:49,挺好挺舒服的
j***n,颜色:00 白色;尺码:170/92A/M,2021-02-18 13:48:20,春节假期，发的顺丰。衣橱必备款白衬衫。
张***h,颜色:03 灰色;尺码:170/92A/M,2021-02-18 12:55:53,尺码推荐：176 60 m 合适
