displayUserNick,auctionSku,rateDate,rateContent
淇***1,颜色:46 鹅黄色;尺码:165/84A/S,2021-03-05 09:28:53,捡漏，可惜小了
t***8,颜色:46 鹅黄色;尺码:165/84A/S,2021-03-02 11:37:03,发货快速，版型修身，穿起来很舒服，面料柔软，颜色也好看，非常不错。
睡***思,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-27 15:25:10,很好、包装完好、物流配送快！
t***3,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-26 14:13:55,有色差
w***l,颜色:09 黑色;尺码:185/112C/XXL,2021-02-25 21:47:49,好，孩子喜欢
j***k,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-25 06:49:00,女生，158，115斤，穿s码很合身
a***q,颜色:09 黑色;尺码:165/84A/S,2021-02-24 14:55:53,此用户没有填写评论!
兔***5,颜色:66 蓝色;尺码:165/84A/S,2021-02-24 08:25:01,面料品质：一如既往的好
疯***会,颜色:46 鹅黄色;尺码:175/100A/L,2021-02-23 18:25:45,很好
t***4,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-23 17:15:35,注意人肉眼近距离看的话 很容易看到里面羽绒分布的情况 颜色比较鲜 上面要暗淡走了不知道什么原因 我这个刚到手的话发现衣服很皱感觉是没有保管好 或者是放了很久  总体来说和我看的差的有点远
y***9,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-23 16:14:09,买小了！
j***g,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-22 13:10:35,小个子女生可以穿
r***g,颜色:66 蓝色;尺码:165/84A/S,2021-02-22 11:05:25,是薄款还没穿
c***6,颜色:09 黑色;尺码:175/100A/L,2021-02-19 21:58:18,不错
吾***义,颜色:66 蓝色;尺码:165/84A/S,2021-02-19 20:58:38,不错
s***0,颜色:09 黑色;尺码:165/84A/S,2021-02-19 19:58:23,非常保暖 轻薄！喜欢💕
风***情,颜色:46 鹅黄色;尺码:175/100A/L,2021-02-18 23:03:27,颜色鲜艳好美呀，我随意搭配的粉红色卫衣也可以，衣服轻柔舒适内搭外穿都🉑️，我买的Ｌ我喜欢套上卫衣休闲也非常有oversice的感觉。
