displayUserNick,auctionSku,rateDate,rateContent
我***拐,颜色:69 藏青色;尺码:165/84A/S,2021-03-05 11:12:56,蛮好现在穿正好
1***h,颜色:15 珊瑚红色;尺码:170/92A/M,2021-03-04 14:37:22,好
t***2,颜色:69 藏青色;尺码:165/84A/S,2021-03-03 21:45:21,170 62   买的165，还不错合身，里面也能加衣服，不过南方冬天穿这个够了
苏***婷,颜色:57 深橄榄色;尺码:170/92A/M,2021-03-02 13:40:53,OK 就是降价比较快
不***三,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 08:40:50,优衣库这么大个店，快递上抠这几块钱，包装简陋，顺丰六七块一票，圆通三四块，抠门到家了，垃圾圆通，给我快递弄成这样，糟心
j***6,颜色:69 藏青色;尺码:180/108B/XL,2021-03-01 12:04:21,偏大码
l***o,颜色:69 藏青色;尺码:175/100A/L,2021-02-28 21:26:29,给家人买的，他说：还行。
w***茫,颜色:35 浅褐色;尺码:185/120C/XXXL,2021-02-28 21:02:33,衣服挺好的，宽松版型，穿着舒服，挡风
冯***波,颜色:35 浅褐色;尺码:170/92A/M,2021-02-28 13:16:15,此用户没有填写评论!
这***o,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-27 18:24:21,很好看，之前店里他试过，是好看的
1***c,颜色:35 浅褐色;尺码:170/92A/M,2021-02-26 15:47:54,男士外套绝了 除了贵没有缺点 买给爸爸的过年衣服 史上最佳
鳄***娇,颜色:35 浅褐色;尺码:170/92A/M,2021-02-25 08:55:55,浅褐色和实体店颜色不一致，多次问客服，客服都不回答
l***e,颜色:09 黑色;尺码:175/100A/L,2021-02-25 00:48:50,刚好做活动，价格便宜了很多，性价比超高，真的特别划算
斑***狄,颜色:69 藏青色;尺码:165/84A/S,2021-02-24 10:28:10,听说去年冬天很热，结果买了就没穿过
s***0,颜色:35 浅褐色;尺码:165/84A/S,2021-02-23 18:50:15,保暖方面不错，就是下摆有些紧
h***8,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-23 17:23:43,轻便又保暖，男朋友178cm/80kg穿L正好，他很喜欢
胡***7,颜色:35 浅褐色;尺码:175/100A/L,2021-02-23 08:57:51,帅气，好看
喵***5,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-23 08:41:35,买给老公本命年的礼物，质量很好。
l***l,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 11:55:29,大小合适，偏薄，不够保暖，在北方扛不住
自***流,颜色:35 浅褐色;尺码:165/84A/S,2021-02-21 19:21:21,老公买来大了，去实体店换了小号，很方便的，满意的
仲***遇,颜色:35 浅褐色;尺码:165/84A/S,2021-02-21 17:04:47,特别好 家里人很喜欢
x***7,颜色:69 藏青色;尺码:180/108B/XL,2021-02-21 12:15:31,老公很喜欢
l***9,颜色:69 藏青色;尺码:175/100A/L,2021-02-21 07:25:14,个人感觉尺码偏大，上身不错，就是今年过年太暖和啦，也没穿几天
t***3,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-21 00:47:27,好看
呃***泥,颜色:35 浅褐色;尺码:170/92A/M,2021-02-21 00:06:20,整体评价：太差了，不建议买，领口太容易脏了，好后悔，哎
我***o,颜色:09 黑色;尺码:175/100A/L,2021-02-20 22:31:34,还不错的
人***m,颜色:35 浅褐色;尺码:175/100A/L,2021-02-20 10:32:03,男朋友穿了很好看哦哈
美***邪,颜色:09 黑色;尺码:170/92A/M,2021-02-20 10:19:39,挺好看的
w***6,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-20 07:53:01,衣服质量还挺好 但是收到的货不是全新的 吊牌都被撕了 放在口袋里 袖口明显也有穿过的痕迹
靳***来,颜色:35 浅褐色;尺码:170/92A/M,2021-02-19 22:06:33,蛮好的
梨***晴,颜色:69 藏青色;尺码:170/92A/M,2021-02-19 14:39:47,轻微粘毛，弟弟穿上蛮帅的～
b***8,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-19 10:18:06,为忘评深表歉意！ 衣服很不错&mdash;&mdash;深得我心！快递跟服务也绝对没问题！
唐***子,颜色:57 深橄榄色;尺码:165/84A/S,2021-02-19 10:12:21,衣服到的比较及时，发货速度，整体感觉不错，衣服轻薄，防水防风保暖。
你***吃,颜色:35 浅褐色;尺码:165/84A/S,2021-02-18 21:11:44,好看
福***3,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-18 17:05:44,实物颜色没有那么艳丽 偏暗红那种
小***虫,颜色:15 珊瑚红色;尺码:170/92A/M,2021-02-18 15:24:29,颜色很正，保暖，很喜欢
2***饭,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-18 13:42:59,给老公和弟弟买的，很不错
