displayUserNick,auctionSku,rateDate,rateContent
轩***羽,颜色:68 深蓝色;尺码:175/100A/L,2021-03-04 17:26:15,不错
牛***2,颜色:68 深蓝色;尺码:175/100A/L,2021-03-03 16:13:41,店里试过线上拍的，很合适
l***i,颜色:68 深蓝色;尺码:160/76A/XS,2021-03-03 12:42:12,166女生合适哦
邂***y,颜色:68 深蓝色;尺码:175/100A/L,2021-03-02 20:41:32,整体评价：版型不错，可以买大一个号。 材质特性：水洗以后，有点硬 上身效果：上身效果好 尺码推荐：尺码正常，但是买大一个码，可以把袖口免一圈，风格更休闲 厚薄度：春秋季合适 面料品质：面料不错。
我***6,颜色:68 深蓝色;尺码:175/100A/L,2021-03-01 20:51:21,东西很好，号码正好，很合身
宝***y,颜色:68 深蓝色;尺码:180/108B/XL,2021-03-01 10:47:01,上身效果很不错
散***0,颜色:68 深蓝色;尺码:160/76A/XS,2021-02-28 20:17:12,好看，非常好看
明***游,颜色:68 深蓝色;尺码:170/92A/M,2021-02-27 13:22:29,牛仔茄克不错
t***8,颜色:68 深蓝色;尺码:175/100A/L,2021-02-26 19:59:30,衣服偏大！衣服偏大！衣服偏大！平时Nike穿xl185，优衣库这款穿l175 身高体重175 150。该说的都说了
t***4,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-26 12:31:48,掉色严重
麦***2,颜色:68 深蓝色;尺码:175/100A/L,2021-02-26 08:37:00,质量很好，181/166斤左右，这个码刚好！实体店299没码，这个放购物车两天发现聚划算减了50，赶紧入🌝🌝
m***3,颜色:68 深蓝色;尺码:185/120C/XXXL,2021-02-23 08:36:01,老公說留下
信***纸,颜色:68 深蓝色;尺码:170/92A/M,2021-02-22 22:59:25,下摆稍微有那么点长，可能就是这么个版型吧。
d***3,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-22 13:56:02,好评，尺码合适
慕***庄,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-22 11:50:58,好好
毛***子,颜色:68 深蓝色;尺码:170/92A/M,2021-02-22 11:50:54,整体还不错，衣服版型很好
c***珊,颜色:68 深蓝色;尺码:175/100A/L,2021-02-21 09:41:11,非常好
o***f,颜色:68 深蓝色;尺码:175/100A/L,2021-02-20 21:25:19,喜欢
厉***4,颜色:68 深蓝色;尺码:185/112C/XXL,2021-02-20 18:11:12,183 185斤 正好
t***6,颜色:68 深蓝色;尺码:170/92A/M,2021-02-20 17:35:52,版型可以，就是洗完衣服晒干后，硬的跟牛肉干一样，穿上贼不舒服
h***2,颜色:68 深蓝色;尺码:165/84A/S,2021-02-20 08:56:15,谢谢卖家推荐，挺合适的
清***6,颜色:68 深蓝色;尺码:185/120C/XXXL,2021-02-19 22:13:23,衣服很漂亮，布料厚薄适中，布料也比较软，款式好看，适合青少年。
喜***5,颜色:68 深蓝色;尺码:175/100A/L,2021-02-19 12:37:35,大小正好，衣服质量可以，价格优惠
p***d,颜色:68 深蓝色;尺码:170/92A/M,2021-02-18 10:17:58,很棒
陈***n,颜色:68 深蓝色;尺码:175/100A/L,2021-02-17 17:03:03,一到手就降价，太恶心了！
z***2,颜色:68 深蓝色;尺码:170/92A/M,2021-02-16 23:33:30,尺码推荐：170cm  62.5kg穿M码有一点大
文***4,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-16 20:43:13,店里的人态度不好，一直让等等等，以为自己是店里的衣服，可以卖得上价？非常不好的体验！成都太古里店～
t***0,颜色:68 深蓝色;尺码:185/112C/XXL,2021-02-15 09:18:00,还可以，实物比照片看着要好看些
o***家,颜色:68 深蓝色;尺码:165/84A/S,2021-02-14 17:54:29,特别好看
c***0,颜色:68 深蓝色;尺码:170/92A/M,2021-02-14 10:08:42,太恶心了 还没收到衣服就降价 之前也没有活动价预告 还不能退差价
p***y,颜色:68 深蓝色;尺码:185/120C/XXXL,2021-02-11 19:10:59,优秀
t***7,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-03 19:57:58,还好
灿***淘,颜色:68 深蓝色;尺码:165/84A/S,2021-02-01 22:04:27,非常棒，剪裁完美，百搭，好穿，完美的优衣库
a***5,颜色:68 深蓝色;尺码:165/84A/S,2021-01-31 11:47:02,质地有些硬，板型还不错
寺***克,颜色:68 深蓝色;尺码:175/100A/L,2021-01-30 11:00:07,此用户没有填写评论!
想***狂,颜色:68 深蓝色;尺码:170/92A/M,2021-01-28 15:54:20,衣服还在运输中就降价了，找客服却没有得到任何回应。真是有点糟心的购物。
胖***喵,颜色:68 深蓝色;尺码:180/108B/XL,2020-12-21 17:55:27,超好看，我穿上超帅，大傻兔子还不信，嘿嘿嘿嘿嘿
横***贺,颜色:68 深蓝色;尺码:185/128C/XXXXL,2020-12-06 09:22:53,质量还可以
