displayUserNick,auctionSku,rateDate,rateContent
麒***5,颜色:33 卡其色;尺码:175/100A/L,2021-03-05 06:27:49,大小合适！
5***9,颜色:01 乳白色;尺码:175/100A/L,2021-03-04 21:07:05,衣服巨好看，质量也很好，版型也没问题，超级爱无敌显白，是那种很结实的不是那种会变形的棉，码数是客服推荐的超级合适！适合大部分人，不挑身形，男女都能穿，剪裁工整版型超赞，开衫搭配衣服很方便，没有色差，码数合适，适合春天
t***8,颜色:33 卡其色;尺码:180/108B/XL,2021-03-04 16:09:41,好
孙***士,颜色:33 卡其色;尺码:175/100A/L,2021-03-04 15:05:16,衣服收到，质量挺好的，物流很快。
i***1,颜色:33 卡其色;尺码:175/100A/L,2021-03-03 21:39:33,好看
奇***丁,颜色:33 卡其色;尺码:175/100A/L,2021-03-03 19:58:16,回购的，优衣库的老顾客
t***2,颜色:33 卡其色;尺码:175/100A/L,2021-03-03 15:35:02,挺好的，就是那个憨憨穿着有点老气
芒***卜,颜色:33 卡其色;尺码:170/92A/M,2021-03-03 14:40:59,比我想象中的薄，这会儿西北还穿不了
t***1,颜色:33 卡其色;尺码:180/108B/XL,2021-03-03 14:33:20,衣服很好，香香的，尺码太一点
x***花,颜色:33 卡其色;尺码:180/108B/XL,2021-03-03 13:59:01,实体店试好了没号就网上买了，好看。
y***o,颜色:33 卡其色;尺码:170/92A/M,2021-03-03 13:31:00,整体评价：ok 材质特性：ok 上身效果：ok 尺码推荐：x小1吗 厚薄度：y有点薄 面料品质：ok
t***1,颜色:33 卡其色;尺码:170/92A/M,2021-03-03 12:17:23,合适
l***7,颜色:33 卡其色;尺码:175/100A/L,2021-03-03 09:59:52,卡其色实物颜色较暗，穿起来还不错
d***琛,颜色:69 藏青色;尺码:160/76A/XS,2021-03-03 09:04:44,太薄了 跟件薄衬衣差不多
轶***油,颜色:01 乳白色;尺码:175/100A/L,2021-03-02 21:54:24,挺好
