displayUserNick,auctionSku,rateDate,rateContent
w***a,颜色:69 藏青色;尺码:175/100A/L,2021-03-05 09:09:56,稍稍有点大
z***m,颜色:32 深米色;尺码:165/84A/S,2021-03-04 09:57:35,很轻，厚度合适
j***o,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 22:04:00,爸爸很喜欢
b***8,颜色:58 深绿色;尺码:180/108B/XL,2021-03-01 12:04:40,长短合适，就是面料刷拉刷拉响，背部充绒少。
r***9,颜色:09 黑色;尺码:180/108B/XL,2021-03-01 10:51:48,搞活动入手，很轻，中长款能包臀比较保暖，做工没得说
t***2,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 16:48:23,去年买了女款，今年给老公买了男款，喜欢优衣库呢
幸***人,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 13:44:19,挺好的
y***z,颜色:09 黑色;尺码:170/92A/M,2021-02-26 00:01:04,不错 尺码也刚好
j***i,颜色:69 藏青色;尺码:175/100A/L,2021-02-24 15:23:47,优衣库优秀
t***9,颜色:69 藏青色;尺码:165/84A/S,2021-02-24 10:24:37,东西不错  与图片相符  与实体店东西相符  面料密实  设计合理  衣內还设计有内袋 非常适合冬季使用。给父亲买的  他是个很挑剔的人  这次难得说出了满意
w***j,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-23 21:58:35,满意
洳***实,颜色:32 深米色;尺码:185/120C/XXXL,2021-02-23 11:30:59,合适
小***4,颜色:09 黑色;尺码:165/84A/S,2021-02-22 11:51:49,还没洗过不知道会不会钻毛！
一***6,颜色:32 深米色;尺码:180/108B/XL,2021-02-22 09:10:20,好看
n***u,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-21 11:13:41,前两年买的同款同色厚实保暖，旧了，就又买了这件，价格差不多外观也一样却薄了太多，零下二、三十度穿得冷，希望能保证之前质量
思***钗,颜色:32 深米色;尺码:185/112C/XXL,2021-02-20 23:05:16,很满意的一次购物！
廖***n,颜色:09 黑色;尺码:175/100A/L,2021-02-20 16:53:20,厚薄度：买给爸爸的、个人觉得有一点点薄了、但是款式简单好看。
相***晶,颜色:58 深绿色;尺码:180/108B/XL,2021-02-19 17:34:48,给老爸买的，深绿色很洋气，尺码也合适，
陈***3,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-19 08:09:14,很好，轻柔温暖颜色正，是喜欢的中长款。过年期间发货物流也很快，点赞！
仰***阳,颜色:09 黑色;尺码:175/100A/L,2021-02-18 23:47:18,穿起来很帅哦，就是有点瘦穿着有点大了哈哈哈哈哈
z***4,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 14:13:29,非常喜欢优衣库的衣衣
柠***9,颜色:09 黑色;尺码:180/108B/XL,2021-02-17 22:46:19,很好
t***8,颜色:69 藏青色;尺码:165/84A/S,2021-02-17 17:44:58,包装太简陋，容易破损；其余的都还好
沈***9,颜色:09 黑色;尺码:165/84A/S,2021-02-17 16:44:45,还可以
y***英,颜色:58 深绿色;尺码:185/128C/XXXXL,2021-02-16 19:28:19,质量挺好的，也够大
s***s,颜色:32 深米色;尺码:185/112C/XXL,2021-02-16 08:21:26,这是我买过最差的羽绒服，质感差，色泽一般。拉链用手对接要多次才行。还有这个设计也是没谁了。以后再也不买优衣库，质量和设计都太差。
l***3,颜色:09 黑色;尺码:175/100A/L,2021-02-15 18:53:21,好评
l***荣,颜色:69 藏青色;尺码:175/100A/L,2021-02-14 21:00:51,灰鸭毛味道比较重，有异味，物流慢
青***8,颜色:09 黑色;尺码:170/92A/M,2021-02-14 13:12:14,在店里试过之后买的。男朋友很满意。款式简单。
4***n,颜色:69 藏青色;尺码:175/100A/L,2021-02-13 19:31:36,此用户没有填写评论!
夏***0,颜色:09 黑色;尺码:170/92A/M,2021-02-10 15:38:44,家人满意
乐***8,颜色:69 藏青色;尺码:170/92A/M,2021-02-10 08:48:01,一如既往的喜欢
b***8,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-10 08:12:12,特别棒，因为当时实体店试过，因为没有大号店员说去旗舰店买就来了！卖家发货快包装好，一模一样的货！很满意！
你***洒,颜色:69 藏青色;尺码:180/108B/XL,2021-02-09 15:06:13,此用户没有填写评论!
j***g,颜色:32 深米色;尺码:170/92A/M,2021-02-09 12:36:48,优衣库的羽绒服，价格不贵，面料需要加强，容易磨损。
我***汀,颜色:69 藏青色;尺码:160/76A/XS,2021-02-08 15:56:57,爸爸喜欢就好
飘***纸,颜色:69 藏青色;尺码:175/100A/L,2021-02-07 22:11:44,很不错
x***0,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-07 22:05:50,大了
麒***5,颜色:32 深米色;尺码:175/100A/L,2021-02-07 13:40:58,挺好 稍微有点色差！实物略暗一点
0***4,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-06 17:02:40,老公穿起来很好看，衣服质量也很好，很轻但是很保暖！！在收到衣服后，还收到了优衣库意外的礼物，太开心了！！
d***9,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-06 13:59:11,188CM，130kg，穿起来特别宽松，很漂亮
默***盛,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-06 13:22:09,尺码够大，物有所值。满意满意，非常满意！发货迅速，非常迅速！好评好评，必须好评！
笑***4,颜色:58 深绿色;尺码:180/108B/XL,2021-02-06 08:34:29,买了送公公的，实体店没有这个号的了，一看网上有马上下手，挺热乎的衣服
水***9,颜色:09 黑色;尺码:185/112C/XXL,2021-02-05 14:04:46,很好～
t***6,颜色:09 黑色;尺码:180/108B/XL,2021-02-05 12:47:55,性价比不好
珂***宝,颜色:09 黑色;尺码:185/112C/XXL,2021-02-05 10:24:56,身高176，体重170，稍许宽松点舒服
p***6,颜色:09 黑色;尺码:170/92A/M,2021-02-05 09:51:34,龟速快递，相同的发货城市，天猫超市次日达，中通四日达。
我***孟,颜色:09 黑色;尺码:170/92A/M,2021-02-05 09:44:53,不错
w***0,颜色:32 深米色;尺码:185/112C/XXL,2021-02-04 22:47:43,穿起来很舒服，挺厚实的，面料也防水，现在这个天气穿着也很保暖，大爱优衣库！
三***1,颜色:32 深米色;尺码:170/92A/M,2021-02-04 08:55:53,🌵值得购买！没有什么味道，用起来还可以😘，没有不舒服的地方😶，所以我还蛮喜欢的
邓***妈,颜色:09 黑色;尺码:185/112C/XXL,2021-02-03 23:32:58,挑了很多羽绒服，最终还是优衣库！
等***d,颜色:58 深绿色;尺码:170/92A/M,2021-02-03 22:10:29,可以，很厚，也好看！！
0***鱼,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-03 11:42:27,非常好
t***5,颜色:32 深米色;尺码:170/92A/M,2021-02-02 20:03:25,爸爸公公都非常喜欢，又轻又暖和，颜色也不错
