displayUserNick,auctionSku,rateDate,rateContent
笑***责,颜色:69 藏青色;尺码:175/100A/L,2021-03-04 22:44:22,比较透气。
t***0,颜色:09 黑色;尺码:185/120C/XXXL,2021-03-04 12:45:39,老公180高195斤，xxxl 正合适
w***9,颜色:03 灰色;尺码:180/108B/XL,2021-03-02 19:15:06,外套不错。好象偏小一点点
i***e,颜色:69 藏青色;尺码:175/100A/L,2021-02-26 10:16:11,质量很好
t***4,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 06:41:24,衣服很好，也很满意。会继续关注的。
飞***月,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 18:39:37,优衣库13年老用户，这次买小了😭
春***7,颜色:09 黑色;尺码:185/128C/XXXXL,2021-02-23 13:11:20,老顾客
h***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-21 20:20:48,此用户没有填写评论!
l***7,颜色:09 黑色;尺码:170/92A/M,2021-02-20 20:17:55,买的黑色，给我发的蓝色，真的让人很难受，能不能用点心认真点？
梓***7,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-19 11:27:56,合身，穿起来比较方便
t***0,颜色:69 藏青色;尺码:175/100A/L,2021-02-19 06:23:52,good
b***l,颜色:03 灰色;尺码:185/120C/XXXL,2021-02-14 17:40:10,竟然有XXXL的，胖子的救星，款式和尺寸都很适合。
芝***豆,颜色:69 藏青色;尺码:175/100A/L,2021-02-08 09:45:59,666666
耳***仔,颜色:69 藏青色;尺码:180/108B/XL,2021-02-06 17:48:32,很好看，弹力也不错
d***5,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-06 16:14:42,号码合适 没谁了
喜***天,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-03 17:29:05,有点儿肥了
小***人,颜色:09 黑色;尺码:175/100A/L,2021-02-02 17:46:46,6666
n***3,颜色:69 藏青色;尺码:175/100A/L,2021-01-06 13:08:43,衣服的材质柔软透气，穿着很舒服，在办公室里空调不热的时候披一下挺合适的，袖口的设计还能暖手，很贴心。
