displayUserNick,auctionSku,rateDate,rateContent
小***岸,颜色:08 深灰色;尺码:180/108B/XL,2021-03-05 10:37:44,这款马甲爸爸非常满意，一米七三一百五十斤，穿起来正好，做个参考
t***1,颜色:69 藏青色;尺码:180/108B/XL,2021-03-05 09:28:13,发货很快质量很好非常喜欢推荐
刘***2,颜色:08 深灰色;尺码:180/108B/XL,2021-03-05 07:52:22,质量好
l***d,颜色:08 深灰色;尺码:180/108B/XL,2021-03-04 22:46:14,老爸很满意
0***l,颜色:38 深褐色;尺码:165/84A/S,2021-03-03 15:45:43,合适
t***2,颜色:69 藏青色;尺码:180/108B/XL,2021-03-02 20:28:16,轻便保暖，很不错！
几***6,颜色:38 深褐色;尺码:180/108B/XL,2021-03-02 10:55:07,轻巧超值
飞***下,颜色:08 深灰色;尺码:165/84A/S,2021-03-01 14:14:12,小声告诉你们男款比女款便宜点哦
犬***夜,颜色:69 藏青色;尺码:180/108B/XL,2021-03-01 11:40:47,凑单买的，没想到质量跟专卖店一样，特别特别喜欢，而且价格优惠
t***1,颜色:69 藏青色;尺码:180/108B/XL,2021-03-01 01:06:44,发货很快质量好！
d***9,颜色:69 藏青色;尺码:180/108B/XL,2021-03-01 00:05:18,活动价格合适
水***头,颜色:38 深褐色;尺码:165/84A/S,2021-02-28 23:51:49,买小码穿很合适 价格还实惠
y***8,颜色:38 深褐色;尺码:165/84A/S,2021-02-28 21:58:50,还行吧
t***2,颜色:08 深灰色;尺码:180/108B/XL,2021-02-28 13:00:46,不错
龙***4,颜色:38 深褐色;尺码:165/84A/S,2021-02-27 14:07:11,好轻，在内地穿应该比较暖和，在西藏穿还是单薄点，总体不错，满意
m***0,颜色:38 深褐色;尺码:180/108B/XL,2021-02-26 22:27:45,不爱买衣服的老公都非常的喜欢，真的实用
m***0,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 22:27:07,实用，大衣内搭
杨***3,颜色:69 藏青色;尺码:180/108B/XL,2021-02-24 22:05:49,好
m***轩,颜色:08 深灰色;尺码:165/84A/S,2021-02-24 19:13:21,很薄很轻，尺寸合适，颜色有点深，有点显老😂
堂***1,颜色:69 藏青色;尺码:180/108B/XL,2021-02-24 16:47:05,全家优衣库 里外优衣库！买它！
l***9,颜色:38 深褐色;尺码:165/84A/S,2021-02-23 22:51:40,内搭合适，v领口太贴心了，穿薄外套也不怕冷了
杨***3,颜色:08 深灰色;尺码:180/108B/XL,2021-02-23 21:38:52,很好
t***7,颜色:38 深褐色;尺码:165/84A/S,2021-02-23 18:22:46,好
色***菜,颜色:38 深褐色;尺码:180/108B/XL,2021-02-23 07:06:32,刚刚好ヾ(Ő&forall;Ő๑)ﾉ太好惹，颜色喜欢
红***屋,颜色:09 黑色;尺码:165/84A/S,2021-02-22 21:51:33,买了两件，一件黑色，一件灰色 都是S码，灰色比黑色略大一点点，黑色的质量比较灰色好，灰色有一股鸭子味，黑色没有任何异味。怀疑优衣库把正品和伪劣品掺在一起卖。有点失望。
t***0,颜色:69 藏青色;尺码:180/108B/XL,2021-02-22 21:48:03,买给家里老人的，质量很好，衣服很轻！实体店没有号码了。在网上选购的！
w***2,颜色:69 藏青色;尺码:180/108B/XL,2021-02-22 12:47:18,还行，就是上面粘灰
乔***子,颜色:08 深灰色;尺码:180/108B/XL,2021-02-22 09:54:18,大一点点，
小***陌,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 08:34:36,非尺码合身，质量佳。
s***9,颜色:08 深灰色;尺码:180/108B/XL,2021-02-22 07:55:42,做工精细，价格实惠。183cm/82kg，XL宽松。
巨***丹,颜色:38 深褐色;尺码:180/108B/XL,2021-02-21 23:12:18,很轻薄，质量不错。
意***a,颜色:38 深褐色;尺码:165/84A/S,2021-02-21 13:14:24,挺好的，比预想的厚，儿子163，80斤，穿着有点大，留着今年冬天穿
园***7,颜色:08 深灰色;尺码:165/84A/S,2021-02-21 11:45:51,帮老公买了一件M**，自己也买了一件S来穿，大小合适，颜色喜欢就是有点长了，但是可以接受，顺丰快递非常给力点赞。
青***灵,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 21:11:49,尺码推荐：给大家参考一下：一米七，一百七十斤左右，穿xl码合身。
锦***5,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 18:10:26,实用！
c***k,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 15:01:52,就是要这个颜色配我的深色毛衣，暗戳戳加一件羽绒很暖和。
永***n,颜色:69 藏青色;尺码:165/84A/S,2021-02-20 14:07:25,保暖效果一般，南方人可以买
奥***x,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 13:46:15,还不错
菲***美,颜色:69 藏青色;尺码:180/108B/XL,2021-02-19 08:29:06,价格很好
t***6,颜色:69 藏青色;尺码:165/84A/S,2021-02-17 19:34:25,这个时候买最划算，超值
t***1,颜色:08 深灰色;尺码:165/84A/S,2021-02-17 13:09:57,买来打底穿，很舒适透气，非常好穿
融***业,颜色:69 藏青色;尺码:180/108B/XL,2021-02-16 15:38:13,衣服可以，差评给快递。
c***3,颜色:08 深灰色;尺码:170/92A/M,2021-02-14 07:42:27,不错，挺好。
牛***1,颜色:08 深灰色;尺码:180/108B/XL,2021-02-13 21:13:22,又买了，不错
t***0,颜色:69 藏青色;尺码:180/108B/XL,2021-02-13 12:15:46,暖和，轻薄
t***9,颜色:69 藏青色;尺码:180/108B/XL,2021-02-10 16:34:29,让人爱不释手啊！！！
珊***s,颜色:69 藏青色;尺码:180/108B/XL,2021-02-09 19:38:54,断码价格很美丽，很实用的款式！！！
放***熊,颜色:38 深褐色;尺码:170/92A/M,2021-02-09 17:04:37,挺好看的
