displayUserNick,auctionSku,rateDate,rateContent
l***0,颜色:69 藏青色;尺码:165/84A/S,2021-03-05 10:06:48,穿大衣必备
t***0,颜色:08 深灰色;尺码:160/76A/XS,2021-03-05 03:10:20,衣服质量做工非常好，喜欢的！
酋***油,颜色:56 橄榄色;尺码:180/108B/XL,2021-03-04 21:36:44,此用户没有填写评论!
吃***兽,颜色:08 深灰色;尺码:180/108B/XL,2021-03-04 20:09:45,很好，给家里的长辈买的，穿着暖暖的
好***菜,颜色:69 藏青色;尺码:170/92A/M,2021-03-04 12:59:53,回购款，很百搭
好***菜,颜色:56 橄榄色;尺码:170/92A/M,2021-03-04 12:59:53,外公老爸一人一件，nice
c***5,颜色:69 藏青色;尺码:180/108B/XL,2021-03-04 07:37:47,有点薄
m***1,颜色:09 黑色;尺码:180/108B/XL,2021-03-03 20:12:38,轻薄舒服，给孩子买了套校服里面穿的
胡***6,颜色:09 黑色;尺码:175/100A/L,2021-03-03 20:08:53,给弟弟买的 他说还可以
t***1,颜色:08 深灰色;尺码:180/108B/XL,2021-03-03 14:30:08,挺好
t***3,颜色:09 黑色;尺码:180/108B/XL,2021-03-03 14:23:38,非常好
涛***q,颜色:69 藏青色;尺码:170/92A/M,2021-03-03 09:51:24,🉑宝贝收到了，很惊喜✨，设计合理，时尚大方，继续关注，以后会回购的❥❥❥
z***1,颜色:69 藏青色;尺码:180/108B/XL,2021-03-03 06:47:19,谢谢，，，，，，
z***1,颜色:69 藏青色;尺码:180/108B/XL,2021-03-03 06:46:46,谢谢，，，，，，
z***1,颜色:08 深灰色;尺码:165/84A/S,2021-03-03 06:46:17,谢谢，
m***子,颜色:56 橄榄色;尺码:170/92A/M,2021-03-03 05:21:19,还不错！身高168，体重55刚好！
f***5,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 21:57:09,还可以，第二次购买了
7***静,颜色:69 藏青色;尺码:180/108B/XL,2021-03-02 15:49:39,很薄，羽绒不均匀
b***6,颜色:09 黑色;尺码:180/108B/XL,2021-03-02 12:49:17,薄，但性价比高。
阳***8,颜色:69 藏青色;尺码:160/76A/XS,2021-03-02 11:38:30,好
夏***吖,颜色:56 橄榄色;尺码:180/108B/XL,2021-03-01 23:03:51,性感妖娆 风情万种    袅袅娉娉 美色迷人   袅袅婷婷 勾魂摄魄   柔枝嫩条 柔枝嫩叶     秀色可餐 一顾倾城   倚姣作媚  妍姿妖艳   花枝招展  婀娜多姿   天生尤物  娇艳欲滴    艳惊四座   明艳动人    ￼ 热
h***p,颜色:09 黑色;尺码:180/108B/XL,2021-03-01 22:56:40,衣服不错，软软的，活动买划算 衣服不错，软软的，活动买划算 衣服不错，软软的，活动买划算 衣服不错，软软的，活动买划算 衣服不错，软软的，活动买划算
巢***黄,颜色:09 黑色;尺码:165/84A/S,2021-03-01 12:27:26,比较轻便，保暖度也有，非常不错，
t***5,颜色:09 黑色;尺码:180/108B/XL,2021-03-01 11:49:47,好
z***l,颜色:08 深灰色;尺码:165/84A/S,2021-02-28 23:46:10,好 很好非常好
d***8,颜色:09 黑色;尺码:180/108B/XL,2021-02-28 21:02:32,总体很满意，但是这件衣服线头很多，第一次遇到优衣库有这种情况
t***7,颜色:69 藏青色;尺码:175/100A/L,2021-02-28 18:00:44,轻便，打折很合适
塘***鸠,颜色:08 深灰色;尺码:180/108B/XL,2021-02-27 11:59:46,挺好的
渔***0,颜色:69 藏青色;尺码:175/100A/L,2021-02-27 11:54:16,有点偏大，瘦的人可以买小一码
t***8,颜色:08 深灰色;尺码:165/84A/S,2021-02-27 11:04:22,薄如蝉翼，原价买不值
c***2,颜色:69 藏青色;尺码:180/108B/XL,2021-02-27 09:32:18,衣服还可以，不保暖，当外套穿还行
s***a,颜色:69 藏青色;尺码:170/92A/M,2021-02-26 23:51:04,袖子太长了
t***律,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 19:57:42,好评。
q***i,颜色:09 黑色;尺码:160/76A/XS,2021-02-26 12:51:19,164，100斤，买了xs号，袖子略长，其他合适
明***鱼,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 11:50:19,买的藏青色的，但是这个颜色是深蓝色，泛黑色，又不是很黑的那种，这个描述供以后的买家参考，详见照片，争取在阳光下拍的，衣服的质量没问题，手感非常好，穿的也舒服，就是微微有点薄，春秋穿正好
莴***娘,颜色:09 黑色;尺码:180/108B/XL,2021-02-25 19:43:18,优衣库的不错
w***6,颜色:69 藏青色;尺码:180/108B/XL,2021-02-25 19:24:34,薄，里头要搭个领子的衣服才可以
朱***豪,颜色:08 深灰色;尺码:160/76A/XS,2021-02-25 18:18:18,整体还算可以，非常薄。女生，买的男款最小码
我***了,颜色:69 藏青色;尺码:170/92A/M,2021-02-25 16:31:52,垃圾包装特别差 客服也不管 垃圾垃圾
乐***北,颜色:69 藏青色;尺码:170/92A/M,2021-02-25 15:13:03,穿在里面打底
迷***y,颜色:69 藏青色;尺码:180/108B/XL,2021-02-25 15:08:13,挺好的，大小合适，拍的时候没有黑色，藏青色也不错哈
