displayUserNick,auctionSku,rateDate,rateContent
x***0,颜色:02 浅灰色;尺码:185/112C/XXL,2021-03-05 09:55:49,物流速度快，上身效果很好，正品无疑。
b***0,颜色:09 黑色;尺码:175/100A/L,2021-03-04 23:53:52,整体评价：不错，略微有一点点跑绒，非常好了
j***1,颜色:58 深绿色;尺码:165/84A/S,2021-03-04 15:51:08,还可以吧╮(￣▽￣)╭可能期待高，实际没那么经验
j***1,颜色:58 深绿色;尺码:170/92A/M,2021-03-04 15:50:44,还可以吧
l***q,颜色:09 黑色;尺码:180/108B/XL,2021-03-04 15:50:26,可以的，还算满意。
z***1,颜色:02 浅灰色;尺码:185/112C/XXL,2021-03-04 15:08:41,热封压改成走线的，比较不容易开裂，剪裁也比以前更修身，良心的增加到96g充绒量，比以前的保暖效果更好
凌***2,颜色:34 驼色;尺码:185/112C/XXL,2021-03-04 12:42:42,羽绒服蛮好的，柔软舒适，价格实惠！
幸***鸡,颜色:34 驼色;尺码:185/112C/XXL,2021-03-04 08:51:07,颜色很好看，买了大一**很好！
小***v,颜色:02 浅灰色;尺码:185/112C/XXL,2021-03-03 21:21:14,回购
小***v,颜色:24 亮橙色;尺码:165/84A/S,2021-03-03 21:21:14,挺好的
l***8,颜色:69 藏青色;尺码:180/108B/XL,2021-03-03 16:57:54,299就299吧，这颜色比黑色要好，也算买到了！
z***0,颜色:09 黑色;尺码:175/100A/L,2021-03-03 15:52:49,很好
x***8,颜色:24 亮橙色;尺码:185/112C/XXL,2021-03-03 12:27:30,一直喜欢优衣库，做工精细，质量很好，款式大方。建议胖子首选，又好又便宜。
尘***5,颜色:34 驼色;尺码:185/112C/XXL,2021-03-03 11:34:42,身高193体重165斤买185试穿合体
被***欧,颜色:02 浅灰色;尺码:175/100A/L,2021-03-03 08:03:28,面料挺好的，穿着也轻便，老公喜欢
p***t,颜色:09 黑色;尺码:175/100A/L,2021-03-02 21:19:45,难道我买的轻便羽绒服是假的优衣库，到处钻毛&hellip;&hellip;露出的毛毛已经被我揪掉好多好多了&hellip;&hellip;
小***8,颜色:02 浅灰色;尺码:185/112C/XXL,2021-03-02 20:53:49,孩子穿着很合适
h***i,颜色:24 亮橙色;尺码:185/112C/XXL,2021-03-02 20:16:22,好评5分。穿着正好。漂亮又舒服。
r***9,颜色:58 深绿色;尺码:180/108B/XL,2021-03-02 15:36:22,老公穿着很合身，价格也合适
文***2,颜色:58 深绿色;尺码:175/100A/L,2021-03-02 14:30:29,很好，穿着合适
d***琪,颜色:09 黑色;尺码:175/100A/L,2021-03-02 13:15:37,整体评价：换季时候买很实惠了....
争***定,颜色:69 藏青色;尺码:175/100A/L,2021-03-02 13:03:20,颜色可以，价格美丽，买优衣库不用担心质量问题。
市***笑,颜色:58 深绿色;尺码:175/100A/L,2021-03-02 12:37:51,第一次买的驼色，儿子不喜欢换了绿色。初春还能穿，轻薄方便运动。
a***0,颜色:69 藏青色;尺码:165/84A/S,2021-03-01 22:14:02,这个羽绒服很不错，轻薄保暖，又有帽子。最近江苏下雨，帽子好评。
恭***1,颜色:02 浅灰色;尺码:185/120C/XXXL,2021-03-01 21:02:35,衣服好极了，穿上合适，超轻，质量挺好，卖家发货很快包装完好无损非常满意。信任优衣库，买着放心。
t***4,颜色:24 亮橙色;尺码:185/112C/XXL,2021-03-01 17:40:24,大小合适，很轻便
常***9,颜色:02 浅灰色;尺码:185/112C/XXL,2021-03-01 16:46:46,非常满意的一次购物，值得推荐！颜色好看，穿在身上非常轻便。
邹***薇,颜色:69 藏青色;尺码:175/100A/L,2021-03-01 15:16:31,好
j***松,颜色:58 深绿色;尺码:180/108B/XL,2021-03-01 12:27:00,有个小破洞，有点遐丝
h***s,颜色:34 驼色;尺码:165/84A/S,2021-03-01 12:07:35,衣服质量还可以，价廉物美，应该好评！
缥***海,颜色:09 黑色;尺码:175/100A/L,2021-03-01 08:45:18,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
y***5,颜色:69 藏青色;尺码:175/100A/L,2021-02-28 16:42:07,奔着这个价拍的，留着冬天穿，这种薄款羽绒服很实用，唯一不足就是太会钻毛。
朋***8,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-28 14:06:59,号码合适
s***猫,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-28 08:45:28,薄款，轻薄，布料会有水痕，不太冷穿可以
南***5,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-28 01:24:32,"它家衣服老公平时穿XL,这款选大一码xxl正合适，看评论都说爱钻绒，一直犹豫没敢下单，但薄厚现在穿正是时，出门放包里携带也方便，还是没忍住买了，希望少钻些毛就好了。身高173,80公斤合适"
h***y,颜色:69 藏青色;尺码:175/100A/L,2021-02-27 17:05:21,✨已经多次购买了，家庭必备，购买价格实惠，送货速度很快，🎁包装也很精美
走***9,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-27 17:04:32,头一件实体店599，这个半价也不错
y***e,颜色:69 藏青色;尺码:160/76A/XS,2021-02-27 09:37:31,好评！舒适自然
c***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-26 19:13:11,好不容易抢到一件 要是有无缝的就更好了
c***g,颜色:02 浅灰色;尺码:185/120C/XXXL,2021-02-26 16:16:58,挺好的
t***8,颜色:09 黑色;尺码:165/84A/S,2021-02-26 16:13:02,才洗一次，到处都跑绒，根本没办法穿，一点也不值，300块打水漂了！
x***1,颜色:58 深绿色;尺码:180/108B/XL,2021-02-26 16:08:04,上身效果：好
v***e,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-26 15:46:39,优衣库的衣服没失望过，质量好，物流快！
随***扭,颜色:24 亮橙色;尺码:185/112C/XXL,2021-02-26 15:07:26,儿子穿着合适，帅气！
g***s,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-26 13:35:54,不错
z***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-26 10:23:32,价格便宜
z***3,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 07:56:54,好
t***5,颜色:69 藏青色;尺码:175/100A/L,2021-02-26 06:11:17,还行还行.
f***1,颜色:09 黑色;尺码:185/112C/XXL,2021-02-25 22:00:53,钻毛！钻毛！钻毛！感觉特别劣质！
x***n,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-25 19:24:49,还挺好看的，颜色比较亮，会反光
l***6,颜色:02 浅灰色;尺码:175/100A/L,2021-02-25 16:36:00,价格合适
周***神,颜色:34 驼色;尺码:175/100A/L,2021-02-25 15:42:57,还可以，有点跑毛
朝***洁,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-25 12:28:54,没号了，只能买了个大的
s***2,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-25 10:21:48,收到皱皱巴巴的，不知道是不是退的货
g***7,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-24 22:53:20,十件衣服都进洗衣机了，质量没问题。话说回来，咋滴也算老粉儿了，咋装箱的品质越来越次了火，把塑料袋子包裹好了那么费劲吗？这就是标准作业？需要整个作业要领书呗？日企唉！
小***5,颜色:58 深绿色;尺码:180/108B/XL,2021-02-24 22:01:37,还不错 穿着轻便
2***g,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-24 19:07:56,一如既往地好，家里人穿的薄羽绒服都是优衣库的
t***8,颜色:24 亮橙色;尺码:165/84A/S,2021-02-24 17:56:36,可以的
青***f,颜色:58 深绿色;尺码:180/108B/XL,2021-02-24 17:20:59,优衣库一如既往的好东西，买了非常喜欢、满意，价廉物美，太喜欢了，开心。
t***4,颜色:02 浅灰色;尺码:185/112C/XXL,2021-02-24 14:57:35,老公买的轻薄型羽绒服，天气不冷的时候开车穿刚好。
杨***1,颜色:34 驼色;尺码:165/84A/S,2021-02-24 14:08:39,确实很不错，轻柔温暖做工精致。
y***y,颜色:02 浅灰色;尺码:185/120C/XXXL,2021-02-24 09:58:09,很好衣服。哈哈哈哈哈哈哈就哈哈
李***n,颜色:09 黑色;尺码:175/100A/L,2021-02-24 08:21:51,挺好的，挺薄的，不错
t***8,颜色:34 驼色;尺码:165/84A/S,2021-02-23 18:59:05,早春穿穿正好，很轻薄。这个码正合适。
