displayUserNick,auctionSku,rateDate,rateContent
s***0,颜色:09 黑色;尺码:165/76A,2021-03-05 09:34:25,好
q***3,颜色:09 黑色;尺码:165/76A,2021-03-05 08:22:21,好评
s***u,颜色:09 黑色;尺码:160/70A,2021-03-04 13:41:36,面料品质：这条裤子是我穿过最不好的一条裤子 ，毡毛严重， 本来高高兴兴地穿上了，结果粘附性也太好了吧 ！灰尘毛毛什么都沾
来***网,颜色:09 黑色;尺码:165/76A,2021-03-03 15:12:24,很好 同类的买好几条了 折扣好 物有所值
习***7,颜色:09 黑色;尺码:165/72A,2021-02-28 14:58:16,已经多次购买了
t***2,颜色:09 黑色;尺码:165/76A,2021-02-26 21:18:41,还行，裤脚有点长
m***3,颜色:09 黑色;尺码:160/70A,2021-02-25 09:22:38,第二次回购，裤型之类的没得说，就是黏毛能不能从材质上解决这个问题
丘***滔,颜色:09 黑色;尺码:165/72A,2021-02-25 00:12:28,適中 有彈性
t***9,颜色:09 黑色;尺码:170/82A,2021-02-24 14:21:50,非常好，下次还来的
t***3,颜色:09 黑色;尺码:165/72A,2021-02-23 15:15:36,沾毛起毛，真的质量太次了😡说好的是***？
t***4,颜色:09 黑色;尺码:165/76A,2021-02-21 18:24:05,有点粘毛
c***x,颜色:09 黑色;尺码:165/76A,2021-02-20 15:37:04,这款高弹的这个牛仔裤感觉上还可以，现在99元了，性价比也比较高。
c***x,颜色:09 黑色;尺码:170/78A,2021-02-20 15:37:04,这款高弹的这个牛仔裤感觉上还可以，现在99元了，性价比也比较高。
g***i,颜色:09 黑色;尺码:170/82A,2021-02-16 17:19:51,挺好的
曹***8,颜色:09 黑色;尺码:170/78A,2021-02-12 13:08:52,很好！很合身
笑***双,颜色:09 黑色;尺码:160/70A,2021-02-09 18:41:12,不错
t***8,颜色:09 黑色;尺码:165/76A,2021-02-09 13:19:03,挺好的
s***2,颜色:09 黑色;尺码:170/82A,2021-02-08 23:10:49,价廉物美！
排***册,颜色:09 黑色;尺码:165/76A,2021-02-07 10:14:14,裤子还可以的，适合瘦子穿
1***月,颜色:09 黑色;尺码:165/76A,2021-02-06 17:36:35,产品质量和售后服务差差差，不是一般的差。👎👎👎
董***3,颜色:09 黑色;尺码:170/82A,2021-02-05 11:11:29,优衣库服饰，信的是始终如一的质量保证。价格亲民，也比较适合亚洲人的型体。 面料育微弹，穿着舒服，虽有粘灰，但可以接受。总之非常满意。 图就省略了，一直买，没有问题。
看***白,颜色:09 黑色;尺码:170/82A,2021-02-01 15:55:03,毡毛严重
n***2,颜色:09 黑色;尺码:175/84A,2021-01-30 08:37:29,质量不错，每年必买
m***3,颜色:09 黑色;尺码:160/70A,2021-01-26 14:54:18,裤子弹性确实可以，提个小建议黏毛的特性得从面料上解决解决
t***g,颜色:09 黑色;尺码:170/82A,2021-01-26 13:32:25,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次，感谢卖家。
e***5,颜色:09 黑色;尺码:170/78A,2021-01-25 20:30:56,此用户没有填写评论!
冬***帅,颜色:09 黑色;尺码:170/78A,2021-01-23 22:06:20,质量太差 就是盗版的
奔***器,颜色:09 黑色;尺码:170/78A,2021-01-21 12:35:31,差评 我不给产品 我给的是优衣库的服务，发过来的衣服 居然防盗扣也不取 我怎么去取 我在哪里去取，问客服半天半天的不回复全是机器人，真的要把人气*
快***1,颜色:09 黑色;尺码:170/82A,2021-01-20 11:34:44,黑色的比较容易粘灰，其他还好
后***期,颜色:09 黑色;尺码:170/78A,2021-01-16 15:10:10,裤腿太长了， ******问一天答非所问
艾***丽,颜色:09 黑色;尺码:170/82A,2021-01-15 11:26:46,好评鼓励，再接再厉！
y***5,颜色:09 黑色;尺码:175/84A,2021-01-12 13:51:11,这是一家***，不负责任的企业，买两件只发了一件货，沟通了无数次后*不认账，反正货也不值钱，就当买冥纸你们，祝你们早日倒闭！
亮***谈,颜色:09 黑色;尺码:170/82A,2021-01-12 08:30:13,比较爱粘东西，但是穿着十分舒服，
清***猪,颜色:09 黑色;尺码:175/84A,2021-01-09 08:59:53,衣服不错，物流太差，
t***g,颜色:09 黑色;尺码:170/78A,2021-01-08 19:43:45,可以
t***g,颜色:09 黑色;尺码:170/82A,2021-01-08 19:43:45,可以
花***忆,颜色:09 黑色;尺码:165/76A,2021-01-06 23:30:36,双十二买的，美滋滋
哈***1,颜色:09 黑色;尺码:170/78A,2021-01-06 17:21:49,此用户没有填写评论!
g***x,颜色:09 黑色;尺码:170/78A,2021-01-05 23:09:08,不紧身 也不是小裤腿 还长了很大一截
s***8,颜色:09 黑色;尺码:175/86A,2021-01-04 17:16:36,裤子品质非常好，值得购买。
t***1,颜色:09 黑色;尺码:170/82A,2021-01-04 14:18:14,2020过年那会儿太贵了 最近降价还是果断入了 很舒适腰围很大不错弹性超级好
t***g,颜色:09 黑色;尺码:170/78A,2021-01-03 18:58:39,可以
t***2,颜色:09 黑色;尺码:165/72A,2021-01-03 09:59:05,大小还可以，就是粘毛严重
1***狼,颜色:09 黑色;尺码:170/78A,2021-01-01 16:33:08,裤腿太长，其他都可以，黑色裤子通病，粘毛
j***s,颜色:09 黑色;尺码:175/84A,2021-01-01 10:32:44,可以可以
x***1,颜色:09 黑色;尺码:170/82A,2020-12-29 23:56:06,很舒服，号码合适
c***7,颜色:09 黑色;尺码:175/84A,2020-12-27 16:13:15,好
z***5,颜色:09 黑色;尺码:170/82A,2020-12-27 06:45:11,整体评价：老主顾了，都是很失望。
t***l,颜色:09 黑色;尺码:160/70A,2020-12-26 23:33:26,不错，大小刚合适，弹性好。
h***7,颜色:09 黑色;尺码:175/84A,2020-12-23 14:03:05,材质特性：95%左右棉含量。 厚薄度：现在冬季穿正好吧！ 面料品质：摸着手感不错挺厚实 尺码推荐：本人75公斤，170身高，170/84A腰围大了一指刚好吧
u***8,颜色:09 黑色;尺码:165/72A,2020-12-22 21:24:49,此用户没有填写评论!
a***x,颜色:09 黑色;尺码:170/78A,2020-12-22 09:04:43,款型不错，175-63kg，合适。
看***8,颜色:09 黑色;尺码:170/82A,2020-12-21 15:08:16,比较粘毛，总体还不错
桔***士,颜色:09 黑色;尺码:165/76A,2020-12-20 20:26:29,微弹面料舒适，很好穿
l***l,颜色:09 黑色;尺码:175/84A,2020-12-20 15:09:03,有点粘毛
a***2,颜色:09 黑色;尺码:175/84A,2020-12-14 23:15:47,很好
云***男,颜色:09 黑色;尺码:175/86A,2020-12-13 19:47:04,材质特性：有弹性 大小合适
陈***3,颜色:09 黑色;尺码:170/82A,2020-12-13 09:24:23,不厚薄款的，没有以前买的厚有，面料也不软，，          ，，，，，，，， ，  ，，，，，，，，，，
y***1,颜色:09 黑色;尺码:175/86A,2020-12-12 11:04:29,买了第四条了
f***3,颜色:09 黑色;尺码:170/82A,2020-12-10 10:11:05,算是弹力裤了&hellip;&hellip;跟之前买的不太一样
y***1,颜色:09 黑色;尺码:175/86A,2020-12-09 10:49:50,老公特别喜欢这条裤子，买了第三条了
g***g,颜色:09 黑色;尺码:170/82A,2020-12-06 13:40:28,很不错的优衣库
c***3,颜色:09 黑色;尺码:165/72A,2020-12-04 09:53:27,优衣库质量面料没得说，就是太长了，起码裁剪了10公分
