displayUserNick,auctionSku,rateDate,rateContent
a***6,颜色:69 藏青色;尺码:165/72A,2021-03-04 21:32:18,没什么弹力
t***1,颜色:69 藏青色;尺码:170/82A,2021-03-04 18:01:57,666666
t***4,颜色:69 藏青色;尺码:165/76A,2021-02-28 17:53:19,没穿过原牛，版型很好很合适，偏硬，比较厚，冬天连秋裤都不用穿了哈哈
h***t,颜色:69 藏青色;尺码:160/70A,2021-02-22 12:42:03,太长，为什么不能学学李维斯，裤长也分两种规格？每条裤子都剪掉20cm ，这是多么的浪费资源！
t***1,颜色:69 藏青色;尺码:170/82A,2021-02-21 07:06:57,挺好的 买了几条了
逛***9,颜色:69 藏青色;尺码:170/78A,2021-02-18 21:38:03,裤子硬挺，质量是可以的。这么便宜的原牛，非常好了。
猫***3,颜色:69 藏青色;尺码:170/82A,2021-02-16 23:27:04,各方面都不错，优衣库牛
l***2,颜色:69 藏青色;尺码:170/78A,2021-02-08 14:17:50,还不错，就裤子有点长
f***n,颜色:69 藏青色;尺码:165/76A,2021-02-07 21:39:26,应该是二手穿洗过的，原牛应该比较硬才对，到手却软了，腰部缝上的吊牌不见了，吊牌都是打印的，跟全新的不一样。
y***8,颜色:69 藏青色;尺码:175/86A,2021-02-07 13:34:29,整体评价：好，就是裤子有点长  门店可以改吗  材质特性：软 上身效果：修身 尺码推荐：正好 厚薄度：不厚 面料品质：细腻
我***9,颜色:69 藏青色;尺码:170/82A,2021-01-15 17:20:53,此用户没有填写评论!
y***9,颜色:69 藏青色;尺码:165/72A,2021-01-10 12:51:20,裤腿太长
k***t,颜色:69 藏青色;尺码:175/86A,2021-01-07 13:33:10,辣鸡的1P，50块的做工，真的不值。
棉***j,颜色:69 藏青色;尺码:180/90B,2020-12-28 10:28:18,版型非常好、显腿直腿直
梅***泽,颜色:69 藏青色;尺码:170/78A,2020-12-22 14:12:13,写30个字不够强大。很好的作品都是很好的选择。闭眼入无问题的，是很好的选择，非常之好，质量质感各方面都是好的选择！这是好的产品，无错，好的产品
w***9,颜色:69 藏青色;尺码:170/78A,2020-12-16 11:25:13,可以
k***1,颜色:69 藏青色;尺码:170/82A,2020-12-15 22:58:23,非常好
s***5,颜色:69 藏青色;尺码:160/70A,2020-12-14 18:28:18,很好很好
我***7,颜色:69 藏青色;尺码:170/78A,2020-12-13 19:52:51,还行吧
s***u,颜色:69 藏青色;尺码:170/78A,2020-12-13 18:08:00,不错哈 配靴子好看
t***8,颜色:69 藏青色;尺码:175/86A,2020-12-12 17:39:49,裤子挺好的，看同事穿着不错要来了链接。
洛***舟,颜色:69 藏青色;尺码:170/78A,2020-12-09 15:43:58,相信优衣库品牌，质量应该不错，看上去版型很好，好评啦！
我***春,颜色:69 藏青色;尺码:165/76A,2020-12-08 12:35:29,裤腿很长，要卷好几下，同时弹性不太好，但是整体成色和质地。
直***翰,颜色:69 藏青色;尺码:170/78A,2020-12-06 19:33:28,优衣库牛仔裤 面料版型没问题 完全可以闭眼买 就是长度。。。烦*
a***8,颜色:69 藏青色;尺码:175/88A,2020-12-03 19:15:36,胖了又买的一条
j***3,颜色:69 藏青色;尺码:170/82A,2020-11-30 17:46:58,这几年衣服裤子质量明显下降啊，希望别膨胀下去。
王***6,颜色:69 藏青色;尺码:175/84A,2020-11-30 08:33:28,优衣库的东西不用多说，想必大家都知道，衣服没有什么特殊的东西，但是版型很好，可以长期穿搭，很简单，时间长了，也不会过时，穿着也很舒适
t***8,颜色:69 藏青色;尺码:170/78A,2020-11-27 14:14:36,差评，买过一次不会买第二次的店铺！
t***0,颜色:69 藏青色;尺码:170/78A,2020-11-26 08:06:31,身高175体重75kg穿哪个码身高175体重75kg穿哪个身高175体重75kg穿哪个码身高175体重75kg穿哪个码身高175体重75kg穿哪个码
饿***恶,颜色:69 藏青色;尺码:175/84A,2020-11-21 14:52:12,此用户没有填写评论!
大***8,颜色:69 藏青色;尺码:170/82A,2020-11-20 19:49:07,体验真差
无***藻,颜色:69 藏青色;尺码:180/90B,2020-11-20 14:22:50,不错 男朋友喜欢
0***情,颜色:69 藏青色;尺码:170/78A,2020-11-16 06:10:09,说实话。没有我之前买的那款好。不知道为什么那款下架了。没办法才买这个的
k***1,颜色:69 藏青色;尺码:175/84A,2020-11-14 19:42:29,有点大，明天拿去换
t***7,颜色:69 藏青色;尺码:180/90B,2020-11-08 13:34:22,挺好的，版型不错显瘦
胡***8,颜色:69 藏青色;尺码:175/84A,2020-11-08 09:13:16,不错
卖***9,颜色:69 藏青色;尺码:175/86A,2020-11-07 14:39:09,很好
d***9,颜色:69 藏青色;尺码:175/84A,2020-11-05 13:00:43,相比水洗的款式硬很多，掉色比较严重，穿浅色鞋要小心
月***升,颜色:69 藏青色;尺码:170/82A,2020-11-05 00:08:06,一直买优衣库，质量是真的好
渣***机,颜色:69 藏青色;尺码:175/86A,2020-11-03 16:22:22,满意
t***6,颜色:69 藏青色;尺码:180/90B,2020-10-18 18:49:45,一如既往
悠***心,颜色:69 藏青色;尺码:180/90B,2020-10-14 17:17:26,稍微有点儿硬，修身版
心***9,颜色:69 藏青色;尺码:170/78A,2020-10-11 20:06:12,裤子确实硬哦，但是版型很不错。有些长，建议店里直接裁了。硬点就...当挡风咯。颜色很棒！
g***5,颜色:69 藏青色;尺码:180/90B,2020-10-03 19:58:33,做工很好
丶***人,颜色:69 藏青色;尺码:175/84A,2020-10-03 19:00:40,刚买的没两天就降50，真恶心
追***2,颜色:69 藏青色;尺码:180/90B,2020-09-27 17:52:56,太香啦，本来想买桃太郎，但优衣库的价格太香啦
不***等,颜色:69 藏青色;尺码:175/88A,2020-09-16 23:45:27,很合身
天***姥,颜色:69 藏青色;尺码:175/88A,2020-09-03 06:38:03,裤子有点硬，非常有型，不错～
w***8,颜色:69 藏青色;尺码:165/76A,2020-08-23 22:17:07,好评
