displayUserNick,auctionSku,rateDate,rateContent
p***8,颜色:32 深米色;尺码:180/96B/XL,2021-02-18 23:01:44,不错的
熊***2,颜色:32 深米色;尺码:180/96B/XL,2021-01-20 14:49:13,裤子还行。客服超差，全程用机器人代聊，不明白优衣库客服怎么差到出奇？
花***忆,颜色:32 深米色;尺码:165/72A/S,2021-01-06 23:30:36,颜色有点浅，但很合身
x***r,颜色:32 深米色;尺码:180/96B/XL,2020-12-31 08:22:49,送货到线下店修改了裤脚，很便捷。
t***9,颜色:32 深米色;尺码:160/64A/XS,2020-12-29 21:46:09,此用户没有填写评论!
m***7,颜色:32 深米色;尺码:180/96B/XL,2020-12-25 15:21:24,此用户没有填写评论!
f***6,颜色:32 深米色;尺码:175/88A/L,2020-12-24 18:14:27,裤子很好看 很舒服 版型设计非常好看
t***1,颜色:32 深米色;尺码:170/80A/M,2020-12-22 16:05:38,布料柔软，很舒服 裤头有绳子，对于腰偏细的瘦子很友好，而且还有裤鼻子，不绑绳子也可以系腰带。 很棒
左***w,颜色:32 深米色;尺码:170/80A/M,2020-12-21 14:45:35,裤子穿起来很舒服，弹性十足穿着运动自如，面料很亲肤，尺码也刚刚好的。
4***y,颜色:32 深米色;尺码:165/72A/S,2020-12-21 07:45:23,必须超级差评优衣库，每次有售后问题找他家的线上客服都是石沉大海，没有任何回复，即使回复了也是答非所问，明明点的人工客服，回答问题都像是机器回答一样。线上客服难找，要换货只能跑一趟线下门店，结果说什么不同批次或不同年份的不能换。明明就一个东西，消费者哪知道哪个批次跟哪个批次啊！真的是一点也不人性化。另外线下换货成功但是最后还是不合适退回去，还拒绝退款，原因是寄回东西规格大小不一样。这啥个意思？！自家线上线下系统没有打通好又要消费者来活受罪..差评差评！
t***2,颜色:32 深米色;尺码:180/96B/XL,2020-12-15 12:58:00,我哥哥很喜欢
y***g,颜色:32 深米色;尺码:170/80A/M,2020-12-04 15:40:04,穿了一天就开线，优衣库的品质也是醉了
毛***猫,颜色:32 深米色;尺码:180/96B/XL,2020-11-23 19:29:57,弹力大 舒适度高
d***p,颜色:32 深米色;尺码:180/96B/XL,2020-11-19 21:08:37,挺好的，有腰带，皮带都不用系了
m***玉,颜色:32 深米色;尺码:180/96B/XL,2020-11-19 17:08:25,质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物
义***6,颜色:32 深米色;尺码:165/72A/S,2020-11-18 22:59:41,整体评价：舒适显身材！ 上身效果：稍微有一点紧
l***r,颜色:32 深米色;尺码:175/88A/L,2020-11-18 13:52:03,长胖了，选大一号的就略长了一点，否则很合身
夜***鼠,颜色:32 深米色;尺码:175/88A/L,2020-11-16 12:21:24,非常好看，买少了
夏***铁,颜色:32 深米色;尺码:180/96B/XL,2020-11-15 22:10:35,裤子不错，大小正好，合适，颜色正
l***n,颜色:32 深米色;尺码:170/80A/M,2020-11-15 20:19:46,不错
t***4,颜色:32 深米色;尺码:175/88A/L,2020-11-15 16:32:44,不错
两***事,颜色:32 深米色;尺码:175/88A/L,2020-11-12 07:14:41,东西不错，就是发货不快，物流更慢
渤***6,颜色:32 深米色;尺码:175/88A/L,2020-11-11 09:40:39,值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试
李***9,颜色:32 深米色;尺码:170/80A/M,2020-11-08 19:52:49,买小了 尺码不准
言***8,颜色:32 深米色;尺码:175/88A/L,2020-11-06 10:41:47,材质舒服
a***f,颜色:32 深米色;尺码:175/88A/L,2020-11-03 22:54:53,质量不错
a***x,颜色:32 深米色;尺码:185/104C/XXL,2020-10-26 14:33:42,质量不错
妙***稠,颜色:32 深米色;尺码:175/88A/L,2020-10-09 07:25:03,很好
x***6,颜色:32 深米色;尺码:185/104C/XXL,2020-10-03 17:36:15,剪刀剪外面塑料打开一开可真绝了，都咋钉标价牌的？
洋***飞,颜色:32 深米色;尺码:170/80A/M,2020-09-05 18:40:30,裤子不换面料还是材质都非常垃圾，根本不值这个价。服务态度尤其恶心，问题发客服根本没人理。防盗卡扣也没去掉就寄过来，难道家家都有强力磁铁吗？
h***7,颜色:32 深米色;尺码:170/80A/M,2020-09-03 15:20:56,看起来还行，不过还没有穿，要去把裤脚剪了之后才行
t***7,颜色:32 深米色;尺码:175/88A/L,2020-08-13 02:25:30,出货太慢了，。，
姣***丽,颜色:32 深米色;尺码:170/80A/M,2020-07-24 10:48:39,很好
