displayUserNick,auctionSku,rateDate,rateContent
s***e,颜色:67 海蓝色;尺码:170/82A,2021-03-01 19:59:37,挺好的。
苏***8,颜色:68 深蓝色;尺码:175/86A,2021-03-01 16:06:16,一般吧
t***4,颜色:68 深蓝色;尺码:175/86A,2021-02-27 06:30:42,不错不错灰常不错
陈***5,颜色:66 蓝色;尺码:180/96B,2021-02-26 16:53:33,客服建议加强。衣服退款来来回回折腾了一个多月！物流也折腾了半个月！
s***9,颜色:09 黑色;尺码:165/76A,2021-02-24 11:53:08,好
杨***1,颜色:66 蓝色;尺码:175/84A,2021-02-23 20:03:26,太好看了，喜欢，以后继续支持优衣库
s***5,颜色:68 深蓝色;尺码:180/90B,2021-02-22 21:22:02,好
t***8,颜色:09 黑色;尺码:175/88A,2021-02-19 01:03:42,这款牛仔裤料子很软，穿着也不紧。
l***8,颜色:66 蓝色;尺码:170/82A,2021-02-17 23:56:44,很好
刘***7,颜色:09 黑色;尺码:170/82A,2021-02-15 18:29:51,good
k***u,颜色:67 海蓝色;尺码:185/106C,2021-02-10 09:41:05,好裤子！！！
刘***瑞,颜色:66 蓝色;尺码:185/106C,2021-02-10 08:10:56,到货快，舒适修身
华***铺,颜色:67 海蓝色;尺码:180/96B,2021-02-09 21:29:07,优衣库的质量是没话说。
c***仔,颜色:66 蓝色;尺码:165/74A,2021-02-07 00:06:23,好评
给***魔,颜色:68 深蓝色;尺码:160/68A,2021-02-06 22:23:24,好
t***7,颜色:09 黑色;尺码:175/84A,2021-02-06 21:06:41,一如既往，一年两条👍
o***七,颜色:68 深蓝色;尺码:175/88A,2021-02-06 16:17:54,好看
f***绒,颜色:66 蓝色;尺码:165/74A,2021-02-05 18:26:25,质量挺好！就是价格太不稳定了
跟***陈,颜色:09 黑色;尺码:180/90B,2021-02-05 14:06:05,前一天299买的，第二天聚划算活动整整便宜50块，本以为是大品牌没想到购物体验如此差劲！
文***叔,颜色:66 蓝色;尺码:165/74A,2021-02-05 11:10:43,还行
b***走,颜色:66 蓝色;尺码:170/78A,2021-02-05 09:52:34,还可以
住***姑,颜色:67 海蓝色;尺码:175/84A,2021-02-03 14:28:56,非常棒
z***8,颜色:09 黑色;尺码:170/78A,2021-01-30 22:18:00,弹性的穿着挺舒服
拂***8,颜色:09 黑色;尺码:175/88A,2021-01-30 13:01:10,质量很高，弹力好
t***9,颜色:09 黑色;尺码:170/82A,2021-01-28 01:59:43,裤腿有点紧，感觉不是太好
彼***凉,颜色:68 深蓝色;尺码:180/90B,2021-01-26 16:00:30,腰部部分稍大，不过绑下皮带差不多了
a***2,颜色:66 蓝色;尺码:160/68A,2021-01-21 11:46:58,版型不错，很修身，弹性也好，掉不掉色就不知道了，根据我之前也在优衣库买的类似同款深蓝色的裤子，我穿了几年都从深蓝掉成浅蓝了，这条应该也会，但从版型和舒适度来说，很满意
w***5,颜色:09 黑色;尺码:175/84A,2021-01-21 10:52:29,裤子版型不错，弹性大不紧绷修身的。
t***0,颜色:09 黑色;尺码:170/82A,2021-01-18 22:47:28,非常好
w***0,颜色:68 深蓝色;尺码:170/78A,2021-01-18 18:07:24,很好
自***宝,颜色:68 深蓝色;尺码:170/78A,2021-01-17 18:35:24,老公很喜欢
t***9,颜色:09 黑色;尺码:180/96B,2021-01-12 16:15:17,优衣库的裤子一如既往的好！
o***8,颜色:09 黑色;尺码:170/82A,2021-01-09 22:09:10,后续追评！
t***3,颜色:66 蓝色;尺码:185/112C,2021-01-05 21:59:28,不错
t***6,颜色:09 黑色;尺码:170/82A,2021-01-05 08:53:29,此用户没有填写评论!
g***1,颜色:68 深蓝色;尺码:165/76A,2021-01-04 07:48:30,材质特性：褪色严重！色牢度就这副样子？！失望！
残***篇,颜色:68 深蓝色;尺码:185/112C,2021-01-03 16:48:24,店家发货速度很快～
本***登,颜色:09 黑色;尺码:160/70A,2020-12-28 19:18:03,弹性很好，太长了
山***子,颜色:66 蓝色;尺码:165/76A,2020-12-25 09:14:49,可以
d***4,颜色:68 深蓝色;尺码:175/86A,2020-12-20 16:00:41,还是不错的
f***3,颜色:68 深蓝色;尺码:160/68A,2020-12-19 13:05:09,实体店最小是70的，看到网店有68，开心 。希望有更大的优惠啊。
f***n,颜色:68 深蓝色;尺码:175/86A,2020-12-17 10:17:59,很合适(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！
电***的,颜色:66 蓝色;尺码:180/90B,2020-12-16 08:52:41,很舒服的裤子
g***2,颜色:66 蓝色;尺码:180/90B,2020-12-14 20:30:03,这条裤子很有弹力，很舒适及修身
久***绊,颜色:09 黑色;尺码:175/84A,2020-12-10 22:49:29,上身效果：不好
苍***s,颜色:66 蓝色;尺码:160/68A,2020-12-10 14:04:07,还行 有点肥 我有用呢第几集退有空了奔波回来就去怪我咯了啊发嗯咯公公就去玩咯咯啊发大大鹅毛look哦自己仔细想想十几斤咯吧的课大大额OK敏敏**普陀区回来就好
w***9,颜色:66 蓝色;尺码:175/86A,2020-12-07 22:36:35,很好
老***儿,颜色:68 深蓝色;尺码:175/88A,2020-12-07 17:09:15,优衣库的品质还是不错的，就是快递包装有点脏
