displayUserNick,auctionSku,rateDate,rateContent
z***2,颜色:64 湖蓝色;尺码:160/70A,2021-03-03 22:53:27,不错 合适 好穿
a***7,颜色:64 湖蓝色;尺码:180/96B,2021-03-02 23:42:57,很好 很好
蓝***娆,颜色:66 蓝色;尺码:185/106C,2021-03-02 14:05:05,可以
追***3,颜色:64 湖蓝色;尺码:165/74A,2021-03-01 20:14:17,男朋友很喜欢
小***3,颜色:66 蓝色;尺码:180/90B,2021-03-01 13:53:05,很不错
陆***勇,颜色:66 蓝色;尺码:185/112C,2021-02-28 17:33:42,哈拉少
a***y,颜色:64 湖蓝色;尺码:180/96B,2021-02-28 16:46:59,穿着很舒服
a***y,颜色:66 蓝色;尺码:180/96B,2021-02-28 16:46:59,穿着很舒服
心***刀,颜色:64 湖蓝色;尺码:170/82A,2021-02-25 18:56:17,很好
z***1,颜色:66 蓝色;尺码:185/100B,2021-02-25 14:31:42,大小合适，款式不错。
千***l,颜色:64 湖蓝色;尺码:170/82A,2021-02-23 17:02:37,整体评价：给爸爸买的，很满意。
心***刀,颜色:66 蓝色;尺码:170/82A,2021-02-20 14:53:21,很好
龙***儿,颜色:66 蓝色;尺码:185/106C,2021-02-20 09:38:40,面料品质：硬，一点都不柔软
t***2,颜色:66 蓝色;尺码:175/84A,2021-02-19 18:58:11,此用户没有填写评论!
f***8,颜色:66 蓝色;尺码:180/90B,2021-02-19 12:12:27,在广东的街上，大家都叫我靓仔
小***哟,颜色:66 蓝色;尺码:185/106C,2021-02-16 10:20:19,质量杠杠
x***2,颜色:66 蓝色;尺码:190/116C,2021-02-10 12:49:29,档再深一点就更好了，老公1.82.100kg穿上正好，再也不用发愁给他买衣服了，以后就这家了
欢***头,颜色:66 蓝色;尺码:180/96B,2021-02-07 15:45:58,身效果特别好，爱了。
l***8,颜色:66 蓝色;尺码:175/88A,2021-02-07 09:11:25,很好
我***拉,颜色:66 蓝色;尺码:175/86A,2021-02-02 08:19:52,不错
l***7,颜色:66 蓝色;尺码:160/68A,2021-02-01 18:18:42,一如既往
a***7,颜色:66 蓝色;尺码:180/96B,2021-01-30 01:37:56,很好 很好 很好 很好 很好
大***g,颜色:66 蓝色;尺码:170/82A,2021-01-24 00:38:58,还行吧
杜***宸,颜色:66 蓝色;尺码:175/84A,2021-01-22 22:18:56,质量很好
猴***胡,颜色:66 蓝色;尺码:175/84A,2021-01-20 19:38:47,优衣库的尺码真是迷，按照推荐尺码买的大了好多，退换了一次到手还是大了至少一码，不想再换将就穿了。
l***u,颜色:66 蓝色;尺码:165/74A,2021-01-18 07:39:27,质量没有以前的好，无论是用料还是做工都是以前的好，价格却299了，失望
糖***e,颜色:66 蓝色;尺码:180/90B,2020-12-21 10:20:28,好
云***q,颜色:66 蓝色;尺码:170/82A,2020-12-09 19:14:35,好评
