displayUserNick,auctionSku,rateDate,rateContent
维***渴,颜色:09 黑色;尺码:170/80A/M,2021-03-01 21:59:57,发货好快
看***异,颜色:69 藏青色;尺码:170/80A/M,2021-02-28 15:54:45,买的时候199，买完就搞活动降价149，还不退差价，恶心*了 整体评价：差
水***5,颜色:09 黑色;尺码:175/88A/L,2021-02-26 18:01:09,很不错还是挺好的质量，不错的版型
a***t,颜色:69 藏青色;尺码:170/80A/M,2021-02-25 08:58:12,感觉有点小
天***雅,颜色:09 黑色;尺码:170/80A/M,2021-02-15 19:24:20,纯棉面料，细致丝滑，一如既往的贴身舒适，到实体店试穿特别舒服，可惜没合适的尺码，特别失望😔，店员告知在淘宝旗舰店搜一下，看有货立马就下单了，过几天可以上班穿了，😃😃😃，尺码刚好，不用剪裁，舒适修身
t***n,颜色:09 黑色;尺码:165/72A/S,2021-02-10 11:32:05,在实体店199元买过一条，觉得不错再在网上买了，不过价格比实体店贵了50元！
泰***海,颜色:09 黑色;尺码:180/96B/XL,2021-01-28 23:05:41,很好，很喜欢。
p***3,颜色:09 黑色;尺码:170/80A/M,2021-01-06 16:14:39,挺好的 买第三条了
m***h,颜色:09 黑色;尺码:170/80A/M,2021-01-06 15:21:42,这个系列真棒
m***h,颜色:69 藏青色;尺码:170/80A/M,2021-01-06 15:21:42,非常喜欢这个系列
l***0,颜色:09 黑色;尺码:180/96B/XL,2020-12-31 22:00:21,合身
