displayUserNick,auctionSku,rateDate,rateContent
t***2,颜色:32 深米色;尺码:165/72A/S,2021-03-03 15:12:30,很赞
l***t,颜色:32 深米色;尺码:185/104C/XXL,2021-03-03 09:40:21,优衣库的衣服，买就是了，退换货服务也很好。
f***0,颜色:32 深米色;尺码:165/72A/S,2021-03-02 12:07:29,恨好的裤子
t***7,颜色:32 深米色;尺码:185/120C/XXXXL,2021-02-28 17:40:08,非常的完美，弹性很好，很合身
不***9,颜色:32 深米色;尺码:165/72A/S,2021-02-22 13:58:11,宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖
w***伟,颜色:32 深米色;尺码:185/104C/XXL,2021-02-21 15:34:11,不错，挺好的！
航***鼠,颜色:32 深米色;尺码:165/72A/S,2021-02-21 13:20:55,材质特性：有弹力，感觉很不错。 厚薄度：夏季，修身。紧 很不错哦。
笑***双,颜色:32 深米色;尺码:160/64A/XS,2021-02-21 10:03:39,不错，合身
x***e,颜色:32 深米色;尺码:175/88A/L,2021-02-20 21:37:34,很修身，但又弹性
q***土,颜色:32 深米色;尺码:185/104C/XXL,2021-02-20 11:41:49,此用户没有填写评论!
d***尚,颜色:32 深米色;尺码:170/80A/M,2021-02-20 09:33:15,可以，刚好合身
日***颖,颜色:32 深米色;尺码:165/72A/S,2021-02-16 19:45:16,很不错
水***霞,颜色:32 深米色;尺码:165/72A/S,2021-02-16 17:22:31,上身效果：裤子很好，回购很多次了
醉***年,颜色:32 深米色;尺码:170/80A/M,2021-02-15 18:18:32,177  55 m合适
排***册,颜色:32 深米色;尺码:170/80A/M,2021-02-15 10:21:41,面料比较舒服，不知道后面会不会变形
l***9,颜色:32 深米色;尺码:175/88A/L,2021-02-15 08:14:38,吹爆优衣库，吊打500以内的任何品牌的裤子
禅***岭,颜色:32 深米色;尺码:170/80A/M,2021-02-13 20:07:09,裤型不错，发货送货都很及时，虽然买晚了居然还能赶在新年穿上，真是太惊喜了！
文***武,颜色:32 深米色;尺码:170/80A/M,2021-02-13 14:23:01,此用户没有填写评论!
z***2,颜色:32 深米色;尺码:160/64A/XS,2021-02-09 23:30:54,有点色差，，偏白浅米色
m***1,颜色:32 深米色;尺码:170/80A/M,2021-02-09 16:13:55,面料不错，弹性很好。做工较好。裤腰内里设计有暗绳(当腰带)。
a***1,颜色:32 深米色;尺码:170/80A/M,2021-02-09 11:11:37,还不错。
t***5,颜色:32 深米色;尺码:185/104C/XXL,2021-02-09 00:06:54,质量特别好，做工精细。版型也很好，穿着舒适。
d***5,颜色:32 深米色;尺码:170/80A/M,2021-02-08 12:28:53,材质很舒服版型挺好
t***3,颜色:32 深米色;尺码:180/96B/XL,2021-02-07 11:38:01,有弹力，摸着舒服，就是容易皱
l***3,颜色:32 深米色;尺码:175/88A/L,2021-02-06 10:19:52,特别好
q***2,颜色:32 深米色;尺码:170/80A/M,2021-02-05 17:39:29,布料摸起来还可以吧，颜色以为跟图片是鲜艳一点的，看到实际的货有点小失望
s***5,颜色:32 深米色;尺码:170/80A/M,2021-02-04 08:50:45,裤子质量很好
y***4,颜色:32 深米色;尺码:170/80A/M,2021-02-04 00:35:34,170.70，穿秋裤有点紧，不穿秋裤的话还行，裤长合适腰有点小，因为有弹性也还行。本人太懒懒得换，将就穿吧。
y***8,颜色:32 深米色;尺码:170/80A/M,2021-02-03 16:30:27,还不错的吧
a***t,颜色:32 深米色;尺码:185/104C/XXL,2021-02-03 11:41:27,很好很不错。 很好很不错。 很好很不错。 很好很不错。 很好很不错。
甜***0,颜色:32 深米色;尺码:175/88A/L,2021-02-02 19:34:59,裤子修身可以拍大一个码数，质量好挺厚的。
w***r,颜色:32 深米色;尺码:175/88A/L,2021-02-01 13:00:41,不错
d***3,颜色:32 深米色;尺码:175/88A/L,2021-01-31 20:24:07,布料不错，比较修身。
终***心,颜色:32 深米色;尺码:175/88A/L,2021-01-31 15:48:09,很舒服，很好穿
t***g,颜色:32 深米色;尺码:180/96B/XL,2021-01-31 09:54:49,物美价廉
我***么,颜色:32 深米色;尺码:160/64A/XS,2021-01-30 13:35:51,大小合身！不过颜色略淡，挺喜欢的
k***e,颜色:32 深米色;尺码:180/96B/XL,2021-01-30 11:14:44,有点紧
二***控,颜色:32 深米色;尺码:170/80A/M,2021-01-29 14:13:58,款型板正 价格实惠
l***8,颜色:32 深米色;尺码:170/80A/M,2021-01-28 08:35:47,挺好，就是广州最近不冷，没法穿
苏***霄,颜色:32 深米色;尺码:175/88A/L,2021-01-27 20:19:24,面料品质：面料比较柔顺细腻的感觉，有一般牛仔裤质感不一样
g***l,颜色:32 深米色;尺码:175/88A/L,2021-01-27 18:49:51,挺不过的，185，75公斤这个码刚刚好，属于修身型的，有肚子的建议大一码！
f***7,颜色:32 深米色;尺码:175/88A/L,2021-01-24 07:16:54,价格很美丽
飞***3,颜色:32 深米色;尺码:170/80A/M,2021-01-22 17:41:03,基本上全身上下都是优衣库了
健***生,颜色:32 深米色;尺码:175/88A/L,2021-01-22 13:08:05,回购的
t***7,颜色:32 深米色;尺码:170/80A/M,2021-01-22 11:29:08,面料很舒适，春夏穿应该会比较凉快
v***t,颜色:32 深米色;尺码:175/88A/L,2021-01-21 15:33:03,囤货用
独***8,颜色:32 深米色;尺码:170/80A/M,2021-01-21 10:34:21,不错
o***9,颜色:32 深米色;尺码:175/88A/L,2021-01-20 19:23:16,此用户没有填写评论!
t***9,颜色:32 深米色;尺码:175/88A/L,2021-01-20 19:05:49,面料很好，优衣库衣服有保证
记***4,颜色:32 深米色;尺码:165/72A/S,2021-01-20 15:22:37,习惯性好评
t***1,颜色:32 深米色;尺码:180/96B/XL,2021-01-20 06:29:25,还可以，不亏
安***子,颜色:32 深米色;尺码:180/96B/XL,2021-01-19 20:25:59,买过很多条了，好看好穿
l***v,颜色:32 深米色;尺码:170/80A/M,2021-01-19 16:48:41,哈哈哈哈哈哈哈哈哈&hellip;&hellip;好好好好好好好好好&hellip;&hellip;牛牛牛牛牛牛牛牛牛牛牛&hellip;&hellip;GOODGOODGOODGOOD&hellip;&hellip;厉害厉害厉害厉害厉害厉害厉害厉害&hellip;&hellip;棒棒棒棒棒棒棒棒棒棒&hellip;&hellip;嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎&hellip;&hellip;嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿&hellip;&hellip;
人***比,颜色:32 深米色;尺码:175/88A/L,2021-01-19 11:59:57,很喜欢这种面料，尺寸也刚刚好！非常nice！
菜***8,颜色:32 深米色;尺码:170/80A/M,2021-01-19 11:47:54,好
a***a,颜色:32 深米色;尺码:175/88A/L,2021-01-19 09:43:47,差评，一点都不好
m***f,颜色:32 深米色;尺码:185/120C/XXXXL,2021-01-16 16:10:42,不错，质量很好，款式很新，非常的好用，给力，赞
y***7,颜色:32 深米色;尺码:170/80A/M,2021-01-16 12:34:27,发货快。
d***9,颜色:32 深米色;尺码:175/88A/L,2021-01-13 16:46:17,有点薄，适合秋季穿，尺码合适，感觉不值这个价！
爱***房,颜色:32 深米色;尺码:170/80A/M,2021-01-12 16:25:50,很好看五分好评！
幸***9,颜色:32 深米色;尺码:170/80A/M,2021-01-11 18:36:47,身高168体重70，M修身，还好衣服有弹力
大***阳,颜色:32 深米色;尺码:175/88A/L,2021-01-11 15:28:33,合身。
一***月,颜色:32 深米色;尺码:175/88A/L,2021-01-07 23:30:36,薄款，等春天穿。
魏***笨,颜色:32 深米色;尺码:170/80A/M,2021-01-07 17:37:25,整体评价：物美價廉，总体来说不错，別的都挺好的。有问题的就不是這樣評價的了。细心而用心，精心而诚心
花***忆,颜色:32 深米色;尺码:165/72A/S,2021-01-06 23:31:07,颜色有点浅，但很合身
s***1,颜色:32 深米色;尺码:170/80A/M,2021-01-06 14:29:36,胜在性价比
小***9,颜色:32 深米色;尺码:180/96B/XL,2021-01-05 19:24:20,炒鸡合适
