displayUserNick,auctionSku,rateDate,rateContent
k***8,颜色:57 深橄榄色;尺码:170/80A/M,2021-03-04 11:14:13,不错
秋***语,颜色:57 深橄榄色;尺码:170/80A/M,2021-03-03 22:38:54,满意
黄***鑫,颜色:57 深橄榄色;尺码:165/72A/S,2021-03-03 22:08:15,优衣库打折的时候真的值得买，质量还可以，就是太修身了，宽松一点更加好
满***甲,颜色:57 深橄榄色;尺码:170/80A/M,2021-03-03 10:17:34,好！
q***6,颜色:57 深橄榄色;尺码:185/120C/XXXXL,2021-03-02 17:42:46,不错，高弹力，穿着舒服，打算在买一条
t***8,颜色:57 深橄榄色;尺码:170/80A/M,2021-03-02 11:23:49,没什么好说的，实体店买了一条，非常合身，又有弹性，穿着舒服、很自然！穿久了旧了所以看到淘宝有，又便宜，想都不用想，直接下单，买同一型号，相信优衣库品质！果然合身舒服
t***8,颜色:57 深橄榄色;尺码:165/72A/S,2021-03-02 08:16:01,裤子很修身，有弹性，这个价格不错。
t***1,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-28 16:37:24,非常有弹性，修身，就是只有2款颜色
t***4,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-28 15:58:50,黏毛
t***1,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-27 08:49:36,物流很快，质感很好，很漂亮，很喜欢搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！这个产品和它价位相比来说，还是很合适的用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了
爱***美,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-25 21:00:59,尺码选的正合适 弹力也好 非常满意
g***8,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-24 16:50:28,还不错，比我想的要好
东***者,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-24 16:50:06,做旧的感觉
f***g,颜色:57 深橄榄色;尺码:165/72A/S,2021-02-24 13:41:38,挺紧身的， 面料品质：还可以
0***0,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-22 21:00:45,很好！平时34码裤子，这个码数宽松舒适，面料有弹性又柔软！老头子很喜欢，又囤了一条！
l***浩,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-22 13:51:34,此用户没有填写评论!
我***剑,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-21 22:33:11,裤子容易粘毛，不太好的
m***5,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-18 20:23:46,不错，物流快
a***2,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-18 12:02:06,非常喜欢
d***9,颜色:57 深橄榄色;尺码:165/72A/S,2021-02-13 11:15:10,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
t***3,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-12 13:25:01,合适
w***8,颜色:57 深橄榄色;尺码:165/72A/S,2021-02-11 22:42:23,裤子正好合身，版型在线，修身款穿起很舒服，弹性舒适内有松紧带，布料偏薄，坐标南方没穿秋裤也能应付
小***蓝,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-10 16:31:14,成了优衣库的**粉了，买买买，根本停不下来，短短两个多月，买了八千多块优衣库的衣服，被老婆骂个半*！哎........
t***3,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-09 17:49:47,好评
僻***策,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-09 12:57:21,非常满意！
t***2,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-09 10:40:26,不大不小刚刚好
l***i,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-08 21:02:57,老公挺喜欢的，他喜欢就好
温***甘,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-08 17:46:09,99元入手。
s***a,颜色:57 深橄榄色;尺码:165/72A/S,2021-02-06 19:23:51,一直都喜欢购买优衣库的衣服，质量始终不错！
孟***滔,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-06 13:18:13,整体评价：裤子布料还可以，修身码号很合适，不宽不松，有裤带也能用腰带，不过容易沾毛，很怕油，碰到水也比较明显，穿起来挺舒服的
w***r,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-05 09:47:02,不错
t***9,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-04 23:57:57,不错
t***5,颜色:57 深橄榄色;尺码:180/96B/XL,2021-02-04 19:59:29,180  85KG很合身
清***鲜,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-04 08:50:19,颜色稍微深了点
t***0,颜色:57 深橄榄色;尺码:170/80A/M,2021-02-03 09:55:01,好
小***1,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-02 17:36:53,买的时候没看清是紧身款，不过他比较瘦，还挺合适
深***子,颜色:57 深橄榄色;尺码:175/88A/L,2021-02-02 15:40:34,好评(o^^o)。
s***0,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-31 17:32:02,好
d***g,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-30 18:02:39,东西收到了，质量不错，第一次买，感觉还不错，以后会长来的
管***观,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-30 16:50:57,质量一般，不算很好
x***a,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-30 12:31:39,宝贝收到了，和描述一样，很喜欢
k***e,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-30 11:14:44,比店里薄
t***8,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-29 09:31:05,弹力恰到好处，穿起来很舒服
s***3,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-28 22:16:43,不错
p***0,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-28 22:07:17,好
t***1,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-28 21:50:01,Comfortable
t***5,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-27 23:29:01,很薄适合夏天穿 厚薄度：薄
y***c,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-27 20:53:31,标签皱巴巴的  这是放了多久了
小***0,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-27 20:06:13,衣服质量还可以，就是物流太慢，收了15块钱的快递费就随便给圆通送过来就行了。
y***u,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-27 07:16:43,好评
h***n,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-26 19:55:46,超级棒啊，身高170厘米，体重160斤，上身完美
l***9,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-25 18:00:06,很好
秋***白,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-25 14:57:27,开始还担心颜色，结果收到意外的不错，非常显腿瘦
s***w,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-24 17:33:40,不错，还可以
曾***娟,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-24 16:28:52,******，说半天都不说话
t***1,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-23 14:48:53,无敌
l***0,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-22 15:32:02,满意满意满意满意满意
l***v,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-22 10:52:00,哈哈哈哈哈哈哈哈哈&hellip;&hellip;好好好好好好好好好&hellip;&hellip;牛牛牛牛牛牛牛牛牛牛牛&hellip;&hellip;GOODGOODGOODGOOD&hellip;&hellip;厉害厉害厉害厉害厉害厉害厉害厉害&hellip;&hellip;棒棒棒棒棒棒棒棒棒棒&hellip;&hellip;嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎&hellip;&hellip;嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿&hellip;&hellip;
笑***双,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-21 21:06:47,不错
a***2,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-21 20:45:49,优衣库的衣服质量很好，打折的时候买很划算，每次都是买一堆，大家要在每年这个时候买最优惠，买了好多年都买出经验来了，双十一，双十二活动，都没有这么优惠，一家人衣服都是优衣库。
巅***游,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-21 18:09:33,穿的很舒服，一次性买了两条
l***0,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-21 11:13:22,真的是垃圾店铺，出个满500送抱枕的活动，咨询N遍都不回复。店大欺客，呵呵呵！！！！
t***3,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-21 10:20:24,蛮好的，物美价廉，性价比高，快递速度快，推荐购买！
c***l,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-21 08:32:48,面料很有弹性
付***1,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-20 23:21:10,宝贝收到，包装完美。优衣库衣服质量杠杠滴，穿上大小合适尺寸也标准。面料穿上舒服多次回头客。快递也很给力。只得信赖  赞👍赞赞赞
n***f,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-20 22:58:31,废材
我***s,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-20 19:29:57,嗯好
段***寒,颜色:28 深橙色;尺码:180/96B/XL,2021-01-20 15:14:28,很舒服 价格很合适也好看
s***5,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-20 05:01:16,好评
谢***辉,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-19 22:16:24,好好，一直选择优衣库
t***9,颜色:57 深橄榄色;尺码:185/120C/XXXXL,2021-01-19 14:33:38,很不错，挺好的，号码偏大一些。
t***5,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-19 12:44:19,还不错，修身
a***a,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-19 09:41:56,质量不好，非常差，服务也差，半天没有人回复
汪***敬,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-19 09:15:15,很有弹性，挺高的合身
s***o,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-18 19:53:45,裤子面料有弹性，穿着舒适。
t***8,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-18 18:37:52,质量挺好，物流也很快，赞！发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！在这里选购安全方便快捷💜，快递小哥态度非常好，这个价格非常给力💪，十分推荐，会继续回购
s***y,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-17 22:43:41,不错哦
刘***鹤,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-17 22:16:38,不错👍物有所值，值得入手！
6***d,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-17 19:20:08,好
c***0,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-17 16:45:40,很好
q***3,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-17 16:02:58,起毛，变色
骑***5,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-17 13:32:07,粘灰粘毛非常严重！差评！弄都弄不掉，好不容易弄掉了，一会儿又粘了一裤子。
m***1,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-17 10:57:22,长了点
t***3,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-17 09:40:07,淘宝下单去店里自提的，主要是为了改裤长方便。但是人太多等了快一个小时有点崩溃。
很***我,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-16 13:19:58,粘毛，烦人
李***海,颜色:28 深橙色;尺码:180/96B/XL,2021-01-16 10:01:39,价格优惠，品质优秀
w***4,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-15 14:33:29,可以
陈***娟,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-14 20:37:10,面料柔软，整体发白，颜色不是很正，特别缝旁边更加显白。适合春秋穿，裤长偏长一点。
正***6,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-14 17:35:49,裤子不错，挺有型的，就是推荐的尺码略大一点
墨***4,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-14 14:33:54,不错
墨***4,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-14 14:30:23,不错
兔***夭,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-13 19:39:16,不错的。。。。
x***n,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-13 19:14:18,物美价廉，物流给力，值得回购真的超级喜欢，质量非常好，与卖家描述的一致！
a***u,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-13 18:40:03,这个裤子质量很好 比另一款防风款的要舒服 弹力也很大 男朋友182 83 腿比较细 穿L正好
t***2,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-13 14:24:48,裤子很好性价也高就是长了点
芳***牛,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-13 13:44:53,性价比高，很好
梅***刀,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-12 19:11:12,哼哼哼 啊啊啊啊啊啊啊啊
z***9,颜色:28 深橙色;尺码:180/96B/XL,2021-01-12 17:50:17,赞一个好东西~
爱***房,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-12 16:25:50,很好看五分好评！
爱***房,颜色:28 深橙色;尺码:170/80A/M,2021-01-12 16:25:50,很好看五分好评！
j***6,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-12 15:21:31,有些瘦，但是弹性真的很好
w***6,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-12 10:43:14,好评！裤子刚好，柔软很舒服。
刘***嘉,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-12 08:35:00,手感舒服
幸***9,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-11 18:41:55,99入手合适，身高168体重70，M码腰有点低裆有点浅，L码应该舒服
李***山,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-11 08:58:44,很薄，适合春夏穿，屯了。
g***6,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-11 06:52:18,1.85  80kg穿这个号正合适
z***9,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-10 22:00:03,赞一个好东西~
j***9,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-09 13:01:07,质量非常好，穿着非常舒服，99特价买的太划算了。
晓***0,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-08 22:37:29,尺码推荐：173cm买m码正好
豆***4,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-08 21:41:45,175体重145刚刚好，就是颜色不好看，如果是有黑色就好了
s***d,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-08 17:42:37,nice
q***3,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-08 10:24:32,这条裤相当合身，性价比非常合理，满意，5分评价
h***8,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-07 09:19:35,偏薄 留着夏天穿吧
花***忆,颜色:57 深橄榄色;尺码:165/72A/S,2021-01-06 23:31:07,很合身，墨绿也很好看
梦***2,颜色:28 深橙色;尺码:180/96B/XL,2021-01-06 16:38:37,面料很舒服，尺码相当合适，物美价廉，非常开心!
t***0,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-06 16:30:51,叔叔35岁，穿着还行，身高184体重85公斤。他腿粗，比我爸瘦一点，这条裤子看着很显身高。上衣xl，我小叔也太帅了。
s***1,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-06 14:29:36,胜在性价比
t***0,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-06 04:01:05,不错
小***9,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-05 19:24:20,炒鸡合适
x***9,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-05 15:32:11,常青款产品，99可以入手了，橄榄绿还可以，也好搭
l***s,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-05 14:31:05,磁力扣没取下来，与客服联系，可是各种机器人回复，人工客服在哪？
淘***名,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-05 03:20:40,衣服不错啊 比较喜欢优衣库
猱***5,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-04 22:18:49,好评！！！！！！！！！！！！！！！！！
桃***1,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-04 21:03:23,面料不错 柔软 弹力也可以，第一次买优衣库的东西。腰大了一点，没有35的 34偏小36偏大
锋***子,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-04 20:08:41,好评
闲***山,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-04 20:01:22,优衣库的裤子很稳，这次感觉买大了一点，完全可以根据自己的身高来选择。衣服上身效果还是不错的。
福***明,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-04 19:06:00,快递公司把件弄丢了，再找回送到时包装已拆开，表签已撕了，一次不好的体检，耽误很久时间，客服一直不理！！
s***8,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-04 17:14:18,物美价廉，东西不错。
t***4,颜色:57 深橄榄色;尺码:180/96B/XL,2021-01-04 14:55:01,给老公又买了几条，这款材质很合身很舒适
张***1,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-04 07:54:55,不错
诚***芒,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-03 21:02:20,买一条试穿了还不错，可惜颜色选择少，再买一条同颜色的。
r***z,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-03 09:57:06,还不错，挺好的，比较合身
t***8,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-02 19:42:35,裤子很好，穿着很舒服，好评
w***8,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-02 18:25:29,不按地址派送一律差评
j***7,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-02 13:18:20,不错不错
悬***影,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-02 12:13:01,首先，产品总体不错，物美价廉，包装精美，性价比高，绝对物有所值；其次，商家服务很好，能够细心的解答买家的各种问题，很有耐心；最后，快递很快，并及时通知取件。
l***5,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-02 12:12:41,好好好好好好好好喜欢
t***2,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-02 11:42:18,OK
k***1,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-02 11:12:07,客服服务态度很好，快递也不赖，希望老板生意越来越好！！！宝贝做工真的非常精细，细节真的棒，爱了爱了大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！
海***2,颜色:57 深橄榄色;尺码:170/80A/M,2021-01-01 21:46:39,厚薄度：薄 面料品质：滑 尺码推荐：175/120-M
