displayUserNick,auctionSku,rateDate,rateContent
h***8,颜色:68 深蓝色;尺码:165/76A,2021-03-05 11:18:47,质量好
张***9,颜色:65 宝蓝色;尺码:165/72A,2021-03-05 07:55:10,价格便宜质量好，一直都穿这款
尘***后,颜色:65 宝蓝色;尺码:165/76A,2021-03-04 21:46:07,非常满意。没味道，穿起来不错，很有弹性。99非常值
尘***后,颜色:09 黑色;尺码:165/76A,2021-03-04 21:46:07,此用户没有填写评论!
w***0,颜色:68 深蓝色;尺码:170/78A,2021-03-04 15:00:46,好评
w***0,颜色:09 黑色;尺码:170/78A,2021-03-04 15:00:31,好评
l***q,颜色:09 黑色;尺码:160/70A,2021-03-04 14:45:35,173的女孩子居然也可以穿！✌裤长优秀！就是这黑色布料粘毛！
t***7,颜色:65 宝蓝色;尺码:165/76A,2021-03-04 11:41:16,非常好
岁***雅,颜色:68 深蓝色;尺码:165/72A,2021-03-03 23:17:41,太长了吧哈哈，是我个子太低了
t***9,颜色:68 深蓝色;尺码:165/76A,2021-03-03 18:36:26,不错，挺好的
d***9,颜色:68 深蓝色;尺码:165/72A,2021-03-03 12:25:46,裤脚比较长，还需要自己裁剪下
艾***拉,颜色:65 宝蓝色;尺码:165/72A,2021-03-03 10:19:51,腰有点偏低
坠***坠,颜色:65 宝蓝色;尺码:165/72A,2021-03-03 08:59:54,好
t***6,颜色:65 宝蓝色;尺码:165/72A,2021-03-02 22:03:36,很好
t***1,颜色:65 宝蓝色;尺码:170/82A,2021-03-01 21:28:48,Good fit
t***3,颜色:65 宝蓝色;尺码:175/84A,2021-03-01 19:10:23,这两条牛仔裤买的很值 款式 面料 做工 都不错
w***5,颜色:65 宝蓝色;尺码:165/76A,2021-03-01 11:14:37,此用户没有填写评论!
1***夫,颜色:68 深蓝色;尺码:165/76A,2021-03-01 01:38:01,可以bhbbgghhhj
暮***w,颜色:65 宝蓝色;尺码:165/76A,2021-02-27 16:35:34,第一次买优衣库的牛仔，弹性很大，根据参数买正好合身，99要什么自行车，太完美了。
t***3,颜色:68 深蓝色;尺码:165/76A,2021-02-25 22:20:18,褪色严重！
t***7,颜色:68 深蓝色;尺码:170/78A,2021-02-25 19:43:55,商品质量很好，无线头，零瑕疵！
无***愁,颜色:09 黑色;尺码:170/78A,2021-02-25 19:18:59,太粘毛了，看着很恶心，第一次差评
w***4,颜色:09 黑色;尺码:160/70A,2021-02-25 13:29:32,会粘毛，本来想退的 没有之前买的另一个系列好。 那个黑色不会粘毛
刘***1,颜色:09 黑色;尺码:165/76A,2021-02-25 09:29:04,优衣库的衣服，一如既往的好穿着合身，裤子质量很好，适合大长腿
成***勇,颜色:65 宝蓝色;尺码:160/70A,2021-02-24 22:34:25,好
m***d,颜色:65 宝蓝色;尺码:160/70A,2021-02-24 18:09:06,上身效果：修身显瘦 厚薄度：适合广东春天穿着 尺码推荐：170cm60kg腰围刚刚好 面料品质：柔软舒适 材质特性：有弹性不紧绷
东***者,颜色:09 黑色;尺码:170/78A,2021-02-24 16:50:06,特别吸毛，推荐换个颜色再买
s***9,颜色:65 宝蓝色;尺码:165/76A,2021-02-24 11:53:08,好
s***2,颜色:68 深蓝色;尺码:165/76A,2021-02-24 04:24:33,很长需改裤脚，175cm/66kg男性穿165/76A这款腰偏紧，老公喜欢就留下了，我要给他留意78A的再拍，他等不及了，如再长胖一点儿就穿不下啦！哈哈😃
怒***n,颜色:65 宝蓝色;尺码:175/84A,2021-02-23 20:15:39,质量不错，就是裤腿长了还比较喜欢
n***y,颜色:68 深蓝色;尺码:165/76A,2021-02-23 13:51:58,今天收到货后，试了一下，特别好，修身，不肥不紧。我是按照尺寸表数据选择的，比客服推荐小了一码。
c***w,颜色:68 深蓝色;尺码:165/76A,2021-02-21 13:57:29,材质很不错，不是粘毛的，这个深蓝颜色看起来很有质感的感觉
d***0,颜色:68 深蓝色;尺码:160/70A,2021-02-19 14:52:57,价廉物美，就是有的款式没货了
t***6,颜色:09 黑色;尺码:175/86A,2021-02-17 19:39:45,第一次买优衣库的裤子，这条裤子感觉面料很好，穿着有弹性，舒适，比刚上市时便宜了200元，真的很划算。
q***y,颜色:65 宝蓝色;尺码:165/76A,2021-02-17 11:33:25,很合适，果然很有弹性
轻***0,颜色:68 深蓝色;尺码:170/78A,2021-02-17 11:10:55,好好好好好好好好好
武***脑,颜色:68 深蓝色;尺码:165/76A,2021-02-15 18:55:47,这活动力度太给力了，实体店都遇不到这样的折扣，299的裤子下单仅需99还包邮，遗憾的是HEATTECH系列没有货。
武***脑,颜色:65 宝蓝色;尺码:165/76A,2021-02-15 18:55:47,这活动力度太给力了，实体店都遇不到这样的折扣，299的裤子下单仅需99还包邮，遗憾的是HEATTECH系列没有货。
2***王,颜色:68 深蓝色;尺码:165/76A,2021-02-14 11:17:00,裤子退色太严重
东***6,颜色:65 宝蓝色;尺码:165/72A,2021-02-12 21:55:04,这个的话稍微长一点，但是可以穿，裁剪一下更好
d***y,颜色:09 黑色;尺码:165/76A,2021-02-12 20:50:51,质量好，款式好看
c***3,颜色:09 黑色;尺码:170/82A,2021-02-10 18:37:17,比商场买的别的牌子好多了，又便宜质量又好，老公175－150，170只能单穿，还稍紧，但是他喜欢！
依***心,颜色:65 宝蓝色;尺码:175/84A,2021-02-09 18:43:13,身高174 体重125斤  这个尺码非常好，买大一码，裤子偏长，截完紧身版型变修身，还比较有弹性，近些年来很完美的裤子了。如果这个材质直接出个修身版型的就更完美了。
肆***买,颜色:65 宝蓝色;尺码:170/78A,2021-02-08 16:27:09,175/135穿这个码合适，颜色正，有弹力，薄厚适中。就是太长啦，得多瘦多高的人才能穿啊，也就超级模特了  整体评价：质量好 材质特性：弹力 上身效果：紧身 尺码推荐：175/135 厚薄度：适中 面料品质：棉加弹力
s***6,颜色:68 深蓝色;尺码:170/78A,2021-02-06 19:30:54,身高180，体重165，这个码是刚刚好的，裤腰刚好不用系皮带，紧身，裤脚长点穿切尔西刚好，千万别学我买，因为我上身很胖下身很瘦，哈哈挺好
