displayUserNick,auctionSku,rateDate,rateContent
c***r,颜色:65 宝蓝色;尺码:180/90B,2021-03-05 09:27:43,可以，我老公身高185，体重160多斤穿了很合适
t***3,颜色:06 铅灰色;尺码:175/88A,2021-03-04 22:36:38,微弹，买小一码或更适宜
小***集,颜色:06 铅灰色;尺码:175/84A,2021-03-03 16:47:28,148斤，这个码数正好，里面还可以套个绒裤，裤子弹性很大，下蹲没有束缚感，如果喜欢宽松的还可以大一个码。
m***g,颜色:06 铅灰色;尺码:175/86A,2021-03-03 16:39:13,终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的
m***4,颜色:65 宝蓝色;尺码:175/86A,2021-03-03 13:41:54,线下没有码了，才来线上买的，很好
n***s,颜色:67 海蓝色;尺码:165/74A,2021-03-03 08:44:25,好评！
t***2,颜色:65 宝蓝色;尺码:170/82A,2021-03-02 16:39:12,牛仔裤中最舒适的一款，柔软、弹性足。
g***恒,颜色:65 宝蓝色;尺码:180/90B,2021-03-01 14:01:14,一个字，神
g***锦,颜色:65 宝蓝色;尺码:170/82A,2021-03-01 10:02:23,果然修身的不能买170/82，有点紧，裤腿又有点长
雨***3,颜色:06 铅灰色;尺码:175/84A,2021-02-27 21:12:00,很喜欢，舒适！
咕***吧,颜色:67 海蓝色;尺码:165/74A,2021-02-26 11:52:40,裤腿是真的长
琴***越,颜色:65 宝蓝色;尺码:180/90B,2021-02-26 11:13:00,身高178 体重90 有肚子 穿这个码合适略宽松 可以套绒裤 特别舒服
t***1,颜色:06 铅灰色;尺码:170/82A,2021-02-25 13:16:37,弹力很足 上身无约束感
s***7,颜色:06 铅灰色;尺码:175/86A,2021-02-24 22:30:22,穿着舒服，趁活动一次买两条
r***r,颜色:65 宝蓝色;尺码:180/90B,2021-02-24 21:35:57,这裤子半价很划算了，以前买的都没这么便宜&hellip;
意***a,颜色:65 宝蓝色;尺码:170/78A,2021-02-22 12:45:42,实体店没有货，网上之前没货，这又突然有货了
y***7,颜色:67 海蓝色;尺码:175/88A,2021-02-22 12:04:07,好。
南***5,颜色:06 铅灰色;尺码:175/88A,2021-02-22 10:07:27,老公刚拿到裤子试穿时一脸的嫌弃和不屑，他说这裤子太瘦了吧，结果一边穿表情慢慢晴朗，说：哎呀这裤子怎么这么这么舒服啊，也不是很瘦，哪哪都将将合适！1米75， 80公斤。
u***k,颜色:67 海蓝色;尺码:165/76A,2021-02-22 08:14:31,穿得舒服，挺好，码子正常
c***6,颜色:67 海蓝色;尺码:170/82A,2021-02-21 19:32:00,买了2条不同的裤子，不同的门店发来的，应该是门店卖不掉库存，裤子不错，但是标签纸稀烂，一看就在门店被试了N次，建议发货仔细检查下，标签烂的重新打
c***z,颜色:65 宝蓝色;尺码:175/86A,2021-02-21 12:44:22,夠厚，來年冬天的儲備
l***i,颜色:06 铅灰色;尺码:175/88A,2021-02-21 11:24:48,发货很快，不错，支持！
t***6,颜色:65 宝蓝色;尺码:175/84A,2021-02-20 17:57:26,挺好，喜欢基础款。
c***x,颜色:06 铅灰色;尺码:165/76A,2021-02-20 15:40:15,这款高弹的这个牛仔裤感觉上还可以，现在99元了，性价比也比较高。
z***n,颜色:65 宝蓝色;尺码:175/86A,2021-02-19 16:19:30,非常好，还会选择。值得推荐好东西。
t***6,颜色:06 铅灰色;尺码:175/86A,2021-02-19 11:41:02,给老公买了三件，每个颜色都买
暴***乐,颜色:67 海蓝色;尺码:170/78A,2021-02-19 11:01:53,弹性不错，内里薄绒，178公分，135斤，穿刚好，颜色略显旧
y***7,颜色:65 宝蓝色;尺码:175/84A,2021-02-19 08:43:37,没问题，老客户了，永远支持优衣库！
喜***傻,颜色:65 宝蓝色;尺码:170/82A,2021-02-15 13:25:43,本来很喜欢买优衣库的衣服，但是，这次的物流，态度
琴***越,颜色:65 宝蓝色;尺码:175/88A,2021-02-13 23:12:39,这条牛仔裤非常舒服 身高178厘米 体重90千克 穿175/88A正合适 不能套衣服了 穿180/90B能套冬天的绒裤
水***5,颜色:06 铅灰色;尺码:170/82A,2021-02-13 20:18:30,感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
j***y,颜色:65 宝蓝色;尺码:170/82A,2021-02-13 18:57:16,裤子是不错，就是有点长，还带防盗扣，客服也不半天不搭理人，退货也没人处理，佛啦！
明***5,颜色:06 铅灰色;尺码:170/78A,2021-02-13 17:03:16,里面有个细绒毛，弹性好
t***2,颜色:65 宝蓝色;尺码:170/78A,2021-02-12 21:35:25,客服服务态度很好，快递也不赖，希望老板生意越来越好！！！一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
t***1,颜色:06 铅灰色;尺码:175/84A,2021-02-12 09:36:51,好评好评。。
l***l,颜色:06 铅灰色;尺码:160/70A,2021-02-11 12:51:07,跟实体店买的一样  很喜欢   带毛毛  赶着打折给老公买的    优衣库的裤子感觉一直不错
我***一,颜色:65 宝蓝色;尺码:170/82A,2021-02-10 18:17:27,颜色特别浅，裤腿特别长，买的另一条到手便宜了100
魂***淡,颜色:65 宝蓝色;尺码:175/84A,2021-02-10 12:30:29,🉑宝贝收到了，很惊喜✨，设计合理，时尚大方，继续关注，以后会回购的❥❥❥
f***6,颜色:65 宝蓝色;尺码:170/78A,2021-02-10 07:47:23,看上的这款鲁能城购物中心店有货，服务超级好，很有耐心，并且免费改裤边，服务周到热情，表扬
蒙***咪,颜色:09 黑色;尺码:160/70A,2021-02-08 19:41:35,优秀
玉***2,颜色:06 铅灰色;尺码:180/90B,2021-02-07 21:53:25,不错
k***2,颜色:67 海蓝色;尺码:165/74A,2021-02-06 15:11:43,非常舒服的一条牛仔裤，终于等到5折入手，直接选门店自提，还能免费改一下裤长，方便快捷。
s***6,颜色:65 宝蓝色;尺码:165/76A,2021-02-06 09:05:35,终于等到这个价了，身高180，体重165，穿这个码刚刚好，不大不小不长不短，千万别学我，没有参考价值的，因为我上身胖下身瘦的，哈哈，挺好
