displayUserNick,auctionSku,rateDate,rateContent
薰***中,颜色:00 白色;尺码:175/100A/L,2021-03-04 21:26:07,合身
y***9,颜色:03 灰色;尺码:180/108B/XL,2021-03-04 20:13:48,很好
m***2,颜色:00 白色;尺码:175/100A/L,2021-03-04 19:43:23,物流太慢了，衣服还可以
z***4,颜色:00 白色;尺码:170/92A/M,2021-03-04 17:30:51,家里老人和中年人都买了，三次回购。
w***g,颜色:69 藏青色;尺码:170/92A/M,2021-03-04 17:15:50,太薄了
t***3,颜色:00 白色;尺码:185/112C/XXL,2021-03-04 14:08:32,吸汗很好，就是码数偏大
似***g,颜色:69 藏青色;尺码:175/100A/L,2021-03-04 14:00:23,柔软透气，优衣库一贯的质量
似***g,颜色:08 深灰色;尺码:175/100A/L,2021-03-04 14:00:23,柔软透气，优衣库一贯的质量
牢***湖,颜色:69 藏青色;尺码:175/100A/L,2021-03-04 11:46:55,好评！！！
牢***湖,颜色:56 橄榄色;尺码:175/100A/L,2021-03-04 11:46:55,很合身，做工也好，好评！！！
牢***湖,颜色:08 深灰色;尺码:175/100A/L,2021-03-04 11:46:55,好评！！！
胶***豆,颜色:09 黑色;尺码:170/92A/M,2021-03-04 06:32:29,好
t***3,颜色:69 藏青色;尺码:175/100A/L,2021-03-03 19:17:07,很好
子***亢,颜色:00 白色;尺码:175/100A/L,2021-03-03 18:10:31,质量很好
g***r,颜色:03 灰色;尺码:170/92A/M,2021-03-03 15:17:22,尺寸合适
爱***6,颜色:03 灰色;尺码:170/92A/M,2021-03-03 13:11:25,上身效果：好好
爱***6,颜色:08 深灰色;尺码:170/92A/M,2021-03-03 13:11:25,很好。
七***r,颜色:00 白色;尺码:185/112C/XXL,2021-03-03 12:46:36,好评
w***f,颜色:00 白色;尺码:170/92A/M,2021-03-03 10:25:29,好 白色有点透，不能单穿去室外。。。。 好 好 好
马***旋,颜色:00 白色;尺码:185/112C/XXL,2021-03-02 20:27:13,号有点大
x***8,颜色:00 白色;尺码:185/112C/XXL,2021-03-02 19:33:14,挺舒服的
t***2,颜色:08 深灰色;尺码:170/92A/M,2021-03-02 15:51:23,很一般
t***9,颜色:00 白色;尺码:180/108B/XL,2021-03-02 15:06:29,厚薄度：薄 老头喜欢凑运费买的
j***7,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 12:04:28,东西还得可以的，就是运费不能及时退还，或者干脆付款之前就去掉，有点店大欺客的嫌疑。
w***4,颜色:00 白色;尺码:185/112C/XXL,2021-03-02 11:36:04,薄款
w***9,颜色:03 灰色;尺码:180/108B/XL,2021-03-02 11:18:37,非常满意
a***6,颜色:03 灰色;尺码:175/100A/L,2021-03-02 08:52:46,第一次买优衣库，要看看。
