displayUserNick,auctionSku,rateDate,rateContent
a***9,颜色:02 浅灰色;尺码:165/84A/S,2021-02-28 15:44:17,可以。
虞***琴,颜色:05 天灰色;尺码:165/84A/S,2021-02-21 10:50:56,好不容易蹲到的s，年前买的现在才到。
l***3,颜色:02 浅灰色;尺码:170/92A/M,2021-02-12 17:10:48,很合身
小***蓝,颜色:05 天灰色;尺码:180/108B/XL,2021-02-10 16:29:31,天灰色比藏青色质量感觉耀好很多！尺码也很准！藏青色同尺码却比天灰色短了一两公分，费解！
小***蓝,颜色:69 藏青色;尺码:180/108B/XL,2021-02-10 16:28:31,藏蓝色跟天灰色同样的尺码，大身尺寸缺短了一公分多，费解，而且看包装就知道是店铺随便塞进来的！
青***1,颜色:02 浅灰色;尺码:175/100A/L,2021-02-10 01:06:40,质量好
w***o,颜色:45 柠檬黄色;尺码:165/84A/S,2021-02-07 21:39:30,身高167，体重92斤，s码还是合适的。衬衫优衣库，裤子优衣库。
b***8,颜色:45 柠檬黄色;尺码:175/100A/L,2021-02-07 16:00:45,太喜欢了
l***圆,颜色:45 柠檬黄色;尺码:165/84A/S,2021-02-02 10:29:40,蹲了好久的柠檬黄色.160/51
t***6,颜色:45 柠檬黄色;尺码:180/108B/XL,2021-01-30 22:33:13,非标喜欢！！！颜色很好看，很好搭配，很显白，质量很好
阿***9,颜色:45 柠檬黄色;尺码:180/108B/XL,2021-01-30 18:37:15,很喜欢，149的价格也很实惠
l***y,颜色:05 天灰色;尺码:165/84A/S,2021-01-30 10:13:50,第一次在淘宝买到破洞的衣服 残次品还能卖挺贵 优衣库真是👎
w***0,颜色:02 浅灰色;尺码:175/100A/L,2021-01-28 12:30:54,一如既往的好
t***7,颜色:45 柠檬黄色;尺码:180/108B/XL,2021-01-26 18:47:23,颜色非常好看！回购的
j***i,颜色:45 柠檬黄色;尺码:170/92A/M,2021-01-26 11:36:00,挺好的，很喜欢。
g***u,颜色:45 柠檬黄色;尺码:170/92A/M,2021-01-22 15:44:39,刚买1周就降价50元，购买的时候有保价险，但是根本不给你保价，真是店大欺客
3***糖,颜色:09 黑色;尺码:170/92A/M,2021-01-20 11:41:28,厚实
h***9,颜色:02 浅灰色;尺码:175/100A/L,2021-01-20 01:16:50,好评好评好评好评好评好评
农***鸡,颜色:02 浅灰色;尺码:160/76A/XS,2021-01-15 17:14:02,实体店打过样，152cm/52kg xs正好，宽松版
t***9,颜色:02 浅灰色;尺码:170/92A/M,2021-01-12 16:34:25,这是卖那件
a***s,颜色:69 藏青色;尺码:175/100A/L,2021-01-06 14:05:36,好
蜗***n,颜色:45 柠檬黄色;尺码:160/76A/XS,2020-12-31 20:27:58,去店里试过，就是偏大了，所以等到有这个**，就买了，好看
随***8,颜色:69 藏青色;尺码:170/92A/M,2020-12-31 11:00:41,买的第二件，很满意。
l***n,颜色:09 黑色;尺码:175/100A/L,2020-12-30 16:04:06,"东西不错的，质量挺好，与卖家描述的完全一致，非常满意,发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物不错，外观无明显磕碰，等试用后追评。"
堀***衣,颜色:09 黑色;尺码:175/100A/L,2020-12-28 01:58:27,179 72kg 给大家参考
