displayUserNick,auctionSku,rateDate,rateContent
祝***波,颜色:03 灰色;尺码:170/92A/M,2021-03-01 07:44:29,还不错
t***6,颜色:09 黑色;尺码:175/100A/L,2021-02-25 15:44:57,好
背***m,颜色:69 藏青色;尺码:180/108B/XL,2021-01-27 19:15:42,此用户没有填写评论!
寒***泠,颜色:45 柠檬黄色;尺码:175/100A/L,2021-01-21 12:54:24,材质特性：轻轻薄舒适。 厚薄度：便便携风衣当然是薄的。，
笨***明,颜色:03 灰色;尺码:175/100A/L,2020-12-13 12:13:02,此用户没有填写评论!
q***y,颜色:69 藏青色;尺码:170/92A/M,2020-12-12 22:55:51,不错，价优物美，可以入手。不错，价优物美，可以入手。不错，价优物美，可以入手。不错，价优物美，可以入手。
急***s,颜色:69 藏青色;尺码:175/100A/L,2020-12-11 15:05:59,此用户没有填写评论!
落***初,颜色:69 藏青色;尺码:175/100A/L,2020-12-11 12:21:04,此用户没有填写评论!
逝***轩,颜色:03 灰色;尺码:180/108B/XL,2020-12-09 10:58:17,合适
刺***伤,颜色:03 灰色;尺码:170/92A/M,2020-12-05 15:55:33,下图同款有买了不合适的转的联系我174 60  适合的尺码来
h***6,颜色:09 黑色;尺码:185/120C/XXXL,2020-12-04 00:55:15,皮肤衣貌似优衣库是质量最好的。可是价格也是很贵啊。还没穿，不知道透气不透气。其他牌子的皮肤也肯定不行。
s***3,颜色:69 藏青色;尺码:170/92A/M,2020-12-01 22:01:21,太好了
f***r,颜色:09 黑色;尺码:175/100A/L,2020-11-30 15:40:59,等到双十一买的，比平常便宜了一点。
y***1,颜色:69 藏青色;尺码:175/100A/L,2020-11-28 22:04:05,来年穿
2***q,颜色:69 藏青色;尺码:175/100A/L,2020-11-28 12:44:06,双十一有满减，挺划算的
t***0,颜色:03 灰色;尺码:175/100A/L,2020-11-28 07:06:23,还可以。。。。。。。。。。。。。。
儒***0,颜色:69 藏青色;尺码:175/100A/L,2020-11-27 22:15:02,"宝贝收到了，卖家发货很快，物流也非常给力,客服服务态度极好，很有耐心、给人一种亲切感，好喜欢。还有包装精美，高端大气上档次;看得出来商家很用心。宝贝真心不错，与图片相符，没有任何差异，真的是物超所值，物美价廉啊。质量很好，下次还会再关顾!快递很给力，好评！发货快性价比高，给满分好评！我买东西习惯默默拍下，没有太大的问题是不会去询问客服，当然如果产品有问题，我是不会发表这条言论的。在此希望店主越做越好，回头客多多。很不错的购物体验，对比好多家最后选择了这家，值得推荐!还在犹豫的朋友们可以下手了!"
3***存,颜色:69 藏青色;尺码:175/100A/L,2020-11-26 22:31:42,此用户没有填写评论!
3***存,颜色:69 藏青色;尺码:170/92A/M,2020-11-26 22:31:42,此用户没有填写评论!
5***民,颜色:69 藏青色;尺码:175/100A/L,2020-11-26 19:47:15,很好的防晒衣，只是尺码不准，偏小，建议买大一**。永远也联系不上客服，还好可以在实体店更换。
l***1,颜色:03 灰色;尺码:175/100A/L,2020-11-26 11:26:10,比实体店便宜，质量也很好。
水***子,颜色:69 藏青色;尺码:185/120C/XXXL,2020-11-25 22:34:11,挺好！
x***3,颜色:09 黑色;尺码:185/120C/XXXL,2020-11-25 21:41:14,回购
y***c,颜色:69 藏青色;尺码:175/100A/L,2020-11-25 16:15:40,还可以，给家人买的，优衣库的质量还可以的
淘***2,颜色:09 黑色;尺码:175/100A/L,2020-11-24 21:56:07,已经在优衣库买了不下十来件这款便携式的夹克衫了，晚春早秋和夏季均能穿着，非常使用。
c***g,颜色:69 藏青色;尺码:165/84A/S,2020-11-24 21:12:48,好好好好
吃***子,颜色:03 灰色;尺码:175/100A/L,2020-11-24 17:10:31,双十一终于打折了
长***用,颜色:03 灰色;尺码:175/100A/L,2020-11-24 10:28:50,感觉挡风的领口比上一代加得太高了，除此之外的都很好，喜欢。
d***子,颜色:69 藏青色;尺码:175/100A/L,2020-11-23 16:58:19,刚好合身不错，材料轻薄，客服态度也还可以，就是很多事不够人性化，我以为优衣库应该会顾客至上来着，结果连商品未发货前都无法修改订单信息
太***e,颜色:03 灰色;尺码:175/100A/L,2020-11-23 16:01:22,挺好的，值得购买
