displayUserNick,auctionSku,rateDate,rateContent
m***4,颜色:11 粉红色;尺码:175/100A/L,2021-03-05 12:21:30,颜色有点暗
z***7,颜色:66 蓝色;尺码:170/92A/M,2021-03-05 09:39:42,165/104刚好宽松点
我***z,颜色:05 天灰色;尺码:170/92A/M,2021-03-04 21:27:03,不错的
姚***发,颜色:01 乳白色;尺码:175/100A/L,2021-03-04 16:00:52,挺好
海***然,颜色:30 浅米色;尺码:175/100A/L,2021-03-04 09:33:09,质量非常好的，可以买，不是托
薄***l,颜色:05 天灰色;尺码:180/108B/XL,2021-03-04 08:38:38,"185,170斤xl码合适"
佛***长,颜色:05 天灰色;尺码:185/120C/XXXL,2021-03-04 00:01:58,优衣库的天猫店挺香的，可以买到大码，就是物流速度真的不太行。
西***r,颜色:01 乳白色;尺码:175/100A/L,2021-03-03 20:46:50,本来想买米白的，选错颜色了nice to see you and your family and friends and family are friends with us and we are all in the same place and we
t***7,颜色:11 粉红色;尺码:165/84A/S,2021-03-03 20:46:30,多次购买、真心不错哦
天***7,颜色:11 粉红色;尺码:175/100A/L,2021-03-03 20:02:02,160斤选l
朵***果,颜色:11 粉红色;尺码:175/100A/L,2021-03-03 16:14:14,面料是纯棉的但是不瓷实，实物颜色一般吧
冰***娘,颜色:66 蓝色;尺码:180/108B/XL,2021-03-03 16:02:33,物有所值，值得购买吖
三***劫,颜色:66 蓝色;尺码:170/92A/M,2021-03-03 14:34:53,很好，舒服。
n***乐,颜色:09 黑色;尺码:170/92A/M,2021-03-03 11:03:02,好评！
夏***1,颜色:05 天灰色;尺码:170/92A/M,2021-03-02 19:26:54,卫衣起毛毛了😕
d***g,颜色:09 黑色;尺码:185/112C/XXL,2021-03-01 17:44:43,不错，挺好
溪***秀,颜色:66 蓝色;尺码:170/92A/M,2021-03-01 16:02:10,很好
沉***梦,颜色:11 粉红色;尺码:175/100A/L,2021-03-01 12:34:19,质量不错，到货速度快，赞一个
龙***4,颜色:08 深灰色;尺码:175/100A/L,2021-03-01 08:55:55,衣服里面白色吧部分掉毛非常严重  袖口也起球  质量非常差
l***7,颜色:66 蓝色;尺码:170/92A/M,2021-02-28 17:10:49,不错
爱***涵,颜色:66 蓝色;尺码:170/92A/M,2021-02-28 15:39:47,颜色绝了，自己门店买了，闺女也喜欢，有赶来买，在店里被追问了的款
孙***6,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-28 10:46:27,材质特性：材质一般，非常一般 面料品质：一般，很普通，甚至不太好 尺码推荐：身高188体重180斤2x宽松合适
m***8,颜色:05 天灰色;尺码:180/108B/XL,2021-02-28 09:25:39,好评就在那上班半身不遂那上班你是男的女的吧
楚***7,颜色:30 浅米色;尺码:175/100A/L,2021-02-27 22:28:53,挺喜欢的，不是我预想的那种材质，薄，适合春天
b***1,颜色:11 粉红色;尺码:165/84A/S,2021-02-27 19:58:31,👌
t***5,颜色:05 天灰色;尺码:180/108B/XL,2021-02-27 18:05:24,就是有点掉毛
t***i,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-27 15:09:26,衣服很满意。第一次在优衣库买衣服不了解尺码，淘宝客服细心解答退换问题，服务也很满意！ 五星好评！！！
俱***n,颜色:09 黑色;尺码:170/92A/M,2021-02-27 11:25:53,有点大
l***6,颜色:66 蓝色;尺码:165/84A/S,2021-02-27 10:48:49,颜色挺好的！
t***5,颜色:11 粉红色;尺码:165/84A/S,2021-02-27 09:16:16,洗后掉毛，掉毛也太难受了吧，到处都是
t***5,颜色:08 深灰色;尺码:170/92A/M,2021-02-27 09:16:16,洗后掉毛，掉毛也太难受了吧，到处都是
夏***7,颜色:66 蓝色;尺码:175/100A/L,2021-02-27 00:00:03,很好看，马上能穿了
s***1,颜色:05 天灰色;尺码:170/92A/M,2021-02-26 19:47:49,第二件了穿着挺舒服的
赖***琪,颜色:05 天灰色;尺码:165/84A/S,2021-02-26 19:01:13,很好，149到手
我***酒,颜色:66 蓝色;尺码:170/92A/M,2021-02-26 16:19:19,上身效果：非常滴棒
y***1,颜色:66 蓝色;尺码:180/108B/XL,2021-02-26 13:50:53,此用户没有填写评论!
u***y,颜色:09 黑色;尺码:175/100A/L,2021-02-26 11:20:25,ok
丹***存,颜色:66 蓝色;尺码:170/92A/M,2021-02-26 09:27:30,此用户没有填写评论!
c***亓,颜色:30 浅米色;尺码:185/120C/XXXL,2021-02-26 08:36:27,买大了
豆***也,颜色:66 蓝色;尺码:170/92A/M,2021-02-25 23:04:58,不错
打***儿,颜色:66 蓝色;尺码:175/100A/L,2021-02-25 21:04:02,很不错！
怡***魅,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-25 12:51:27,喜欢喜欢！
雨***5,颜色:30 浅米色;尺码:170/92A/M,2021-02-25 11:50:50,物超所值，版型非常好👍
v***e,颜色:66 蓝色;尺码:180/108B/XL,2021-02-25 10:58:31,不错，很合适
i***东,颜色:30 浅米色;尺码:170/92A/M,2021-02-25 00:15:46,好评
i***s,颜色:09 黑色;尺码:175/100A/L,2021-02-24 22:49:59,整体偏宽松，不厚且透气。有点粘毛但是整体满意。
4***y,颜色:09 黑色;尺码:185/112C/XXL,2021-02-24 20:31:57,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
t***8,颜色:11 粉红色;尺码:175/100A/L,2021-02-24 19:23:35,"LL内里不起球,尺😲寸合适,也舒服。哈哈哈🚩,色彩惊艳,袖口比较🍬宽。穿搭好看,厚薄度💌合适。穿上正好,男友🚭很喜欢。之前买过同款🌻黄色,上身效果不错。📦发的顺丰超级快,就是😫大点,就可以,质量和👺颜色都很好"
海***狗,颜色:30 浅米色;尺码:175/100A/L,2021-02-24 01:24:56,OK
c***4,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-24 01:17:41,很喜欢，不错不错
n***3,颜色:05 天灰色;尺码:170/92A/M,2021-02-23 17:58:15,175CM 73kg穿M
n***3,颜色:08 深灰色;尺码:170/92A/M,2021-02-23 17:58:15,175CM 73kg穿M
n***2,颜色:11 粉红色;尺码:175/100A/L,2021-02-23 15:22:37,没问题，无瑕疵
f***l,颜色:11 粉红色;尺码:170/92A/M,2021-02-23 14:10:03,洗好穿上第一天就落上油了 气*
挨***p,颜色:08 深灰色;尺码:170/92A/M,2021-02-23 12:09:23,好评
t***2,颜色:08 深灰色;尺码:165/84A/S,2021-02-23 06:50:28,不错
0***0,颜色:09 黑色;尺码:175/100A/L,2021-02-22 21:00:45,176-158这个尺码正好！
j***e,颜色:08 深灰色;尺码:170/92A/M,2021-02-22 19:06:50,品质保证！
t***猫,颜色:05 天灰色;尺码:170/92A/M,2021-02-22 16:21:01,此用户没有填写评论!
s***鹿,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-22 15:20:48,可以的
s***鹿,颜色:11 粉红色;尺码:185/112C/XXL,2021-02-22 15:20:48,还行
c***l,颜色:09 黑色;尺码:170/92A/M,2021-02-22 12:53:20,衣服挺合身，今年的暖冬，买来春节穿合适。
快***贝,颜色:30 浅米色;尺码:185/120C/XXXL,2021-02-22 12:06:09,一如既往的喜欢！
0***0,颜色:01 乳白色;尺码:175/100A/L,2021-02-22 10:11:37,印的颜色不均匀    有点花   一开始没注意    仔细看  有点脏
0***0,颜色:05 天灰色;尺码:175/100A/L,2021-02-22 10:11:36,还不错  好看  呼呼呼呼就哈哈哈哈哈哈
酸***1,颜色:05 天灰色;尺码:165/84A/S,2021-02-22 08:25:20,165.57穿正合适！好看！
z***杰,颜色:09 黑色;尺码:170/92A/M,2021-02-22 01:31:30,面料舒服，物美价廉，快递也快
豆***馍,颜色:11 粉红色;尺码:170/92A/M,2021-02-22 00:00:08,还行，记事以来第一次穿红色
林***9,颜色:05 天灰色;尺码:175/100A/L,2021-02-21 22:20:00,不错
怎***8,颜色:08 深灰色;尺码:170/92A/M,2021-02-21 18:56:15,此用户没有填写评论!
爱***3,颜色:05 天灰色;尺码:180/108B/XL,2021-02-21 18:17:49,很不错！！！！！
j***n,颜色:66 蓝色;尺码:175/100A/L,2021-02-21 14:45:29,满意喜欢
美***牛,颜色:30 浅米色;尺码:165/84A/S,2021-02-21 11:11:56,此用户没有填写评论!
美***牛,颜色:05 天灰色;尺码:170/92A/M,2021-02-21 11:11:56,此用户没有填写评论!
优***0,颜色:01 乳白色;尺码:170/92A/M,2021-02-21 10:27:14,不错
墨***士,颜色:11 粉红色;尺码:180/108B/XL,2021-02-20 20:47:37,正品，可以的
孤***y,颜色:01 乳白色;尺码:185/112C/XXL,2021-02-20 16:39:23,面料品质：和我在实体店看到的面料完全不一样。
z***0,颜色:30 浅米色;尺码:170/92A/M,2021-02-20 05:12:35,工
茂***晶,颜色:11 粉红色;尺码:180/108B/XL,2021-02-20 03:19:07,此用户没有填写评论!
微***8,颜色:30 浅米色;尺码:180/108B/XL,2021-02-20 00:56:48,帅气
东***召,颜色:66 蓝色;尺码:175/100A/L,2021-02-19 20:10:44,此用户没有填写评论!
你***1,颜色:05 天灰色;尺码:180/108B/XL,2021-02-19 16:19:36,质量很好
碎***布,颜色:05 天灰色;尺码:170/92A/M,2021-02-19 13:45:20,好
d***5,颜色:11 粉红色;尺码:170/92A/M,2021-02-19 11:41:58,好。
我***鞋,颜色:11 粉红色;尺码:185/120C/XXXL,2021-02-19 09:36:22,衣服挺大 挺不错
望***龙,颜色:08 深灰色;尺码:175/100A/L,2021-02-19 07:50:50,此用户没有填写评论!
1***s,颜色:66 蓝色;尺码:165/84A/S,2021-02-19 00:27:50,颜色很好看 是棉质的很舒服
紫***h,颜色:11 粉红色;尺码:165/84A/S,2021-02-18 22:03:46,好评
我***道,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-18 20:15:44,柔软宽松，感觉有点偏大
李***0,颜色:05 天灰色;尺码:180/108B/XL,2021-02-18 19:48:26,套到牛仔衣里还不错哦
八***然,颜色:11 粉红色;尺码:185/112C/XXL,2021-02-18 16:59:56,版型好，也舒服。优衣库还是省心
龟***耶,颜色:05 天灰色;尺码:170/92A/M,2021-02-18 15:58:38,可
w***烽,颜色:08 深灰色;尺码:170/92A/M,2021-02-18 12:55:54,很贴身
凉***熊,颜色:05 天灰色;尺码:175/100A/L,2021-02-18 11:41:56,衣服不错，值得购买，170cm 76kg穿l刚好合适，配牛仔外套好看
大***卖,颜色:66 蓝色;尺码:175/100A/L,2021-02-18 10:19:04,优衣库的衣服性价比很高呀
大***卖,颜色:11 粉红色;尺码:170/92A/M,2021-02-18 10:18:16,很喜欢的颜色
o***0,颜色:09 黑色;尺码:160/76A/XS,2021-02-18 09:48:47,很好很满意
周***8,颜色:05 天灰色;尺码:180/108B/XL,2021-02-17 18:35:04,很好！很满意
t***6,颜色:30 浅米色;尺码:175/100A/L,2021-02-17 12:19:03,柔软，厚实，舒适，好看
c***e,颜色:01 乳白色;尺码:175/100A/L,2021-02-17 12:05:32,面料很舒服
今***a,颜色:66 蓝色;尺码:170/92A/M,2021-02-17 11:31:18,挺好的
小***哇,颜色:30 浅米色;尺码:175/100A/L,2021-02-17 00:07:23,特别好，布料很柔软
z***3,颜色:05 天灰色;尺码:180/108B/XL,2021-02-16 16:40:39,此用户没有填写评论!
恒***潇,颜色:30 浅米色;尺码:180/108B/XL,2021-02-16 15:26:53,很好
j***冉,颜色:09 黑色;尺码:180/108B/XL,2021-02-16 14:08:30,女 170 110斤 xl 绝了 好看 个人喜欢卫衣不要买加太厚绒的 喜欢喜欢
t***0,颜色:66 蓝色;尺码:170/92A/M,2021-02-16 13:24:57,不错不错，身高175.体重80kg
为***术,颜色:09 黑色;尺码:175/100A/L,2021-02-16 11:52:51,很好！很合适～
s***o,颜色:11 粉红色;尺码:175/100A/L,2021-02-16 11:05:46,此用户没有填写评论!
s***o,颜色:66 蓝色;尺码:175/100A/L,2021-02-16 11:05:46,此用户没有填写评论!
初***色,颜色:66 蓝色;尺码:180/108B/XL,2021-02-15 22:55:38,颜色很正  喜欢
丢***7,颜色:09 黑色;尺码:170/92A/M,2021-02-15 19:19:03,很好
十***安,颜色:30 浅米色;尺码:175/100A/L,2021-02-15 18:25:06,舒服好看！！！
f***y,颜色:11 粉红色;尺码:170/92A/M,2021-02-15 15:36:25,颜色好看 给家人买了好几件 出门像旅行团一样
k***3,颜色:05 天灰色;尺码:185/128C/XXXXL,2021-02-15 13:04:35,码数很合适，好看
t***2,颜色:11 粉红色;尺码:180/108B/XL,2021-02-15 12:12:21,还是很不错是
p***9,颜色:30 浅米色;尺码:165/84A/S,2021-02-15 11:38:14,很好很强大
t***1,颜色:05 天灰色;尺码:170/92A/M,2021-02-15 08:44:51,好穿，还挺厚实。
x***n,颜色:05 天灰色;尺码:180/108B/XL,2021-02-14 22:21:32,不过官方更丰富发发发发的
烙***烙,颜色:01 乳白色;尺码:170/92A/M,2021-02-14 21:56:45,很好很舒适但价格如果可以便宜一点就好了
零***9,颜色:66 蓝色;尺码:180/108B/XL,2021-02-14 17:11:33,可以
通***曲,颜色:09 黑色;尺码:170/92A/M,2021-02-14 16:56:03,东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错
通***曲,颜色:11 粉红色;尺码:170/92A/M,2021-02-14 16:56:03,东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错
阳***8,颜色:30 浅米色;尺码:165/84A/S,2021-02-14 15:21:30,好评！
h***2,颜色:30 浅米色;尺码:170/92A/M,2021-02-14 14:09:11,此用户没有填写评论!
猫***妹,颜色:09 黑色;尺码:170/92A/M,2021-02-14 14:03:06,好评
l***3,颜色:05 天灰色;尺码:170/92A/M,2021-02-14 13:18:50,比起那个设计师合作款，内里为毛圈，这样的缺点就是容易起球。衣裤一直都是优衣库，打折时性价比很高。
默***笙,颜色:11 粉红色;尺码:180/108B/XL,2021-02-14 12:28:00,这才是猛男该有的衣服
朴***街,颜色:30 浅米色;尺码:170/92A/M,2021-02-14 08:41:23,不错
小***0,颜色:09 黑色;尺码:170/92A/M,2021-02-13 21:25:57,很好
c***雄,颜色:05 天灰色;尺码:170/92A/M,2021-02-13 20:09:59,170，大概126斤，M码合身，建议跟我一样身材的选L，效果会更好！！
a***4,颜色:08 深灰色;尺码:175/100A/L,2021-02-13 19:17:18,尺码合适，面料柔软，但是起球，掉绒。一开始以为是洗衣机里其他衣服掉绒引起的，最后发现卫衣底下内搭的衣服上都是白色的绒，是内里掉绒。
小***b,颜色:05 天灰色;尺码:180/108B/XL,2021-02-13 17:58:51,质量好，穿着舒服
w***u,颜色:11 粉红色;尺码:180/108B/XL,2021-02-13 17:23:01,适合男生穿，颜色合适，尺寸也正好，穿着舒适，非特价入，还行，顺丰快递真快，大年夜到货，穿新衣。
q***6,颜色:09 黑色;尺码:165/84A/S,2021-02-13 17:18:52,很满意
秒***年,颜色:30 浅米色;尺码:180/108B/XL,2021-02-13 17:06:46,喜欢。。。。。。。。
花***3,颜色:11 粉红色;尺码:175/100A/L,2021-02-13 15:15:08,现在买衣服都买优衣库的多，性价比高，这件儿子穿得好看。
宇***g,颜色:05 天灰色;尺码:180/108B/XL,2021-02-13 14:34:57,相当棒，物流也快，过年穿新衣😁
我***来,颜色:05 天灰色;尺码:170/92A/M,2021-02-13 10:31:24,正好，好看啊哈哈哈哈哈哈哈哈哈
q***2,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-13 10:03:36,不厚
犹***o,颜色:05 天灰色;尺码:180/108B/XL,2021-02-13 09:19:35,优衣库的客服属实差劲
