displayUserNick,auctionSku,rateDate,rateContent
r***5,颜色:61 水蓝色;尺码:170/92A/M,2021-03-05 11:08:39,质感不错，值得信赖，春季刚刚合适
振***i,颜色:61 水蓝色;尺码:175/100A/L,2021-03-05 10:56:30,整体评价：在店里试过了来买的 很好的 颜色很正
改***0,颜色:61 水蓝色;尺码:160/76A/XS,2021-03-05 10:51:08,非常好，很满意的一次购物
萌***吴,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-03-05 09:36:46,永远的神 说累了 谁穿谁年轻～
t***5,颜色:61 水蓝色;尺码:175/100A/L,2021-03-05 08:44:42,颜色很好看
t***3,颜色:61 水蓝色;尺码:185/112C/XXL,2021-03-04 21:01:01,整体评价：不错 材质特性：全棉 舒服 厚薄度：适中，春秋穿
k***y,颜色:61 水蓝色;尺码:160/76A/XS,2021-03-04 20:04:31,不知道是不是仓底货，有点旧旧的
v***x,颜色:61 水蓝色;尺码:175/100A/L,2021-03-04 17:27:30,好看好看好看！
t***2,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-03-04 12:51:14,实物颜色深一些？
苏***晓,颜色:61 水蓝色;尺码:180/108B/XL,2021-03-04 11:21:43,很好的
z***5,颜色:61 水蓝色;尺码:185/112C/XXL,2021-03-04 05:15:55,穿上正正好好，舒服就完事了了！！
山***g,颜色:61 水蓝色;尺码:185/112C/XXL,2021-03-03 23:05:24,买给男朋友的 好好看哦嘻嘻嘻嘻嘻嘻
年***崽,颜色:61 水蓝色;尺码:180/108B/XL,2021-03-03 20:52:09,不是宽松款
爬***8,颜色:61 水蓝色;尺码:170/92A/M,2021-03-03 20:21:01,158cm，94斤，买的M码，宽松合适，颜色很好看
不***呀,颜色:61 水蓝色;尺码:165/84A/S,2021-03-03 16:44:25,穿上很好看惹
朵***果,颜色:61 水蓝色;尺码:175/100A/L,2021-03-03 16:14:15,不错
小***l,颜色:61 水蓝色;尺码:165/84A/S,2021-03-03 13:04:09,160-98我觉得再大一个码也好看
最***8,颜色:61 水蓝色;尺码:170/92A/M,2021-03-03 12:21:38,好看，显白，建议买大一点
轶***油,颜色:61 水蓝色;尺码:175/100A/L,2021-03-02 21:54:24,挺好
我***上,颜色:61 水蓝色;尺码:180/108B/XL,2021-03-02 21:06:09,送同学的生日礼物，同学👩&zwj;🎓很喜欢，说质量很好，穿着很舒服，颜色也很显肤色，感谢🙏为之付出的所有人们，辛苦了，祝您生意兴隆，生活幸福圆满。
0***0,颜色:61 水蓝色;尺码:180/108B/XL,2021-03-02 20:12:58,好
淼***1,颜色:61 水蓝色;尺码:185/112C/XXL,2021-03-02 16:39:09,厚薄度：买来做第一件情侣装，很好看，哈哈
明***3,颜色:61 水蓝色;尺码:170/92A/M,2021-03-02 14:46:19,非常喜欢
陈***4,颜色:61 水蓝色;尺码:165/84A/S,2021-03-01 21:42:57,不暗也不亮的蓝色，拍照绝美！ 建议拍大一码可以有oversize的感觉。
人***4,颜色:61 水蓝色;尺码:175/100A/L,2021-03-01 16:10:05,好看 就是太容易撞衫了
大***1,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-03-01 15:58:03,号码偏小 我身高188体重180穿这个号码正好 大家一定要买大一号的
墨***迹,颜色:61 水蓝色;尺码:175/100A/L,2021-03-01 15:56:36,特别好看 好穿 可以男女一起穿情侣装 还便宜 等到下次降价再买一双
t***4,颜色:61 水蓝色;尺码:175/100A/L,2021-03-01 14:31:30,不错还挺好看的  一直信赖优衣库 只不过有时候掉价太快了
q***3,颜色:61 水蓝色;尺码:170/92A/M,2021-03-01 12:46:25,穿着合适。
t***0,颜色:61 水蓝色;尺码:175/100A/L,2021-03-01 12:11:28,挺好
抱***爱,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-03-01 10:02:28,非常喜欢 和男朋友的情侣装
k***君,颜色:61 水蓝色;尺码:165/84A/S,2021-03-01 08:51:53,挺好的。
l***爷,颜色:61 水蓝色;尺码:180/108B/XL,2021-03-01 00:26:35,挺好的卫衣，好评，很合身
t***4,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-28 18:15:11,买来做情侣装的 尺码推荐：身高166 体重48kg 穿的175L码 男朋友身高180 体重71kg  穿180xL码
t***6,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-28 14:11:43,可以的  建议购买
x***马,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-28 11:32:57,质量还行
f***0,颜色:61 水蓝色;尺码:165/84A/S,2021-02-28 07:01:48,价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～😍发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了🎁非常漂亮，做工精细，颜值担当，非常方便，🔮喜欢的朋友可以下手！尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门&hellip;&hellip;这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！材质很好，质量也不错，到货也很快真心喜欢，颜色、款式都非常棒！包装很好，颜值不错，质量也没有问题宝贝物超所值，很喜欢，下次还会来的质量挺好，物流也很快，赞！😃大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！已经用过一段时间了，效果不错😍，客服
t***9,颜色:61 水蓝色;尺码:175/100A/L,2021-02-28 05:18:44,170 54kg穿着l宽松 m的我试过 很小 总体不错 蓝色的很小清新～
c***然,颜色:61 水蓝色;尺码:170/92A/M,2021-02-27 21:55:46,帽子有点容易往后跑。
李***1,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-27 21:00:38,尺码推荐：质量很好下次还会光顾的
l***7,颜色:61 水蓝色;尺码:170/92A/M,2021-02-27 16:59:55,上身效果：效果好面料舒适
依***馨,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-27 11:56:23,儿子自己选的，很放松的颜色，价格不便宜质量还行吧！儿子喜欢就行！
t***0,颜色:61 水蓝色;尺码:175/100A/L,2021-02-27 11:54:39,好看
t***0,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-27 11:54:39,好看
l***5,颜色:61 水蓝色;尺码:175/100A/L,2021-02-26 22:18:55,和图片没差，买来做情侣装
l***5,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-26 22:18:55,和图片没差，买来做情侣装
o***y,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-26 20:42:38,前置摄像头照着还是有点色差的，大小合适，样式很喜欢
f***t,颜色:61 水蓝色;尺码:175/100A/L,2021-02-26 20:33:43,不错
t***8,颜色:61 水蓝色;尺码:175/100A/L,2021-02-26 16:28:10,衣服好好看！在实体店没下手，在网上下手啦
t***7,颜色:61 水蓝色;尺码:175/100A/L,2021-02-26 12:55:11,此用户没有填写评论!
下***。,颜色:61 水蓝色;尺码:170/92A/M,2021-02-25 22:46:54,颜色超好看 就很奈斯
t***6,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-25 21:43:42,颜色很好看！质量感觉还可以，穿起来很合身
阳***虹,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-25 19:38:30,衣服图案好看，颜色比图片偏暗一点
s***糯,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-25 18:45:46,颜色特别好看，也很宽松
鼎***坊,颜色:61 水蓝色;尺码:175/100A/L,2021-02-25 07:25:34,图案好看。
t***9,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-25 01:34:26,不错呦
坚***5,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-24 22:21:38,好评
w***2,颜色:61 水蓝色;尺码:170/92A/M,2021-02-24 19:50:41,帽子太厚了。颜色还可以挺显白的就是帽子，洗了很不容易干。￼
w***2,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-24 19:50:41,颜色挺不错的，就是帽子，挺厚的洗了以后不容易干。
超***砍,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-02-24 19:22:07,好耶好耶好耶好耶好耶好耶
幸***8,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-24 18:47:39,U家衣服没话说，物美价廉。就是门店没有加大码，每次只能官网买
l***啦,颜色:61 水蓝色;尺码:165/84A/S,2021-02-24 18:41:59,超棒！！即使过年期间，也很快就发货送到了，五星好评！！
j***3,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-24 15:36:57,还行吧
t***5,颜色:61 水蓝色;尺码:170/92A/M,2021-02-24 13:56:23,整体评价：不错 上身效果：不错 尺码推荐：建议买大一码 厚薄度：春秋穿正合适（为什么后面字体变大了？）
q***3,颜色:61 水蓝色;尺码:175/100A/L,2021-02-24 12:24:40,很好，穿着很合身。厚薄适中。
我***宏,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-24 11:40:56,外套内衣都是优衣库 我爱优衣库 哈哈哈哈哈
不***g,颜色:61 水蓝色;尺码:170/92A/M,2021-02-24 11:18:32,好看的，160  94买M码合适
t***6,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-02-24 11:09:00,很好
许***n,颜色:61 水蓝色;尺码:175/100A/L,2021-02-23 22:51:08,雾霾蓝，穿起来感觉年轻了很多
b***p,颜色:61 水蓝色;尺码:175/100A/L,2021-02-23 22:06:08,好看！
c***y,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-23 16:03:01,上身效果：很好
娟***7,颜色:61 水蓝色;尺码:170/92A/M,2021-02-23 13:27:08,身高160，体重116穿Ｍ码正好，不喜欢太宽松，也不喜欢修身，这样的效果满意。
茜***道,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-23 11:42:53,整体评价：非常差的购物体验 在这家店买了两件衣服 为了凑够200包邮 购买24小时后 告知其中一件衣服无货强行要求退款 联系商家解决 几乎都是智能助手回答 好不容易联系上卖家 问为何购买成功却说无货 卖家却不予回答 联系平台进行投诉 平台告知先同意退款再后续进行解决 同意退款后 还未进行解决 平台强行告知已处理完投诉  不推荐这家店进行购买 这家店就是恶意刷单  也不与顾客进行任何沟通 选了其他衣服进行替换 因为店家自身&ldquo;缺货&rdquo;原因 不够200还要再次收取运费
t***0,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-23 11:09:23,这件卫衣挺好看的，关注了好些天一直不降价就买了，门店自提，😓当时没查看，拿回来就把标签🏷️给剪掉了，昨天穿上的时候，发现袖口有长约5㎝的地方没缝合好，有点膈应😂😂😂😂😂😂😂
爷***的,颜色:61 水蓝色;尺码:160/76A/XS,2021-02-23 09:35:55,喜欢 好穿 略贵 春秋
t***4,颜色:61 水蓝色;尺码:170/92A/M,2021-02-22 22:11:30,好看好看好看！！物流超级快
t***8,颜色:61 水蓝色;尺码:170/92A/M,2021-02-22 19:48:38,东西质量可以，很好看
一***子,颜色:61 水蓝色;尺码:165/84A/S,2021-02-22 18:07:00,非常不错 尺码很合适 质量好
f***6,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-22 14:22:13,挺好的
i***7,颜色:61 水蓝色;尺码:175/100A/L,2021-02-22 11:31:51,衣服好看的 喜欢宽松点的建议再买大一码。
g***g,颜色:61 水蓝色;尺码:160/76A/XS,2021-02-22 11:14:29,好看的
c***n,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-02-21 23:59:26,颜色很好看 穿着很宽松
哎***呀,颜色:61 水蓝色;尺码:175/100A/L,2021-02-21 15:43:47,此用户没有填写评论!
t***4,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-02-21 14:26:12,上身效果很不错，是春季薄款
t***0,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-02-21 12:22:13,衣服nice 就是发货太慢了估计是因为疫情或者春节的缘故 但是顺丰快递非常快
p***r,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-21 12:14:30,衣服很不错，穿着很舒服也很有型，出门被人夸了哈哈哈哈，暂时很满意
t***8,颜色:61 水蓝色;尺码:175/100A/L,2021-02-21 00:36:40,衣服质量不错，也很上身。
x***8,颜色:61 水蓝色;尺码:185/120C/XXXL,2021-02-20 22:25:25,男友很喜欢，大小也很合适，和实体店一样好～
我***蠢,颜色:61 水蓝色;尺码:165/84A/S,2021-02-20 21:06:14,材质特性：棉的  上身效果：可以 厚薄度：薄 面料品质：柔软
y***9,颜色:61 水蓝色;尺码:170/92A/M,2021-02-20 20:04:45,好看，漂亮，喜欢！
嘿***噗,颜色:61 水蓝色;尺码:170/92A/M,2021-02-20 17:22:49,号码偏小，建议买的时候比平时大一码，如果要宽松效果就大两码
e***w,颜色:61 水蓝色;尺码:175/100A/L,2021-02-20 16:51:50,买大了 肩膀那里显壮 袖子长了 懒得退了 或许可以试试鲨鱼裤 165 120
深***心,颜色:61 水蓝色;尺码:165/84A/S,2021-02-20 16:19:35,好 颜色实际要深一点 感觉我买大了
e***6,颜色:61 水蓝色;尺码:175/100A/L,2021-02-20 15:36:21,好看
天***嘞,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-20 14:43:57,颜色很清新
t***5,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-20 13:16:28,好看！上身效果超级棒！
想***见,颜色:61 水蓝色;尺码:160/76A/XS,2021-02-20 13:03:29,颜色没有差别。很显白 。版型是偏瘦的。你要买大一号也行
a***熙,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-20 11:28:05,身高164 体重104 XL 穿上刚好盖住可以光穿一个打底 我爱jmq  啊哈哈
q***7,颜色:61 水蓝色;尺码:175/100A/L,2021-02-20 09:11:09,好评
t***1,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-19 20:29:22,衣服很棒，颜色和版型都很奈斯
t***6,颜色:61 水蓝色;尺码:175/100A/L,2021-02-19 19:21:07,买的时候可以选宽松一点，很舒服，很好穿，很建议购买。
泥***7,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-19 17:08:20,早穿早享受！
s***8,颜色:61 水蓝色;尺码:175/100A/L,2021-02-19 16:37:01,包装很好，质量非常棒，宝贝完全符合卖家的描述，颜色孩子喜欢！
冉***1,颜色:61 水蓝色;尺码:175/100A/L,2021-02-19 15:43:54,此用户没有填写评论!
t***0,颜色:61 水蓝色;尺码:185/128C/XXXXL,2021-02-19 08:56:04,比想象中深了一点
酷***家,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-19 00:27:20,170 100 xl宽松
t***6,颜色:61 水蓝色;尺码:175/100A/L,2021-02-18 23:11:36,此用户没有填写评论!
今***5,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-18 20:18:48,衣服质量没的说  买大一码宽松
楠***啊,颜色:61 水蓝色;尺码:180/108B/XL,2021-02-18 15:27:57,很好
t***0,颜色:61 水蓝色;尺码:185/112C/XXL,2021-02-18 14:42:24,好看，合身，很显年轻
w***7,颜色:61 水蓝色;尺码:165/84A/S,2021-02-18 11:08:41,好看
