displayUserNick,auctionSku,rateDate,rateContent
寒***6,颜色:09 黑色;尺码:180/108B/XL,2021-03-03 16:42:30,摸着挺软的，有一点点味道，下摆不是宽松的，可以买大一码，整体还不错
寒***6,颜色:09 黑色;尺码:165/84A/S,2021-03-03 16:42:30,摸着挺软的，有一点点味道，下摆不是宽松的，可以买大一码，整体还不错
l***阳,颜色:09 黑色;尺码:160/76A/XS,2021-03-03 12:11:30,好评
牛***6,颜色:09 黑色;尺码:185/120C/XXXL,2021-03-02 07:07:03,好评
t***2,颜色:09 黑色;尺码:170/92A/M,2021-03-02 00:04:26,物流很快，衣服合身
s***4,颜色:09 黑色;尺码:185/112C/XXL,2021-03-01 21:20:18,喜欢，一直是优衣库的铁粉！
j***u,颜色:09 黑色;尺码:180/108B/XL,2021-03-01 15:39:30,给弟弟买的还不错
厉***侍,颜色:09 黑色;尺码:175/100A/L,2021-03-01 10:16:35,垃圾的一，洗完我直接扔了
p***7,颜色:09 黑色;尺码:185/112C/XXL,2021-03-01 08:48:07,男朋友很喜欢
t***2,颜色:09 黑色;尺码:170/92A/M,2021-02-28 14:50:04,整体评价：优衣库的品质一直很信赖 厚薄度：薄款 面料品质：优秀
t***2,颜色:09 黑色;尺码:175/100A/L,2021-02-28 14:50:04,厚薄度：薄款 面料品质：优秀 整体评价：优衣库的品质一直很信赖
吱***6,颜色:09 黑色;尺码:160/76A/XS,2021-02-27 22:51:19,太好穿了
雪***汪,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 21:31:21,版型真好
陈***5,颜色:09 黑色;尺码:185/112C/XXL,2021-02-26 16:53:33,客服建议加强。衣服退款来来回回折腾了一个多月！
l***4,颜色:09 黑色;尺码:185/112C/XXL,2021-02-23 02:42:27,还不错，穿着舒适
库***9,颜色:09 黑色;尺码:170/92A/M,2021-02-20 17:55:51,洗完以后变的好大真可怕
好***3,颜色:09 黑色;尺码:180/108B/XL,2021-02-10 11:57:08,款式很好看！等降价了再入一件
菲***8,颜色:09 黑色;尺码:185/112C/XXL,2021-02-09 16:41:28,还可以
花***世,颜色:09 黑色;尺码:175/100A/L,2021-02-07 23:52:15,质量还不错，买的尺码也很合适
嘿***啦,颜色:09 黑色;尺码:185/112C/XXL,2021-02-07 13:00:12,好 特别好
嘿***啦,颜色:09 黑色;尺码:175/100A/L,2021-02-07 13:00:12,好 tebiehao
孙***a,颜色:09 黑色;尺码:180/108B/XL,2021-02-03 16:30:41,质量非常好 尺码合适 性价比高
我***6,颜色:09 黑色;尺码:185/128C/XXXXL,2021-02-02 22:50:40,冲吧!!!!!冲起来!!!!!
高***攻,颜色:09 黑色;尺码:180/108B/XL,2021-01-30 20:20:10,面料挺舒服的，厚度适中
