displayUserNick,auctionSku,rateDate,rateContent
y***5,颜色:31 米色;尺码:170/92A/M,2021-03-04 22:44:24,挺好看的
桃***6,颜色:31 米色;尺码:170/92A/M,2021-03-02 17:01:41,160.108.M，喜欢宽松款
滴***啦,颜色:31 米色;尺码:170/92A/M,2021-03-01 22:18:19,好
阿***琳,颜色:31 米色;尺码:185/112C/XXL,2021-02-27 18:52:29,挺好的。有意向的朋友等打折，性价比更好。
清***然,颜色:31 米色;尺码:185/128C/XXXXL,2021-02-27 13:29:05,不错，质量也很好。
a***9,颜色:31 米色;尺码:170/92A/M,2021-02-25 21:41:13,很好！质量和颜色都好
t***9,颜色:31 米色;尺码:160/76A/XS,2021-02-25 15:08:22,第一次洗，还没穿就掉色了，做工一般
h***7,颜色:31 米色;尺码:175/100A/L,2021-02-25 11:49:31,蛮好的
t***2,颜色:31 米色;尺码:180/108B/XL,2021-02-25 09:01:28,好非常好
冷***灯,颜色:31 米色;尺码:170/92A/M,2021-02-22 22:13:48,实物颜色要深一个度，有点偏棕。身高174体重55kg肩宽37女生买M合适
t***9,颜色:31 米色;尺码:175/100A/L,2021-02-22 11:30:28,舒服
快***5,颜色:31 米色;尺码:185/120C/XXXL,2021-02-20 09:31:31,好看
阿***9,颜色:31 米色;尺码:185/128C/XXXXL,2021-02-20 06:49:12,款式新颖，值得信赖.
i***柔,颜色:31 米色;尺码:165/84A/S,2021-02-19 22:32:54,165推荐尺码S，也太小了吧，我163，46公斤，穿起来都觉得小。
何***6,颜色:31 米色;尺码:175/100A/L,2021-02-19 11:15:30,挺好的，给男朋友买的还没有看到现货只看到了图片，反正优衣库没啥可说的
过***的,颜色:31 米色;尺码:185/112C/XXL,2021-02-17 18:20:35,春节前期正常发货，给力！
d***6,颜色:31 米色;尺码:185/112C/XXL,2021-02-15 13:04:01,整体评价：宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢
佛***刘,颜色:31 米色;尺码:170/92A/M,2021-02-08 22:53:10,质感很好，满意
