displayUserNick,auctionSku,rateDate,rateContent
s***8,颜色分类:00 白色;尺码:170/95/M,2021-02-27 19:37:42,挺好的。
小***3,颜色分类:09 黑色;尺码:175/100/L,2021-02-26 17:31:24,哈哈哈这个好紧身，像健身教练似的哈哈哈
p***y,颜色分类:09 黑色;尺码:170/95/M,2021-02-23 21:07:43,不错的宝贝
t***7,颜色分类:00 白色;尺码:165/90/S,2021-02-03 19:31:01,衣服质量很好，下次还会回购
i***0,颜色分类:69 藏青色;尺码:180/105/XL,2021-01-19 21:25:23,好
将***l,颜色分类:69 藏青色;尺码:170/95/M,2021-01-12 14:15:05,测试
牛***粉,颜色分类:09 黑色;尺码:175/100/L,2021-01-05 08:55:31,很轻薄，家人满意。
飘***飘,颜色分类:09 黑色;尺码:165/90/S,2021-01-02 02:00:48,非常棒
飘***飘,颜色分类:00 白色;尺码:165/90/S,2021-01-02 02:00:48,喜欢！
_***_,颜色分类:09 黑色;尺码:180/105/XL,2020-12-29 22:32:31,好几次购买，触感很好
g***6,颜色分类:00 白色;尺码:180/105/XL,2020-12-27 14:04:13,睡觉穿舒服
小***葵,颜色分类:00 白色;尺码:170/95/M,2020-12-26 09:54:00,好
d***6,颜色分类:00 白色;尺码:175/100/L,2020-12-24 23:27:39,很棒
妮***1,颜色分类:69 藏青色;尺码:170/95/M,2020-12-22 22:06:19,薄薄的柔软，
冯***2,颜色分类:09 黑色;尺码:170/95/M,2020-12-18 09:30:06,好
千***寻,颜色分类:00 白色;尺码:180/105/XL,2020-12-17 14:46:54,必备背心
z***e,颜色分类:69 藏青色;尺码:175/100/L,2020-12-16 20:41:04,穿着挺舒服的。
t***8,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-16 11:26:45,轻薄最好再厚些
t***8,颜色分类:09 黑色;尺码:180/105/XL,2020-12-16 11:26:44,轻薄 做工可以
r***0,颜色分类:09 黑色;尺码:175/100/L,2020-12-15 16:17:20,nice
王***泽,颜色分类:09 黑色;尺码:175/100/L,2020-12-13 18:33:52,好
t***3,颜色分类:69 藏青色;尺码:175/100/L,2020-12-12 21:35:06,是不是发错货了，和我买的另外几件完全不是一个料子，这件的像薄薄光滑丝绸紧身衣。 黑色的是正常的。
s***苗,颜色分类:00 白色;尺码:170/95/M,2020-12-12 10:29:53,东西还可以 发货速度不错，服务态度好
幻***远,颜色分类:09 黑色;尺码:175/100/L,2020-12-11 19:42:34,比较透
遇***q,颜色分类:69 藏青色;尺码:170/95/M,2020-12-11 12:28:08,还可以
g***y,颜色分类:09 黑色;尺码:170/95/M,2020-12-11 11:35:09,多次购买，喜欢这款。
s***6,颜色分类:69 藏青色;尺码:175/100/L,2020-12-10 23:16:25,喜欢，很薄，夏天非常好
2***g,颜色分类:09 黑色;尺码:165/90/S,2020-12-10 16:38:32,帮朋友买的，她说质量很好👍
2***g,颜色分类:09 黑色;尺码:175/100/L,2020-12-10 16:38:32,帮朋友买的，她说质量很好👍
w***t,颜色分类:00 白色;尺码:165/90/S,2020-12-09 22:17:15,舒适
小***3,颜色分类:09 黑色;尺码:170/95/M,2020-12-08 10:08:04,质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的质量很好还会回购的
淘***王,颜色分类:09 黑色;尺码:180/105/XL,2020-12-08 09:01:10,面料很舒适！多次购买了！很喜欢！
l***0,颜色分类:00 白色;尺码:175/100/L,2020-12-07 20:52:02,挺好的！
r***4,颜色分类:00 白色;尺码:175/100/L,2020-12-06 20:08:24,多次购买了，面料很舒适，家里人很喜欢！
h***7,颜色分类:09 黑色;尺码:175/100/L,2020-12-06 15:20:49,好评
h***7,颜色分类:09 黑色;尺码:180/105/XL,2020-12-06 09:13:18,好评
i***生,颜色分类:09 黑色;尺码:170/95/M,2020-12-06 07:00:07,挺好的
f***2,颜色分类:00 白色;尺码:170/95/M,2020-12-05 00:34:36,最差的淘宝购物经历，官店寄来的衣服居然没有包装，窝成一个球，衣服上还有破洞，不知道谁家扔的旧抹布。换货还不能上门取货，还不能直接换货，还要重新下单，客服电话要不打不通，要不问了问题客服回答不出来，同城快递寄了五天，一颗星都不想给，呸恶心🤢
f***2,颜色分类:09 黑色;尺码:170/95/M,2020-12-05 00:33:33,最差的淘宝购物经历，官店寄来的衣服居然没有包装，窝成一个球，衣服上还有破洞，不知道谁家扔的旧抹布。换货还不能上门取货，还不能直接换货，还要重新下单，客服电话要不打不通，要不问了问题客服回答不出来，同城快递寄了五天，一颗星都不想给，呸
r***g,颜色分类:00 白色;尺码:180/105/XL,2020-12-04 00:42:56,很舒服~~airism系列都特别舒服
