displayUserNick,auctionSku,rateDate,rateContent
娟***2,颜色:69 藏青色;尺码:160/76A/XS,2021-03-03 22:24:00,可以。
易***u,颜色:00 白色;尺码:170/92A/M,2021-02-01 18:48:26,次品，包装简陋，买回来袖口上有洞
两***1,颜色:64 湖蓝色;尺码:180/108B/XL,2020-12-18 21:11:21,好
牛***j,颜色:64 湖蓝色;尺码:175/100A/L,2020-12-08 17:09:39,一般般
琳***淋,颜色:03 灰色;尺码:165/84A/S,2020-12-07 22:15:06,此用户没有填写评论!
琳***淋,颜色:69 藏青色;尺码:165/84A/S,2020-12-07 22:15:06,此用户没有填写评论!
世***活,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-30 16:51:43,一直在淘宝上买东西，总体体验非常好！质优价廉，品类齐全，服务到位。作为高级会员，多年客户，一直懒得评论，现在评论说明我对淘宝服务是比较满意的，也愿意推荐给大家
l***1,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-28 21:11:36,发货速度很快，卖家服务也好，目前很满意
y***w,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-24 12:08:13,这种材质的衣服已经买了好几次，透气舒服，就是穿久了，容易拉长
m***f,颜色:64 湖蓝色;尺码:180/108B/XL,2020-11-23 22:11:34,买给老人家的
w***2,颜色:64 湖蓝色;尺码:170/92A/M,2020-11-23 14:13:26,11月1日拍了4件商品，1件预定付尾款，3件直拍，直拍中2件质量问题，上衣左右肩宽长短差大，领摆歪，裤面有勾线脱线。付定金那件10号才收到，衣服胡乱塞袋内，内还有纸巾，恶心。联客服确认质量问题换货，要求不走天猫直寄回，11月11日到仓验收，12日联客服，已到仓会同双11新购2件商品一同寄出，再三强调仓库检验仔细出仓。到17日双11商品都收到了，换货商品迟迟未到，联客服，开始居然查不到，也无问题反馈记录，然后让我空等近二十分钟，我换客服，查到订单，专员反馈会马上走流程发货并补运费，后续再有质量问题承诺承担运费，收到商品，裤腿略有长短，接受。衣服依然同样质量问题，联客服，居然未过质检就直接告知不能退换！运费也未补，看商家是否诚信。客服有好有差！联小二。
n***3,颜色:09 黑色;尺码:165/84A/S,2020-11-18 12:22:39,皱巴巴的拧成一团寄过来，吊牌虽然还在，是不是别人退货退回来的？
q***a,颜色:64 湖蓝色;尺码:170/92A/M,2020-11-18 11:16:53,可以
j***7,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-14 16:09:30,申通物流在南通就是垃圾，建议卖家不要用申通物流发南通。
c***8,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-13 20:05:31,很舒服的材质，穿上很薄，适合运动
s***8,颜色:69 藏青色;尺码:165/84A/S,2020-11-11 14:57:27,感觉老款材质材质好，新款有减料的感觉
快***晶,颜色:64 湖蓝色;尺码:175/100A/L,2020-11-06 21:36:35,很好很好
蓦***去,颜色:09 黑色;尺码:160/76A/XS,2020-10-10 16:46:36,此用户没有填写评论!
x***r,颜色:64 湖蓝色;尺码:180/108B/XL,2020-10-07 17:04:20,蓝朋友说很好穿透气运动会穿
这***牛,颜色:00 白色;尺码:165/84A/S,2020-10-06 21:22:22,nice
这***牛,颜色:03 灰色;尺码:165/84A/S,2020-10-06 21:21:48,nice
邓***仔,颜色:64 湖蓝色;尺码:170/92A/M,2020-10-06 10:06:55,此用户没有填写评论!
f***1,颜色:64 湖蓝色;尺码:175/100A/L,2020-10-05 15:05:44,此用户没有填写评论!
f***1,颜色:00 白色;尺码:175/100A/L,2020-10-05 15:05:44,此用户没有填写评论!
小***鞋,颜色:64 湖蓝色;尺码:170/92A/M,2020-10-04 17:28:11,还行，价格小贵
小***鞋,颜色:53 草绿色;尺码:170/92A/M,2020-10-04 17:28:11,还行，价格贵了
t***y,颜色:69 藏青色;尺码:165/84A/S,2020-10-01 18:01:02,此用户没有填写评论!
丛***阳,颜色:09 黑色;尺码:170/92A/M,2020-09-29 08:36:27,还是那个优衣库
