displayUserNick,auctionSku,rateDate,rateContent
x***e,颜色:55 青绿色;尺码:175/100A/L,2021-03-05 08:46:44,非常好
a***子,颜色:03 灰色;尺码:165/84A/S,2021-03-04 16:52:31,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍🎁非常漂亮，做工精细，颜值担当，非常方便，🔮喜欢的朋友可以下手！
a***子,颜色:08 深灰色;尺码:165/84A/S,2021-03-04 16:52:31,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊质量挺好，物流也很快，赞！
啾***e,颜色:03 灰色;尺码:165/84A/S,2021-03-03 22:10:16,好穿
翠***0,颜色:55 青绿色;尺码:180/108B/XL,2021-03-03 18:38:14,好评！满意。多次回头了。推荐大家
翠***0,颜色:55 青绿色;尺码:175/100A/L,2021-03-03 18:36:16,非常好！正品！好评满意开心购物 多次回头了大爱优衣库哈
东***丶,颜色:55 青绿色;尺码:180/108B/XL,2021-03-02 22:24:22,嗯可以
风***嵩,颜色:69 藏青色;尺码:170/92A/M,2021-03-02 15:17:58,质量好 ，物有所值 ，值得购买 。
w***1,颜色:55 青绿色;尺码:170/92A/M,2021-03-02 08:49:32,舒适，性价比高！
w***9,颜色:69 藏青色;尺码:170/92A/M,2021-03-01 22:42:28,好，发货很快，质量很好，小哥真是神速，还会再来回购的，店家服务贴心，回复很及时，可以说非常的满意了哈。还会来回购哦。希望多出点优惠。质感很棒哦。小哥送货很快。
风***9,颜色:08 深灰色;尺码:165/84A/S,2021-03-01 08:59:43,打篮球穿刚好噢 大学里面吸引妹子😀😀😀
t***7,颜色:69 藏青色;尺码:170/92A/M,2021-03-01 03:46:36,好的很好的很好的很好的很好的很好的很好的很好的很好的很好的很
开***孩,颜色:55 青绿色;尺码:175/100A/L,2021-02-28 17:52:58,背心收到了，质量很好，穿着很舒服，很好看。
凤***鱼,颜色:55 青绿色;尺码:175/100A/L,2021-02-28 16:50:40,合身
a***9,颜色:55 青绿色;尺码:175/100A/L,2021-02-28 13:32:58,好，又下单一件黑色的
t***7,颜色:03 灰色;尺码:165/84A/S,2021-02-27 22:04:10,还不错的
z***0,颜色:08 深灰色;尺码:165/84A/S,2021-02-27 17:39:47,有小肚子，穿这种背心好搭配，还遮丑！
t***8,颜色:08 深灰色;尺码:165/84A/S,2021-02-26 19:21:10,包装也是差，无语了，一点都不值这个价钱
p***8,颜色:69 藏青色;尺码:170/92A/M,2021-02-25 23:21:14,好
p***8,颜色:55 青绿色;尺码:170/92A/M,2021-02-25 23:21:14,好
蔷***2,颜色:55 青绿色;尺码:165/84A/S,2021-02-25 18:54:01,买了五件了
三***啦,颜色:03 灰色;尺码:165/84A/S,2021-02-25 14:12:38,买的s码  170 116斤刚好
张***8,颜色:55 青绿色;尺码:180/108B/XL,2021-02-25 10:04:16,有色差 但实物颜色也不错
张***8,颜色:69 藏青色;尺码:170/92A/M,2021-02-25 10:04:16,好看
t***1,颜色:03 灰色;尺码:165/84A/S,2021-02-25 09:36:31,🉑
羊***d,颜色:03 灰色;尺码:165/84A/S,2021-02-24 22:51:53,好
啊***哟,颜色:36 褐色;尺码:170/92A/M,2021-02-22 23:08:31,配棕色头发好好看！就是里面要穿运动内衣侧边会宽
巩***5,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 21:08:00,不错，质地挺好，活动时买的
1***9,颜色:55 青绿色;尺码:170/92A/M,2021-02-22 17:26:48,太长了
我***3,颜色:69 藏青色;尺码:175/100A/L,2021-02-22 15:51:39,宝贝很好
我***3,颜色:55 青绿色;尺码:175/100A/L,2021-02-22 15:51:39,整体评价：宝贝很好，有穿背心的感觉
香***肾,颜色:08 深灰色;尺码:165/84A/S,2021-02-21 22:27:09,优衣库衣服质量就是好
w***3,颜色:55 青绿色;尺码:175/100A/L,2021-02-21 13:10:22,质量不错，很舒服，号码不能选大，第一次选大了，退了重新买的
无***2,颜色:36 褐色;尺码:170/92A/M,2021-02-20 17:04:23,上身效果很好，尺码合适，穿着很安心
d***尚,颜色:69 藏青色;尺码:170/92A/M,2021-02-20 09:33:15,质量不错，价格实惠
洛***凡,颜色:03 灰色;尺码:165/84A/S,2021-02-18 16:16:29,此用户没有填写评论!
t***1,颜色:03 灰色;尺码:165/84A/S,2021-02-18 09:49:17,舒服
s***t,颜色:03 灰色;尺码:170/92A/M,2021-02-18 00:04:45,凑单买的，还可以
赏***v,颜色:08 深灰色;尺码:165/84A/S,2021-02-17 21:56:54,不错便宜
c***n,颜色:55 青绿色;尺码:175/100A/L,2021-02-16 23:51:10,只買優衣庫的。
p***5,颜色:08 深灰色;尺码:165/84A/S,2021-02-16 22:00:04,尺码合适，非常舒适
p***5,颜色:55 青绿色;尺码:165/84A/S,2021-02-16 22:00:04,尺码合适，非常舒适
p***5,颜色:69 藏青色;尺码:165/84A/S,2021-02-16 22:00:03,尺码合适，非常舒适
帐***册,颜色:69 藏青色;尺码:165/84A/S,2021-02-15 10:57:29,172/60穿S刚好，去店里试过M有点长
我***啊,颜色:08 深灰色;尺码:165/84A/S,2021-02-10 22:57:58,好评
c***2,颜色:08 深灰色;尺码:165/84A/S,2021-02-10 16:22:28,好
一***狗,颜色:03 灰色;尺码:165/84A/S,2021-02-10 14:10:04,卫衣帽子有点不舒服，
你***刀,颜色:03 灰色;尺码:165/84A/S,2021-02-10 10:33:06,好
我***7,颜色:03 灰色;尺码:165/84A/S,2021-02-10 10:21:36,质量很好，尺码也刚好
我***嘟,颜色:55 青绿色;尺码:180/108B/XL,2021-02-09 22:13:11,还不错，挺好的，合身，穿着也挺舒服
l***1,颜色:55 青绿色;尺码:180/108B/XL,2021-02-09 15:52:36,感觉材质很不错！和实体店一样！
t***0,颜色:55 青绿色;尺码:180/108B/XL,2021-02-09 14:14:08,可以
小***野,颜色:55 青绿色;尺码:165/84A/S,2021-02-09 11:26:15,此用户没有填写评论!
小***野,颜色:08 深灰色;尺码:165/84A/S,2021-02-09 11:26:15,此用户没有填写评论!
我***l,颜色:03 灰色;尺码:170/92A/M,2021-02-09 11:24:43,发货快&hellip;&hellip;&hellip;&hellip;
我***忠,颜色:08 深灰色;尺码:165/84A/S,2021-02-08 23:07:42,刚买就降价，客服也不处理，我真的恨*了这优衣库的客服，服务态度简直就是辣鸡，买的时候39，也不退差价
璐***金,颜色:55 青绿色;尺码:165/84A/S,2021-02-08 20:15:18,夏天在家穿舒服的，就是有点热
杨***儿,颜色:55 青绿色;尺码:180/108B/XL,2021-02-08 11:22:27,年货节买的，现在就降价了 店铺很牛说没有返差价业务
e***r,颜色:55 青绿色;尺码:180/108B/XL,2021-02-08 09:20:48,试穿一下很好，不知道洗完之后怎么样
o***o,颜色:03 灰色;尺码:170/92A/M,2021-02-07 01:16:56,不错，很满意
芝***袋,颜色:69 藏青色;尺码:165/84A/S,2021-02-06 15:05:06,170/52.5穿s合适，发的是顺丰快递
我***田,颜色:03 灰色;尺码:170/92A/M,2021-02-05 15:00:44,回购哒
陈***8,颜色:55 青绿色;尺码:180/108B/XL,2021-02-05 12:53:53,好。
薰***1,颜色:69 藏青色;尺码:175/100A/L,2021-02-04 23:58:31,好评
t***2,颜色:55 青绿色;尺码:180/108B/XL,2021-02-04 22:11:12,质量包装很好，颜值不错，质量也没有问题
h***3,颜色:69 藏青色;尺码:175/100A/L,2021-02-04 20:54:21,很舒服
a***0,颜色:55 青绿色;尺码:175/100A/L,2021-02-04 19:12:41,物美价廉
亲***i,颜色:03 灰色;尺码:170/92A/M,2021-02-04 13:13:24,不错
蒙***妮,颜色:03 灰色;尺码:165/84A/S,2021-02-03 23:54:31,很好
雪***声,颜色:55 青绿色;尺码:170/92A/M,2021-02-03 17:54:53,买过三件了
大***指,颜色:03 灰色;尺码:175/100A/L,2021-02-03 17:50:23,好
琴***0,颜色:03 灰色;尺码:175/100A/L,2021-02-03 15:14:09,优衣库衣服常购，属舒适型。此件穿着感觉舒适，摸着手感一般，上身效果衣服太长，布料较厚。
麽***贝,颜色:69 藏青色;尺码:170/92A/M,2021-02-03 11:08:39,好评！
麽***贝,颜色:55 青绿色;尺码:170/92A/M,2021-02-03 11:07:48,好评
从***忘,颜色:03 灰色;尺码:175/100A/L,2021-02-03 00:01:07,不错。
冰***6,颜色:08 深灰色;尺码:165/84A/S,2021-02-02 19:41:18,质量挺不错，特别喜欢这个t恤，就是有点贵啊！
a***5,颜色:03 灰色;尺码:170/92A/M,2021-02-02 16:06:25,好
i***3,颜色:55 青绿色;尺码:180/108B/XL,2021-02-02 09:53:44,很好很舒服
t***3,颜色:03 灰色;尺码:180/108B/XL,2021-02-01 17:56:41,满意
t***3,颜色:36 褐色;尺码:175/100A/L,2021-02-01 17:56:41,满意
q***0,颜色:55 青绿色;尺码:170/92A/M,2021-01-31 21:22:53,hao
q***0,颜色:69 藏青色;尺码:170/92A/M,2021-01-31 21:22:53,hao
q***0,颜色:36 褐色;尺码:170/92A/M,2021-01-31 21:22:53,hao
s***7,颜色:55 青绿色;尺码:165/84A/S,2021-01-31 19:29:56,身高164体重130合适。比女款的好。护大椎穴。
a***子,颜色:08 深灰色;尺码:165/84A/S,2021-01-31 18:50:03,是理想中的产品💖，质量不错，物流也很快，值得点赞！特别满意，好评必须好评
a***子,颜色:03 灰色;尺码:165/84A/S,2021-01-31 18:50:03,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评
c***4,颜色:03 灰色;尺码:180/108B/XL,2021-01-31 18:28:16,特别舒服
w***6,颜色:03 灰色;尺码:175/100A/L,2021-01-31 12:30:15,挺好
z***1,颜色:55 青绿色;尺码:165/84A/S,2021-01-31 08:46:50,质量还不错，和原来买的一样好，就是价格比原来贵
r***e,颜色:69 藏青色;尺码:175/100A/L,2021-01-31 02:39:37,房管局部隊潛入門檻很好喝水壺蓋茨威格就將計就計就就將計就計就會出現
她***m,颜色:63 天蓝色;尺码:175/100A/L,2021-01-31 02:16:46,一只蚂蚁总是忘记回家的路，于是它问另一只蚂蚁：你都如何回蚁窝？另一只蚂蚁愣了一下说：带着笑或是很沉默
j***0,颜色:69 藏青色;尺码:170/92A/M,2021-01-30 21:27:50,穿着舒服，版型好，好评！
j***0,颜色:03 灰色;尺码:175/100A/L,2021-01-30 21:27:50,穿着舒服，好评！
琅***你,颜色:55 青绿色;尺码:175/100A/L,2021-01-30 21:14:05,178、70kg 感觉有些宽松
t***0,颜色:69 藏青色;尺码:165/84A/S,2021-01-30 19:16:14,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍
d***5,颜色:03 灰色;尺码:170/92A/M,2021-01-30 19:09:10,便宜好穿～
d***5,颜色:69 藏青色;尺码:170/92A/M,2021-01-30 19:09:10,便宜好穿～
馨***家,颜色:08 深灰色;尺码:165/84A/S,2021-01-30 17:17:04,👌
馨***家,颜色:03 灰色;尺码:165/84A/S,2021-01-30 17:17:04,好
郭***4,颜色:03 灰色;尺码:175/100A/L,2021-01-29 22:22:36,东西还可以，第一客服服务不行，没人理。衣服上居然还有个防盗扣，两件背心，一件有防盗扣，另外一件没有，从店里重新包好，打包的？还没人出来解决问题，就是系统回复
和***梦,颜色:03 灰色;尺码:170/92A/M,2021-01-29 20:50:38,褐色偏暗，有色差
a***7,颜色:03 灰色;尺码:175/100A/L,2021-01-29 11:00:17,质量不错
t***8,颜色:03 灰色;尺码:175/100A/L,2021-01-28 18:19:49,很好，很棒，质量不错，以后还会来买
t***8,颜色:69 藏青色;尺码:175/100A/L,2021-01-28 18:19:49,很好，很棒，质量不错，以后还会来买
z***4,颜色:55 青绿色;尺码:180/108B/XL,2021-01-28 18:05:39,颜色非常好看，喜欢
臭***妮,颜色:03 灰色;尺码:175/100A/L,2021-01-28 16:37:20,很好穿的内衣，每年都要买它！
花***5,颜色:03 灰色;尺码:170/92A/M,2021-01-28 13:46:03,回购两次了
往***1,颜色:03 灰色;尺码:165/84A/S,2021-01-28 13:08:21,衣服帮人拍的，应该可以吧，就是快递没送到，代收点距离十公里，步行要两个半小时，来回不得5个小时？就是开车也要十几分钟，快递太离谱，怎么不放发货点让人去取呢？多省事！！！除了这个快递哪个都能送到，这样还真不如自己去店里买了寄。
往***1,颜色:69 藏青色;尺码:165/84A/S,2021-01-28 13:08:21,衣服帮人拍的，应该可以吧，就是快递没送到，代收点距离十公里，步行要两个半小时，来回不得5个小时？就是开车也要十几分钟，快递太离谱，怎么不放发货点让人去取呢？多省事！！！除了这个快递哪个都能送到，这样还真不如自己去店里买了寄。
往***1,颜色:08 深灰色;尺码:165/84A/S,2021-01-28 13:08:21,衣服帮人拍的，应该可以吧，就是快递没送到，代收点距离十公里，步行要两个半小时，来回不得5个小时？就是开车也要十几分钟，快递太离谱，怎么不放发货点让人去取呢？多省事！！！除了这个快递哪个都能送到，这样还真不如自己去店里买了寄。
q***u,颜色:03 灰色;尺码:165/84A/S,2021-01-28 10:59:32,降价必须买
q***u,颜色:69 藏青色;尺码:165/84A/S,2021-01-28 10:59:32,洗了掉色，不开心啊
第***释,颜色:55 青绿色;尺码:170/92A/M,2021-01-28 10:50:32,第二次购买，质量好，穿着舒服
x***0,颜色:03 灰色;尺码:165/84A/S,2021-01-28 07:36:04,穿着保暖，有型，挺好的，好评！
x***0,颜色:08 深灰色;尺码:165/84A/S,2021-01-28 07:36:04,S码大小刚刚好，喜欢，每年都会买几件
d***y,颜色:09 黑色;尺码:170/92A/M,2021-01-27 20:20:09,不错
f***h,颜色:69 藏青色;尺码:165/84A/S,2021-01-27 18:26:23,买了7种样式，有优惠就要囤货
f***h,颜色:03 灰色;尺码:165/84A/S,2021-01-27 18:26:23,买了7种样式，有优惠就要囤货
妖***3,颜色:03 灰色;尺码:165/84A/S,2021-01-27 16:55:26,背心很不错，大小合适穿起来也很舒服
小***梓,颜色:03 灰色;尺码:175/100A/L,2021-01-27 16:15:57,整体评价：给爸爸买的挺好的～ 材质特性：稍微有点硬～
j***3,颜色:36 褐色;尺码:170/92A/M,2021-01-27 09:30:08,"優衣庫品質優良, 這款羅紋背心在實體店賣斷了, 還好在淘寶網買到了, 太棒啦!!!  感謝商家迅速發貨, 包裝細緻, 物流效率高, 為您點讚👍👍👍😘  祝生意興隆, 節節攀陞🎉🎉🎉"
j***3,颜色:08 深灰色;尺码:165/84A/S,2021-01-27 09:30:08,"優衣庫品質優良, 這款羅紋背心在實體店賣斷了, 還好在淘寶網買到了, 太棒啦!!!  感謝商家迅速發貨, 包裝細緻, 物流效率高, 為您點讚👍👍👍😘  祝生意興隆, 節節攀陞🎉🎉🎉"
j***3,颜色:55 青绿色;尺码:170/92A/M,2021-01-27 09:30:08,"優衣庫品質優良, 這款羅紋背心在實體店賣斷了, 還好在淘寶網買到了, 太棒啦!!!  感謝商家迅速發貨, 包裝細緻, 物流效率高, 為您點讚👍👍👍😘  祝生意興隆, 節節攀陞🎉🎉🎉"
k***u,颜色:55 青绿色;尺码:180/108B/XL,2021-01-26 23:24:13,完美
t***6,颜色:36 褐色;尺码:170/92A/M,2021-01-26 22:57:43,材质特性：舒适 面料品质：好
x***1,颜色:03 灰色;尺码:175/100A/L,2021-01-26 22:54:40,大小合适，质量很好
克***6,颜色:55 青绿色;尺码:170/92A/M,2021-01-26 20:06:47,此用户没有填写评论!
静***0,颜色:03 灰色;尺码:165/84A/S,2021-01-26 17:46:22,挺好的
温***宝,颜色:55 青绿色;尺码:175/100A/L,2021-01-26 14:20:38,发货非常快，衣服质量也很好
w***5,颜色:03 灰色;尺码:175/100A/L,2021-01-26 10:36:41,背心收到了，和想象中的一样好。
w***5,颜色:55 青绿色;尺码:175/100A/L,2021-01-26 10:35:53,背心收到了，和想象中的一样好。
r***f,颜色:03 灰色;尺码:170/92A/M,2021-01-25 23:53:50,很好的衣服，柔软舒适合身。
h***6,颜色:03 灰色;尺码:175/100A/L,2021-01-25 21:30:09,太长了，其他可以
t***3,颜色:69 藏青色;尺码:170/92A/M,2021-01-25 20:58:15,还可以
胡***玄,颜色:69 藏青色;尺码:165/84A/S,2021-01-25 17:02:00,非常好，面料精细，尺码标准
占***魅,颜色:09 黑色;尺码:165/84A/S,2021-01-25 16:19:21,聚划算的时候买的，和实体店一样还能包邮，希望多多有活动
l***z,颜色:03 灰色;尺码:170/92A/M,2021-01-25 15:59:49,晚上在家穿的，不错，很舒服的面料
l***z,颜色:55 青绿色;尺码:175/100A/L,2021-01-25 15:59:49,晚上在家穿的，不错，很舒服的面料
t***4,颜色:55 青绿色;尺码:180/108B/XL,2021-01-25 13:10:39,买给老公，买的有点大，还没洗，不知道会不会缩水，颜色耐脏，质量不错
z***6,颜色:03 灰色;尺码:170/92A/M,2021-01-25 12:40:27,是棉的，穿上挺合身，发货也快。5星好评
h***l,颜色:36 褐色;尺码:170/92A/M,2021-01-25 11:23:12,不知道为什么，同样的码数，店里买的比这个瘦一点
飘***天,颜色:09 黑色;尺码:185/120C/XXXL,2021-01-25 06:17:13,还可以
飘***天,颜色:00 白色;尺码:185/112C/XXL,2021-01-25 06:17:13,还可以
飘***天,颜色:03 灰色;尺码:185/112C/XXL,2021-01-25 06:17:13,还可以
飘***天,颜色:09 黑色;尺码:185/112C/XXL,2021-01-25 06:16:41,还可以
